invoice_date,customer,amount
21. 06. 2021,"Sanchez, Irwin and Thompson",48489.51
19. 06. 2021,"Harris, Rivers and Watson",23622.58
30. 07. 2021,Hughes-Miller,36610.88
01. 06. 2021,"Chambers, Smith and Mitchell",28217.72
26. 07. 2021,"Howe, Reed and Elliott",54834.86
09. 07. 2021,Hernandez PLC,19617.9
14. 05. 2021,Figueroa-Chase,61162.41
27. 06. 2021,Baker LLC,62697.85
31. 07. 2021,Lewis Ltd,65280.23
03. 05. 2021,Mata-Barnes,46179.29
01. 05. 2021,Fernandez and Sons,13979.25
22. 08. 2021,"Reyes, Vasquez and Shah",64471.18
11. 05. 2021,"Diaz, Adams and Washington",85877.74
07. 07. 2021,Kelly Group,14037.7
01. 06. 2021,"Hansen, Orr and Kelly",1054.7
12. 08. 2021,"Lee, Cooper and Shelton",85327.84
15. 08. 2021,Cameron-Williams,19440.34
17. 08. 2021,Davis LLC,33695.89
29. 07. 2021,"Warren, Dominguez and Brown",33624.54
02. 08. 2021,Berry-Howell,36520.1
28. 07. 2021,Morris-Chambers,58480.97
02. 05. 2021,"Walker, Harrison and Webb",70093.47
09. 08. 2021,"Young, Gomez and Allen",21047.42
09. 05. 2021,"Brown, Bates and Martinez",34276.88
17. 07. 2021,Coleman Group,20146.82
30. 07. 2021,Morse-Black,50554.62
17. 06. 2021,"Everett, Shaw and Davis",54845.72
23. 06. 2021,Castaneda Inc,91525.86
08. 07. 2021,Morgan-Banks,28911.25
27. 06. 2021,"Villanueva, Garcia and Torres",93237.67
16. 05. 2021,Barr-Walker,81466.44
16. 05. 2021,"Smith, Davis and Reynolds",17609.5
03. 05. 2021,"Downs, Payne and Cervantes",63244.11
07. 05. 2021,"Cole, Robinson and Bryant",32900.6
19. 08. 2021,Robertson Ltd,55095.4
21. 07. 2021,"Jones, Washington and Spencer",37639.98
02. 08. 2021,Ali-Meyer,28921.88
23. 07. 2021,"Berger, Holden and Reeves",78796.2
12. 08. 2021,"Leach, Ford and Smith",38034.59
21. 05. 2021,Turner-Poole,25541.78
18. 05. 2021,"Garner, Weaver and Ruiz",84412.92
29. 08. 2021,"Reed, Brock and Baxter",21090.74
08. 08. 2021,Rodriguez-Nichols,55157.96
23. 07. 2021,Wright-Newman,95656.98
12. 07. 2021,"Andrade, Norton and Morris",36757.31
21. 07. 2021,Scott Group,25613.9
29. 08. 2021,"Nelson, Maddox and Cunningham",46027.98
14. 07. 2021,Richmond-Reid,87868.37
05. 05. 2021,Gibbs-Smith,27431.21
25. 07. 2021,Downs Ltd,33897.94
29. 07. 2021,"Compton, Bell and Beasley",30721.62
11. 08. 2021,Barker and Sons,3512.15
19. 07. 2021,Holmes Ltd,72204.55
17. 06. 2021,Campos-Jacobs,810.81
13. 08. 2021,Gray LLC,80848.97
02. 05. 2021,"Sanchez, Irwin and Thompson",25007.37
02. 08. 2021,Green LLC,22390.39
06. 05. 2021,Jimenez PLC,9126.58
29. 07. 2021,Pruitt PLC,5119.43
01. 07. 2021,Hudson Inc,94120.0
09. 06. 2021,"Carter, Hudson and Carr",87609.63
24. 06. 2021,Murray Inc,84235.19
06. 08. 2021,"Williams, Bush and Clark",98367.17
12. 07. 2021,Sharp and Sons,53285.39
25. 06. 2021,Matthews-Santiago,54708.32
07. 06. 2021,"Chen, Parsons and Benjamin",73218.84
19. 07. 2021,"Stein, Mueller and Osborne",68765.26
13. 08. 2021,Johnson-Clarke,50767.12
10. 08. 2021,Maddox and Sons,59673.41
30. 07. 2021,Rowe-Gentry,38728.17
19. 06. 2021,Lynch-Liu,91282.46
11. 05. 2021,"Hernandez, Lee and Hamilton",23159.71
21. 05. 2021,"Martinez, Crawford and Salazar",9728.12
18. 06. 2021,Robinson and Sons,86591.46
27. 06. 2021,Jones-Vasquez,20979.67
27. 07. 2021,"Harmon, Taylor and Brady",82220.91
11. 08. 2021,Fernandez-Adams,2523.04
27. 05. 2021,Cohen-Bennett,86044.97
02. 08. 2021,"Davis, Lee and Mccarty",75008.71
13. 07. 2021,Bullock Inc,65385.8
25. 05. 2021,Smith PLC,48055.49
20. 06. 2021,Baldwin PLC,31507.58
24. 07. 2021,"Perez, Ray and Gonzales",41816.24
25. 07. 2021,Hunt-Hardin,7636.91
04. 07. 2021,Gallagher-Patrick,92529.01
10. 06. 2021,Ryan LLC,24878.82
30. 07. 2021,Nguyen-Bass,92867.11
21. 06. 2021,Macdonald-Bender,60996.38
16. 05. 2021,"Bell, Gomez and Romero",53319.75
15. 07. 2021,Ewing LLC,82607.11
19. 05. 2021,"Martin, Ortiz and White",32063.13
06. 07. 2021,Scott-Ewing,74803.17
09. 06. 2021,"Griffin, Davis and Jones",41634.54
04. 06. 2021,Oconnor-Miles,11666.12
24. 07. 2021,"Mason, Figueroa and Johnson",63325.53
23. 08. 2021,King-Nixon,39332.75
21. 08. 2021,Powell and Sons,8514.86
07. 08. 2021,"Barron, Murray and Strickland",23236.5
27. 06. 2021,Cross-Lambert,32157.03
28. 07. 2021,Walker PLC,98766.18
09. 07. 2021,Manning-Conway,49191.86
11. 06. 2021,"Dean, Moreno and Williams",90441.08
26. 06. 2021,Scott-Crane,23315.04
02. 07. 2021,"Taylor, Alvarado and Huang",6369.18
06. 06. 2021,Baker LLC,83772.05
27. 08. 2021,Robertson-Evans,43317.55
16. 05. 2021,Johnson-Donovan,30710.31
08. 08. 2021,Perry-Thompson,74781.03
05. 06. 2021,Hahn PLC,66299.01
11. 05. 2021,"White, Singleton and Turner",5550.21
05. 07. 2021,Mcclure-Parks,53138.98
23. 06. 2021,Baker PLC,45860.33
16. 07. 2021,Ortiz Group,7014.64
15. 08. 2021,Cohen-Weaver,54925.93
26. 07. 2021,Miller Ltd,45165.63
29. 08. 2021,Goodman Inc,64662.24
15. 05. 2021,"Johnson, Brock and Hernandez",39502.03
18. 06. 2021,"Lee, Morgan and Morris",42252.59
27. 05. 2021,Arnold LLC,14007.89
16. 07. 2021,"Jones, Chen and Franklin",26860.64
02. 05. 2021,Foster-Morales,3887.9
29. 07. 2021,"Alvarado, White and Mcintosh",97504.84
02. 07. 2021,Ware-Burke,57601.43
06. 08. 2021,Larson LLC,15688.93
22. 07. 2021,Chavez-Jones,62225.32
19. 07. 2021,Sutton-Williams,94667.88
27. 08. 2021,Mata Group,19068.5
10. 05. 2021,Harvey LLC,28594.16
29. 05. 2021,Cortez-Estrada,72935.52
19. 08. 2021,Williams Group,8637.4
16. 06. 2021,Griffin-Norman,22785.24
02. 08. 2021,Hernandez LLC,60965.32
11. 08. 2021,"Jones, Williams and Blackwell",96703.92
13. 08. 2021,Brooks-Smith,92721.19
07. 08. 2021,Gomez Group,53466.72
11. 08. 2021,Oconnor LLC,71025.77
31. 05. 2021,Rodriguez-Knight,21719.19
17. 07. 2021,Bailey-Hill,60873.96
30. 05. 2021,"Adams, Goodwin and English",85995.68
08. 08. 2021,Miller-Cannon,38902.75
12. 06. 2021,Mitchell LLC,38013.88
26. 08. 2021,"Hernandez, Buchanan and Hull",33149.66
16. 08. 2021,"Fox, Garcia and Klein",88012.04
30. 07. 2021,Patterson and Sons,58871.11
22. 07. 2021,"Jackson, Rodriguez and Davis",17712.46
27. 06. 2021,Sloan LLC,2782.44
27. 06. 2021,Gonzalez and Sons,47147.0
07. 06. 2021,"Harvey, Byrd and Baker",6425.69
01. 05. 2021,Cox-Clark,35680.07
18. 08. 2021,Olson-Reynolds,48919.1
15. 08. 2021,Strickland PLC,88942.91
16. 08. 2021,Monroe-King,68333.15
25. 07. 2021,Graves-Smith,9703.69
25. 06. 2021,Davis-Chapman,61367.52
05. 06. 2021,Costa Inc,89513.04
08. 05. 2021,"Guzman, Thompson and Pierce",25009.51
17. 05. 2021,Taylor-Banks,36677.05
13. 07. 2021,Henry-Melton,45660.18
01. 07. 2021,Mathis Inc,24027.34
27. 07. 2021,Nelson LLC,53316.08
23. 05. 2021,Ryan-Pittman,51357.83
14. 08. 2021,"Mcbride, Wilson and Coleman",18714.06
13. 07. 2021,"Williams, Knight and Woodward",12175.99
18. 05. 2021,Goodman-Ramirez,7761.53
08. 06. 2021,Taylor LLC,14411.09
25. 07. 2021,"Knight, Davis and Gonzalez",94302.63
30. 07. 2021,Henson-Lewis,3794.04
17. 06. 2021,Miller Inc,43986.08
31. 05. 2021,Fletcher-Ellison,84680.66
21. 07. 2021,Clayton Inc,82769.87
31. 05. 2021,Webb PLC,79451.32
22. 05. 2021,Howard-Reynolds,24806.68
31. 05. 2021,"Jones, Flores and Stephens",92585.79
28. 08. 2021,Thomas LLC,4877.29
30. 06. 2021,Solis-Valdez,31042.36
27. 07. 2021,Robertson-Nelson,15058.34
14. 06. 2021,Brown and Sons,2010.71
14. 05. 2021,"Yates, Wilcox and Ball",61947.28
04. 07. 2021,"Nguyen, Jones and Haney",38280.09
10. 05. 2021,"Harris, Walker and Harper",66229.49
19. 08. 2021,Perkins-Barron,79718.84
11. 07. 2021,"Lopez, Robles and Brown",36786.9
05. 07. 2021,Hoover LLC,90843.2
26. 08. 2021,Wilson LLC,51244.47
28. 07. 2021,"Hanson, Brooks and Gilbert",93085.7
14. 06. 2021,Hernandez LLC,14963.33
18. 05. 2021,Miller PLC,11034.97
20. 08. 2021,"Alexander, Miller and Hall",2003.88
21. 06. 2021,Roberts PLC,88996.36
17. 08. 2021,Wright-Dixon,58550.3
09. 05. 2021,Rodgers-Santos,96821.66
14. 08. 2021,Leonard LLC,54670.17
18. 05. 2021,"Bryant, Watson and Hayes",3181.19
15. 07. 2021,Cross and Sons,40679.77
02. 07. 2021,Smith-Hoffman,82207.87
09. 05. 2021,Kaiser-Butler,51187.93
01. 06. 2021,Mendez PLC,46900.26
18. 07. 2021,"Mason, Figueroa and Johnson",85894.24
04. 08. 2021,"Wallace, Juarez and Hinton",44444.55
10. 08. 2021,Fernandez Ltd,48532.44
17. 06. 2021,"Fletcher, Martin and Harris",43633.69
30. 05. 2021,Roberts-Morgan,5552.67
24. 06. 2021,Hernandez-Diaz,60011.67
07. 08. 2021,"Bell, Lamb and Cooper",84050.12
03. 07. 2021,"Durham, Carter and Smith",7403.77
19. 08. 2021,"Russo, Gordon and Lopez",3516.77
18. 06. 2021,Fisher and Sons,86011.83
05. 05. 2021,Norton-Hernandez,79198.42
13. 05. 2021,Houston-Thompson,89984.85
14. 05. 2021,Patterson LLC,26059.75
05. 06. 2021,Williams Inc,15872.18
24. 06. 2021,Davis-Hill,58022.01
29. 05. 2021,Riley Inc,37169.62
08. 05. 2021,"Vega, Mills and Wolfe",30697.85
15. 06. 2021,Clark Inc,24257.79
07. 05. 2021,Frank Ltd,38460.92
01. 08. 2021,Lane-Smith,96145.42
26. 06. 2021,Shepard Group,11676.83
27. 08. 2021,Byrd-Simpson,72506.1
18. 08. 2021,"Williams, Smith and Castaneda",99862.19
17. 06. 2021,Hinton-Hayes,48563.05
16. 08. 2021,Whitney-Weber,68158.09
07. 07. 2021,Allen-Scott,29977.56
15. 07. 2021,Lyons Ltd,62378.3
06. 06. 2021,Clay Inc,49529.01
09. 08. 2021,Cunningham-Mcclain,43565.66
23. 06. 2021,Kennedy PLC,81821.37
25. 06. 2021,Lee PLC,47671.06
13. 08. 2021,Foster-Alexander,90412.49
19. 08. 2021,Charles-Jackson,83064.33
02. 07. 2021,"Molina, Williams and Reid",44293.11
21. 05. 2021,Hayes-Thomas,87145.87
09. 08. 2021,"Sims, Hoffman and Thompson",77156.64
23. 08. 2021,Newman PLC,6689.93
19. 08. 2021,Levy-Cox,83738.08
20. 06. 2021,Campbell-Young,76827.49
19. 05. 2021,Garza LLC,82758.78
03. 07. 2021,Wang Ltd,68264.77
06. 07. 2021,Owens Group,22380.74
21. 08. 2021,Moore PLC,4428.83
29. 08. 2021,Stevens Inc,38838.34
28. 05. 2021,Valdez-Roberts,79752.57
13. 06. 2021,"Edwards, King and Patterson",144.72
23. 08. 2021,Hayes-Smith,37855.2
23. 07. 2021,"Edwards, Suarez and Thomas",32247.08
06. 08. 2021,Powell Ltd,40455.59
01. 05. 2021,"Pierce, Jefferson and Johnson",72187.84
26. 07. 2021,"Blair, Shelton and Jordan",21498.02
15. 05. 2021,"Buckley, Hart and Reed",94347.9
11. 08. 2021,Cooper-Haley,90690.83
15. 05. 2021,"Martin, Molina and Smith",25171.68
07. 07. 2021,Downs-Lynn,5351.4
06. 05. 2021,"Martin, Williams and Rodgers",80071.27
21. 07. 2021,"Vega, Moore and Wilson",52879.17
13. 06. 2021,"Prince, Graham and West",84540.24
04. 05. 2021,"Guerra, Bradford and Ellis",12930.71
08. 07. 2021,Lee Ltd,1744.03
03. 08. 2021,Waters Ltd,38425.6
17. 05. 2021,Ruiz-Webb,56992.02
20. 06. 2021,"Sosa, Butler and Perry",55132.98
22. 06. 2021,Snyder-Cervantes,21865.01
04. 05. 2021,Mason LLC,99677.77
25. 06. 2021,"Johnson, Burton and Gonzalez",51835.25
28. 05. 2021,"Warner, Morris and Grimes",87015.54
27. 06. 2021,"Walker, Baker and Atkins",27449.46
11. 07. 2021,Black Group,32572.63
03. 07. 2021,"Bailey, Woods and Brock",49254.55
02. 05. 2021,Harrell LLC,99554.51
07. 06. 2021,"Meyer, Kennedy and Rodriguez",41216.98
18. 07. 2021,Thomas LLC,2871.26
07. 05. 2021,"Hansen, Thomas and Anthony",27256.93
05. 06. 2021,Hamilton-Vincent,16330.99
07. 08. 2021,Sutton-Williams,42156.12
31. 07. 2021,Castro and Sons,52465.03
12. 06. 2021,"Nguyen, Jackson and Snow",21309.65
21. 05. 2021,"Cameron, Drake and Acosta",67826.56
23. 06. 2021,"Parker, Rosales and Wilson",90116.23
08. 08. 2021,Jones Inc,12707.9
23. 05. 2021,"Burch, Walters and Gonzalez",75891.17
11. 05. 2021,Jones-Gutierrez,85258.54
15. 07. 2021,Cox Ltd,52602.77
28. 06. 2021,Patel-Romero,7562.91
12. 05. 2021,Williams Ltd,10446.42
14. 05. 2021,Morris-Anderson,30029.2
24. 05. 2021,Cabrera PLC,8957.41
16. 06. 2021,"Reynolds, Tucker and Hensley",81940.78
03. 07. 2021,Velasquez Ltd,17409.12
14. 05. 2021,Cook-Murphy,9893.97
03. 08. 2021,"Nguyen, Harrell and Lee",69374.03
04. 05. 2021,Mccarthy-Garcia,16580.97
14. 08. 2021,Edwards-Pace,1046.57
23. 05. 2021,Phillips-Ayers,9882.88
04. 07. 2021,"Boyd, Duffy and Rivera",51905.13
29. 07. 2021,"Singleton, Soto and Nguyen",39806.21
21. 07. 2021,"White, Cannon and Benton",65556.75
19. 08. 2021,"Patel, Wilson and Ellis",50616.04
10. 05. 2021,"Santos, Long and Lee",18687.16
11. 07. 2021,"Park, Brooks and Powell",77733.56
17. 06. 2021,"Rivera, Bennett and Jones",56233.68
31. 07. 2021,Marshall-Rojas,36682.87
22. 08. 2021,Doyle LLC,86059.82
28. 07. 2021,Ware-Burke,16859.91
10. 06. 2021,Burgess Inc,18987.74
12. 08. 2021,"Garcia, Thompson and Jackson",28204.68
19. 07. 2021,"Cook, Taylor and Carter",9834.18
23. 08. 2021,"Hernandez, Mcdonald and Newton",57127.75
12. 08. 2021,Lewis-Brown,24565.47
05. 06. 2021,"Warner, Jones and Dean",53681.49
26. 07. 2021,"Mcclain, Diaz and Cantrell",13715.02
16. 08. 2021,Waters-Olson,24004.87
05. 08. 2021,Green Inc,22992.48
25. 08. 2021,Ryan and Sons,10695.11
13. 06. 2021,Rhodes Group,88397.63
20. 05. 2021,"Smith, Mitchell and Tran",85856.18
21. 06. 2021,Carroll Group,5157.98
01. 07. 2021,"Brown, Nichols and Jackson",24530.2
17. 06. 2021,Maddox-Cannon,45858.23
14. 08. 2021,Roy Inc,25123.74
20. 06. 2021,Macias-Brown,5192.46
13. 08. 2021,Roach Inc,53057.7
07. 08. 2021,Conner PLC,55504.18
31. 05. 2021,Contreras and Sons,79233.98
20. 06. 2021,"Jenkins, Bradley and Harper",11211.07
25. 08. 2021,"Mckenzie, Allen and Solis",92311.19
02. 06. 2021,Oconnell Group,11770.76
11. 08. 2021,Swanson-Henson,66399.03
25. 08. 2021,"Jones, Jefferson and Rivera",9205.23
17. 06. 2021,Peters-Ortiz,45779.52
14. 05. 2021,Davies PLC,65012.93
20. 07. 2021,"Salazar, Bryant and Rogers",31814.81
14. 08. 2021,"Arnold, Harrell and Smith",50149.35
20. 07. 2021,"Henry, Wilkins and Morton",76581.36
02. 05. 2021,Hughes-Davis,75079.93
22. 06. 2021,Campbell Inc,68435.08
17. 07. 2021,"Cherry, Walker and Johnson",9831.54
29. 06. 2021,Lee-Carroll,62922.51
16. 08. 2021,Jones PLC,15251.43
15. 08. 2021,Bradley-Ramos,281.03
22. 05. 2021,George-Zavala,31241.4
30. 06. 2021,Martinez-Gonzales,97220.42
06. 08. 2021,Foster-Adams,57010.36
05. 08. 2021,Johnson PLC,55747.39
08. 05. 2021,Clark-Miller,97279.72
20. 07. 2021,Jackson Inc,14129.57
14. 08. 2021,Reynolds-Wheeler,82292.7
17. 05. 2021,Malone and Sons,48161.79
11. 08. 2021,"Hall, Thomas and Gibson",72369.2
19. 06. 2021,Richards-Odonnell,73923.53
17. 08. 2021,"Solis, Crawford and Santos",43544.11
18. 07. 2021,Cross and Sons,20901.53
24. 08. 2021,Fox-Stanley,80470.96
06. 07. 2021,"Liu, Myers and Taylor",16556.6
28. 06. 2021,"Smith, Odonnell and Weiss",54611.84
03. 05. 2021,"Robertson, Thompson and Kelly",11109.56
13. 05. 2021,"Colon, Powell and Sampson",68661.84
28. 06. 2021,Smith-Serrano,44924.06
16. 06. 2021,Brooks-Lewis,81376.63
15. 05. 2021,"Pacheco, Marshall and Jones",16449.46
25. 06. 2021,Bell Inc,84817.32
25. 06. 2021,"Kelly, Barron and Davidson",23102.82
25. 06. 2021,Padilla-Smith,62083.92
14. 08. 2021,Warren LLC,26371.25
15. 08. 2021,Fuller-Ferguson,30500.26
25. 06. 2021,"Petty, Townsend and Hurst",73548.29
03. 07. 2021,Parker-Martin,1283.0
17. 07. 2021,Lamb-Black,63077.79
11. 05. 2021,"Jackson, Garrett and Schwartz",5486.26
25. 06. 2021,Davidson-Newman,12849.88
30. 07. 2021,"Williams, Becker and White",50020.18
05. 06. 2021,"White, Young and Whitehead",43941.4
21. 08. 2021,"Hoover, Dunn and Galloway",84820.96
09. 06. 2021,Miller and Sons,52807.77
13. 08. 2021,"Harper, Coleman and Mcdaniel",72677.42
27. 05. 2021,Clarke Inc,55174.5
09. 05. 2021,"Brown, Flores and Williams",86474.96
28. 05. 2021,"Dennis, Reynolds and Hall",70118.56
30. 05. 2021,Clark PLC,86058.66
14. 08. 2021,Duncan PLC,52550.72
29. 05. 2021,"Kelley, Nelson and Ray",17061.5
29. 05. 2021,"Wilkerson, Robinson and Bailey",37562.44
30. 06. 2021,Bowers Group,14342.66
05. 06. 2021,Williams-Mendez,16667.63
19. 06. 2021,"Thomas, Benton and Nash",34729.87
20. 07. 2021,Mathis-Norton,45546.11
17. 05. 2021,"Moore, Perez and Nash",52397.36
03. 05. 2021,Marshall-Charles,75893.87
10. 06. 2021,"Thomas, Howard and Ortega",15402.09
02. 05. 2021,Hernandez-Ewing,6919.16
31. 05. 2021,"Ferrell, Miranda and Morris",33784.42
22. 06. 2021,Ray Group,18095.3
09. 05. 2021,"Adams, Lee and Carter",6997.91
02. 07. 2021,Cohen-Weaver,70403.93
23. 05. 2021,"Anderson, Peters and Lee",24355.72
17. 07. 2021,Smith LLC,80456.9
12. 06. 2021,"Elliott, Simpson and Morgan",50116.23
27. 08. 2021,"Peterson, Shepherd and Berger",70185.32
15. 05. 2021,"Allen, Madden and Chandler",37012.02
03. 05. 2021,"Burch, Walters and Gonzalez",35055.3
13. 07. 2021,Johnson-Thomas,4122.76
01. 08. 2021,"Medina, Thompson and Sullivan",59828.75
03. 06. 2021,Figueroa-Bishop,62296.48
20. 06. 2021,Boyd-Harrison,24530.29
24. 06. 2021,"Mcdonald, Mcgee and Brown",90860.52
04. 08. 2021,Smith-Pope,63719.95
27. 07. 2021,"Powell, Davis and Whitaker",38806.94
03. 08. 2021,Bush Ltd,12090.72
26. 05. 2021,Mercer LLC,15530.0
11. 08. 2021,Hawkins-Carlson,25906.53
24. 07. 2021,Hall-Parker,82353.15
17. 08. 2021,Chen PLC,12048.28
25. 08. 2021,Berry PLC,50095.99
17. 05. 2021,Richards-Ortiz,68191.28
21. 08. 2021,Cross-Hoffman,93259.86
11. 05. 2021,"Leonard, Smith and Wilkins",4074.8
17. 07. 2021,Berg-Stewart,41601.04
10. 05. 2021,"Flores, Hughes and Gonzalez",93091.56
07. 07. 2021,Bowman and Sons,86795.9
08. 05. 2021,"Hoffman, Gibbs and David",2457.1
30. 05. 2021,Salas-Ruiz,66724.01
07. 07. 2021,"Frazier, Waters and Newman",76508.37
25. 05. 2021,Rodriguez-Rodriguez,24603.29
