text,y_test,y_pred
"this was a waste of money . my 5 year old loves taking photos . she uses my digital camera sometimes . i thought this would be a great gift for her . she could see the photos on the back of the camera like mom's . this was not the case . the lcd does not project the images and it is so small you can not read what mode you are in . if the batteries run out , it erases the photos . i think they should have made it and the directions kid friendly . my daughter was frustrated quickly and it has laid in the drawer for 3 months . if your child likes to take photos , i would invest in something else",neg,pos
"this is a decent book on photographing artwork - - but not the the most comprehensive . the strengths of this book are that mr. saddington ( 1 ) discusses the use digital media , and ( 2 ) makes the process of photographing artwork very user-friendly by providing great visual references throughout . the user-friendly aspect is the book 's strongest selling point , especially for artists who are new or novices at photography , or visually oriented ( i.e. , no patience for reading instructions that come with few or no pictures ) . mr. saddington 's book provides pictures of what makes a bad negative exposure / photograph , and provides a concise explanation for these results , and does the same for an example of a good negative exposure / photograph . he also provides illustrations of setting up equipment and artwork for photographing . the weakness of this book lies in the general details provided ... unfortunately , mr. saddington provides a limited amount of helpful hints and leaves out specific details for for problem shooting ... i base this opinion on my comparison of this book with a book called & quot ; photographing your artwork&quot ; by russell hart . if you buy mr. saddington 's book , i 'd recommend supplementing it with the purchase of mr. hart 's book . the two books complement each other . where mr. saddington 's book lacks in details , mr. hart 's book fills in the information gaps . on the other hand , mr. hart 's book is very text heavy and has very few illustrations ... so if you 're a visually-oriented person , mr. saddington 's book would easily compensate in the area of illustrating this very important process . again , mr. saddington 's book is decent , but it should be used as a supplemental reference , especially for the visually-oriented person",neg,pos
"just listening to the samples of this new remix of "" gold:35th anniversary edition ~ the carpenters "" i found it to be in my opinion sadly remixed very badly . certainly not a tribute to the excellent talent of karen carpenter and richard as well . i wonder what richard was thinking when he remixed these songs ? as another review noticed and i agree with , is the bass on some is so loud it almost drowns out the pure excellence of karen 's deep resounding truly perfect voice . this is not a cd you want to get if you really want to appreciate the true pure sound of the carpenters . the older cds ( if still in production or if you can find them used ) "" carpenters classics 25th anniversary "" a 2 cd disc 98:04 minute collection remastered digitally , is a much better pick . especially for those who remember the carpenters when karen was still alive and the original arrangements were nothing to mess with . the other cd 's worth finding of the carpendters especially if you like the talent of karen 's deep resounding perfect voice , would be the cd "" voice of the heart "" this is a hautingly beautiful collection of love songs by karen who lets each song touch your heart and soul making you feel as if you were right there as she sings each song . the other one i would highly recommend , if christmas is your holiday , would be "" carpenters christmas portrait "" ... "" special edition digital version....celebrating 70 continuious minutes of the seasons best.. . "" with karen and richard . there are 34 carpenters songs as timeless as their sound , and 11 performances heard on this holiday cd for the first time . these cds are all the songs you fell in love with the first time you heard karen sing . these are the arrangements so beautifully done with her and richard . this new remix maybe ok if you have not been familiar with how wonderful the original songs the carpenter 's recorded and later remastered-not remixed - sounded . for this reason i give this 35th anniversary remix a 2 star rating . these older cds are how the carpenders really won over their fans , took the music industry by storm and gave a generation of music lovers reason to love the carpenders music and the sound they gave each song . talent that can still win over anyone who truly appreciates the timeless talents only the carpenters could deliver . as i more or less said in my title for this review and taken from an old saying "" if it ai n't broke do n't fix it ! "" or in this case do n't remix it !",neg,pos
"i first picked up this book because i 've always been interested in what young writers have to say . but i have to admit , even i was a little surprised . this story mind the mythicism , is a real representation of what young children 's minds sometimes go through . that idea of a person you fabricated , gaining more reality than necessary . congrats to ms. oyeyemi for her brilliant attempt to shine some light on this realm that few share conversations about . she is one i 'll keep in my mind for a while . if you like young writers , you should check out charles hedji 's fields of discovery . i 'm an avid reader once again",pos,neg
"i 'm a vain , 39 year old male and started using this product ( in combination with another highly regarded anti-wrinkle product ) about three months ago . this daily application replaced a daily application of facial conditioner / moisturizer . i was hoping some barely noticable forehead wrinkles would go away . no such luck . i notice a definite reduction in wrinkle depth in the morning , before i shower , but by mid-day , the wrinkles have returned to their normal state . does this really work ? ! i suppose the only way to truly find out if this stuff works is to use it on only half the face and see the effect over time . in all fairness , i must mention that my face now routinely feels softer and smoother and less oily than before . that 's why i rated this product a four instead of a three . but the frickin ' wrinkles are still there ! let me see all that clinical research all these skin care experts are touting .",pos,neg
"i bought this one because it had 4 settings instead of three - so i thought one of them might actually be hot . instead , the highest setting is warm to the touch - not hot . this may be a "" lawsuit friendly "" reality with heating pads today - i 've yet to find one as good as my old one that died 2 years ago ( i had that one for 10+ years , the sunbeam replacement i bought prior to this one lasted 2 and was n't hot ) .",neg,pos
"this young woman has a fine coloratura soprano voice , albeit a little underpowered , but she simply has no understanding of musical architecture . there is too much emphasis on virtuosic technique and no regard at all for musical subtleties . in fact , i suspect the only reason this little filly was favored over so many of her betters is that she looks mighty tasty in that skimpy frock and short-shorts . once again , sex sells and the vox vulgus dominates at the expense of true art",neg,pos
i guess in this book you can see both the good qualities of ayn rand as well as some of her non-desirable traits . good gateway book before tackling on the big and long atlas shrugged,pos,neg
"i found it to lean very heavily towards a hierarchal view of the relationship between men and women . men are to rule , and women are to submit to that rule . the authors appear to see women as perpetual children who need to be under the continual domination of men , rather than as adults who deal with men on an adult level . i suggest anyone who reads this books should also read "" discovering biblical equality . "" it gives another view of how the christians world see the role of women",neg,pos
"great book , of course , but for this edition oxford used a computer to justify the type . on every other line you encounter three or four spaces where there should be only one . it may not bother most readers , but i 'm looking for another publisher 's edition",neg,pos
"was initially impressed with the backrest ; however , because the straps are not adjustable , it dose n't stay in place . the one snap is not sufficient for holding the backrest in place",neg,pos
"this is the 7th olympus camera i 've owned over the years , from film to digital . i have always been very pleased with olympus cameras and their usual superior optics . this camera , though , is a major disappointment , mainly because even though it can shoot in raw , there is no compatible conversion available yet , leaving you unable to process raw images . this renders the camera worthless at this time for serious pictures as you have no choice but to shoot in jpeg . olympus should have ensured that vendors such as adobe had the necessary information to make the compatible raw conversion plug-ins available before this camera hit the market . there 's no excuse for olympus to not have made sure this was the case , indeed it 's downright irresponsible . having said the above , the camera lens is quite nice , the camera itself operates well . you can take quite good pictures . however , the camera is not suitable for flash pictures in medium to low-light situations as there is significant lag time from the time you press the shutter to the picture actually being taken- -- -if you 're taking pictures of people , they will have moved by the time the picture is taken . the battery life is very good . the camera fits nicely in your palm . and , having a 28 - 500 mm lens is great . if you do n't shoot in raw and you do n't depend on flash photography , the camera is worth a look . otherwise , look at other products at this time",neg,pos
"i see a lot of people have had trouble tracking baseballs with this thing . i 've owned one for 3 years and it works pretty well . i will give some tips on it : ! ! ! if you throw at a respectable speed , and do n't follow the correct procedure it will not work - there will be no reading ! ! 1 ) do n't stand behind a metal fence . the chain links with the plastic coating over them will work , but for whatever reason exposed metal interferes with the signal . 2 ) the focus beam of the radar gun is very narrow . the whole idea is to keep the beam on the ball as long as possible . just having the ball pass through the radar beam is not enough . you need to keep the beam on the ball for practically the whole pitch . 3 ) use rechargable batteries.. . and this is n't to save money . some of the better energizer rechargable are high amperage , 1350 ma and up . the gun tends to respond better to this , as its pretty power hungry . you will get more consistant readings with better batteries . non-rechargable batteries cannot provide the same level of current ( usually 850 ma or less ) , which seem to effect the gun . so , how would you properly use the gun ? one way is to stand behind the mound as the pitcher throws . forget about using it during a game , behind the backstop . it wont work . try line up the pitchers release point and the plate , then situate your gun so that it fires on this imaginary line ( connecting pitchers hand and the target . you may have to slightly change the angle of the gun to track the pitch , which can be slightly tricky . follow the ball with the gun as long as you can . for a sure fire way to clock a throw , get a cheap net and stand behind it . you will register it every time . you will also have the most accurate reading",pos,neg
"you 'll find better works out there , particularly if you 're a miles fan . the emphasis here is on milt jackson and his vibraphone , which gives the album a light , airy feeling . missing is much of miles ' horn and sentiment . you also get a bit shortchanged with a mere 30 minutes of music . i would call this a & quot ; pleasant&quot ; album , which in my jazz-world is not a happy thing",neg,pos
"this is the latest entry in the lost legend series and it is the best alblum since the very first lost legends alblum release . the songs match up and compliment each other better than any of the previous alblums in this series , so well that it sounds like a dance alblum . i give it a high recommendation for any surf music fan . try alldirect.com for the best prices on this series of alblums",pos,neg
"over 20 years after it was published , the story of the israeli attempt to eradicate massive and repeated terrorist attacks emanating from the plo ( bubba 's / jacques / un 's buddy yasser ) in lebanon is no less important . interestingly , lebanon is still struggling to rid itself of syrian occupation . they have gone from the vegan dictator hafez assad murdering opponents and journalists to the syrian optometrist dictator murdering opponents and journalists ( another killed last week 7 / 2005 ) . in this review , i will attempt to explain the story , the left-wing / doves reporter 's views ( and on so many levels his mistakes ) , and most importantly to americans who love and support israel , the correlation between israel 's actions and our "" war on terror . "" first to the journalists , the main one being the left wing newspaper haraatz ze'ev schiff . as the brilliant reviewer givbatam3 points out nearby , mr. schiff is a member of the israeli left / dove / peace now group . this "" coalition "" consists of myopic people ( with all due respect ) that do n't seem to understand good and evil . just as our great president bush was criticized for denouncing the "" axis of evil "" ( he forgot to mention syria and the house of saud ) , these doves conveniently choose to ignore the problems with cooperating with our / their enemies . this is what lead to the fraudulent oslo accords and the creation of the terrorist supporting palestinian authority . it is this "" authority "" that unleashed a wave of terror on israel immediately after clinton helped the murderer arafat receive a nobel peace prize . fittingly , arafat walked away from the clinton / barak plan in 2000 , which would have created a palestinian state , which to this day ( 7.8.05 ) does not exist despite the charade of the road map . the authors accuse prime minister sharon of illegally leading israel into the war in lebanon . most of the books i 've read about israel seem to have been written by journalists out to discredit sharon . he seems to be the donald rumsfeld of israel . i do n't live there so it is impossible for me to get a read on the situation , but he was democratically elected , so most of the voters must disagree with the left 's assessment of mr. sharon ( yes , i know his "" disengagement "" is an illegal abomination , more on that later . wear orange to support the settlers . ) on page 39 , mr. ze'ev describes sharon as "" a cynical , headstrong executor who regarded the idf as his personal tool for obtaining sweeping achievements-and not necessarily defensive ones-and a minister prepared to stake the national interest on his struggle for power . "" those would prove to be the "" kindest "" words he would have for mr. sharon . on page 58 , he accuses sharon of implementing a quasi-coup d'etat . and on and on it goes . the author also accuses sharon of duping the american government , details forthcoming . later on , we learn of the "" courageous , freedom fighter "" ( my emphasis ) arafat 's decision to deploy all palestinians including 12 year old boys to kill israelis . of course , to this day the pa affiliated fatah and other groups use children to murder israeli civilians ( the best non-child attack recently was the palestinian woman who was granted permission to receive medical care in israel who tried to kill innocent israeli doctors / nurses using "" bomber pants . "" great video of her discovering the bomb would n't activate , however us msm {mainstream media} other than fox refused to air it . ) on page 92 , we learn of arafat crony and current pa leader abu mazen 's ( the same oslo and road map violating , terrorist supporting / enabling , holocaust denying , chain-smoking mazen that gw brazenly brought to the white house ) recommendation to target specific ethnic types of jews for murder . throughout the story , if indeed the cabinet was mislead , we learn that this deception had negative military preparedness consequences . specifically , a failure to call up the reserves . to his credit and unlike journalists robert fisk ( pity the nation ) and thomas friedman ( ny times , from lebanon to jerusalem ) , mr. schiff reminds us of the level of terror practiced by ray-ban wayfarer wearing arafat even inside his own plo . on page 147 , we learn of palestinians killing palestinians that were given the chance to evacuate an area prior to idf action . in this episode , three children were gunned down in front of their father . on page 149 , the authors engage in a disgusting bit of analysis about the minds of idf members . in discussing a particularly brutal phase of the operation , the author 's ask "" was it perhaps fueled by an even deeper sense of vengeance for all the harm and hatred that the jews had suffered at the hands of others over the centuries ? "" and further , "" how would the grandparents of these boys have reacted to the scene of mayhem.. . ? "" are you kidding me ? ? these members of the citizen army were probably quite sick of repeated murders of innocent israeli citizens and committed to seeing their country living in peace . meanwhile , the un , the left / doves , the media , and others seemed to downplay or turn a blind eye to arafat 's involvement in the many terrorist attacks conducted by the plo prior to the lebanon operation . in my humble view , something had to be done . prime minister begin agreed with sharon 's initial plan on eliminating the terrorists in beirut . page 152 features more america bashing , culminating in an accusation that the us was an israeli dupe . the story of the military operation is detailed completely . and no discussion of the lebanon operation would be complete without mentioning the incidents in the refugee camps in sabrit and shatilla . i 'll leave it for the reader to decide on this operation , but in short , israel relied on their "" allies "" in lebanon to rid the camps of terrorists . most assuredly , after the palestinians brought havoc to these people , they wanted revenge . the result : some civilian deaths to go along with the "" clean up "" operation and a rebuke of several israeli figures including prime minister sharon . folks , war is not pretty and the us faced similar choices in partnering with the northern alliance in afghanistan . many to this day say that is why we allegedly "" lost "" bin laden in tora bora instead of adequately deploying our troops on the pakistan border . general tommy franks says this would not have been possible and i believe him more than the kerry / kedwards crowd . our "" ally "" pakistan would not have tolerated a us presence , given that they were one of only three governments with relations with the taliban . as for the author 's attempts to rid israeli society of prime minister sharon , it did n't work . he forcefully fought the charges emanating from the investigation into the lebanon operation . after yasser walked all over clinton in barak in 2000 and launched / restarted the intifada , israel voted for "" arik "" and his platform of not negotiating with arafat . sadly , no tragically , he is haphazardly implementing his "" disengagement plan . "" six weeks prior to its start , it appears the plan is not well thought out and polls show that israelis are increasingly against it . moreover , turning land over to terrorist supporting mazen will embolden those that seek israel 's destruction . israel expects terror gangs of hamas , islamic jihad , and mazen 's own fatah to immediately set up shop in the west bank and begin terror operations . so looking back mr. schiff and ya'ari , who was right ? terror coddling doves such as rabin ( who at least acknowledged the danger in trusting arafat ) and peres or likud hawks such as sharon ( and netanyahu ) ? let the reader decide . i know who i would trust with my security : likud members sharon and netanyahu .",pos,neg
"i 've been using this since the first beta release , and it has sped up my productivity at work by miles . the ribbon interface is more upfront with the commands most ofter used , and my old keystroke commands are still there as well . after changing my default save setting to 97-2003 i have run into no compatibility problems . as with most of the bad reviews on ms products , it seems people are quick to rush with a bad review when they are unable to find or do something as quickly as they have in the past . my advice is to spend ten minutes looking through all of the menus.. . they make sense , and once you get used to it , you 'll never want to go back to the old way again . everything is cleaner , smoother , faster , and easier to use than ever before , and i have been using office for longer than i care to admit . let go of the past people ! this is the future of business productivity",pos,neg
"this book is packed full of incredible devices for any one who enjoys exalted . the book has a wealth of knolage from the first age as well as the age of sorrows . the book has a few sections in it that divide the items by uses , that is the only way i can discribe it . there is a giant amount of artifacts that have nothing to do with combat , and then others that are . there is a section on warstriders , basicly single man "" death machines "" that basicly look like large metal robots . most of the items in this volume are very well detailed and all have pictures that show you what they would more that likely look like . i do n't like saying that is what they look like because , well , this is rping people , things change by a player / gm 's perception . anyway , enough of my ramblings , this book rocks and has items that range from pens to armor to boots to royal class warstriders . this book is about gear in the world of exalted . p.s. it looks like there is going to be about 4 more of these books . my best guess is that one will be for sorcery , but that is just one book . if you think of anything else , post it here to give me some ideas on the other ones",pos,neg
"i am a faithful csi watcher , and have been since the shows inception . i buy the dvd sets and enjoy them tremendously . however , there are two trends i see developing that i do n't care for- --one , there is too much catherine . we know everything about her kid , her dead husband , her crook father , etc. , and she 's really an annoying character . she makes nasty comments about everyone ; she 's always being insubordinate ; she goes out with men half her age ( let 's quit trying to make her seem like a young chick when she is n't , especially wearing those skin tight jeans ) , she is very arrogant , and even though she continually screws up ( loses her camera ; blows up the lab in a previous season , accuses people before she has all the evidence ) , they made her a supervisor . also , the plot line with grissom and sara , while predictable , is not the greatest . i think grissom would be better off paired with lady heather . there 's an idea ! let 's see more of lady heather . still , even with the annoying overabundance of the least likable character ( catherine ) , the show is one of the best , if not the best , on tv ( up there with without a trace , ncis and numbers ) . keep ' em coming",pos,neg
"this movie has a good plot , great acting , and potrays a very convincing relationship between a hardened young man and a girl whose combonation of strength and purity touches his heart and redirects the course of his life . i did like that they seemed to really know and understand each other , but was dissapointed in the sexual inuendos , the profanity , the undermining of parental authority , and the lack of closure concerning landon 's journey to faith . it is evedent that this movie is directed to a less-than-mature-audience . i saw more bad in it than good , which is sad since it could have been such an outstanding movie",neg,pos
"we bought this camera thinking that it would be our do-all "" eurocam "" for an upcoming trip to europe . it promised a sufficient range of performance and features to easily meet our needs on such a trip . sadly , the camera is not up to filling this role . we will need to take another camera along with it . however , we will take the v705 for its wide-angle lens , the reason that we picked this model in the first place . it is this disparity between the advertised and actual capabilities of the camera which prompts me to contribute this review . the need for a true wide-angle lens is both a sufficient and a necessary condition for buying this camera . if you do not need a 23mm lens , or if you do not know if you need a 23mm lens , then you do not need this otherwise mediocre p&s ( point and shoot ) camera . good : fairly decent 23mm wide-angle lens ; the 23mm is the default lens ; rapid start-up time ; internal focus and zoom ; chromatic aberration well controlled ; can use 4gb cards ; freeze-frame and extract any video frame . mediocre : soft images ; perceptible shutter lag ; slow shot-to-shot times ; exposure compensation is easy , but steps are too small for digital , and is reset when camera turned off ; flash does not come close to covering the 23mm ; image numbering basically limited to 4 digits ; flimsy construction ; no manual controls ; no raw format ; no optical viewfinder ; histogram on display , but too small to be useful . bad : the absolute worst menu system to be found on a camera ; excessive and unadjustable jpeg compression ; poor battery life with very expensive external charger and spare battery ; unacceptable visual noise starting at asa-400 ; forced in-camera stitching of panoramic images , with inability to save the individual panoramic shots ; panoramic component images forced to 5mp ; overlays for panoramic and delete modes are so dark they obscure the underlying image ( even with display on ` bright ' ) ; mpeg-4 video compression gives very poor results . synopsis : if you need a 23mm lens in a point and shoot , this , and the older v570 , are the only choices . if most of your images are in bright light , the 7mp v705 gives better images . if most images will be in low light , the older , cheaper , 5mp v570 is the better choice . the camera seems very fragile . treat it gently and you will likely be happy with the wide-angle performance . if you chose this as your sole camera , you will likely be unhappy with your choice . the only reason to buy this camera is for the wide-angle lens . = = = = = some expanded comments = = = = = twenty-three mm wide-angle fixed-focus lens . this lens has almost decent optical quality ; though the camera 's processing still produces overly-compressed and soft images from it . on power-up the 23mm is the initially active lens , which is ideal for us . however , considering that this is truly a specialty lens , it would make more sense that the ` normal ' lens should be the default . best would be a menu setting to allow selection of the boot-up lens . better yet would be a camera with only the 23mm lens . the camera does have firmware wide-angle distortion correction . this works fairly well , at the cost of even more image softness , but even-so , barrel distortion is noticeable to a degree that is not present in actual 35mm-film camera wide-angle lenses of similar focal length . this in-camera correction can be turned off . doing so allows one to see the marginal native lens performance . however , being able to turn off distortion correction exemplifies for me how poorly thought out this camera is . the only people who would wish to do this are those who are exploring the artistic limits of the camera - and they would seem better served by the camera having such basics as : manual settings , a physically larger sensor chip , raw image files , or , at least , a choice of degree of jpeg compression . at the other end of the camera 's focal length the 114 / 117mm performance shows slightly below average image softness with average pincushion distortion . there are very few circumstances where one would want to use ` digital zoom ' , so , as with all digicams , the claimed maximum telephoto length is completely bogus . after reaching optical zoom limits , one is much better off doing any further ' zooming ' in an editing program . kodak 's advertised "" 5x optical zoom "" is , at best , misleading . actually , it is just flat out untrue . the camera has two lenses . the only lens that can be optically zoomed is the 39-114mm lens , which is not quite 3:1. the wide angle lens has a fixed focal length . ( note , in some places kodak claims 39-114 , in others 39-117 optical zoom . ) also misleading is the claimed "" anti-blur technology . "" as best i can tell from looking at the images , and at the exif metadata , all this actually means is that at some given shutter speed the camera boosts the asa . certainly there is no optical image stabilization technology in this camera . speaking of asa . this is an opportune time to address the camera 's incredibly poor menu system . it is byzantine : being both awkward and time consuming to use . to adduce , ` auto ' asa ranges from 50-200 , to set a faster ( or to lock in at a slower ) sensitivity rating requires going through multiple menu levels . to change from ` auto ' to the next fastest ( 400 ) requires 11 manipulations of 2 controls ! on either of the other two p&ss which we will be taking along it requires 4 pushes on 1 control . the menu system is next to unusable in the field . still on asa settings , the camera does have sensitivities up to asa / iso 1000 ( though the manual only documents asas up to 800 , 1000 is available on the camera ) . unless your shot is of a once-in-a-lifetime , will never-happen-again moment , then 200 is the max asa tolerable before noise in the shadows becomes annoying . at 400 the entire image suffers from noise and is not really useable for any print larger than 4x5 "" . the previous version of this camera , v570 , had only 5mp , but the same sensor size . by increasing the pixel count , but not the physical size of the sensor , the new v705 camera actually has more low-light digital noise than its predecessor . this has happened with many of the current p&s cameras , as the makers advertise pixel count as a measure of image quality . my initial experience with low-light high asa use of this camera is that you might as well set the capture size to 3 mp , as the larger files have only marginally better printing capability because of the severe noise artifact . another approach to dealing with the sensor noise is to use one of the commercially available products which , when calibrated to the sensor in the camera , allows the subtraction of much of the internally generated noise . doing so does allow for semi-adequate 8x10 "" prints at asa 800. if one really wants to get carried away , combining the preceding with any of the image stacking programs designed for astrophotography ( where dozens / hundreds / thousands of images are averaged together ) makes 8x10 's at asa 1000 doable . people willing to undertake these manipulations likely do not fit kodak 's target market . back to earth . the v705 's still-image quality is below average for this generation of 7mp p&s cameras . mostly i believe this is because of the overly aggressive jpeg compression , which is not adjustable ( e.g. ` best ' , ` good ' , etc ) . my guess is that a compression setting of 30-40 is being used . this results in small files , with a lot of compression artifact . the 7mp jpegs from this camera are about 1.2-1.5mb in size , those from another 7mp p&s i have are 5-6mb . my 6mp prosumer digital slr jpegs are 8-10mb . the more the compression , the worse the image . most cameras allow the user to pick the trade-off point . kodak picks it for you , and picks poorly . the v705 's video performance is very disappointing . it uses mpeg-4 compression , and at very aggressive compression settings . unless it is a video of your baby 's first steps , or aliens landing in the backyard , you will likely find it hard to watch . the total output datastream is about 0.5 mbs . compare this with a minidv tape video datastream of 25 mbs ( total , adding sound , error correction , and time codes , is 36 mbs ) . better to have stuck with mpeg-2 which would give less compression , but decent enough ( tv quality ) videos . that is the choice that most manufactures have made . as a result , the videos from my other p&ss have about a 2 mbs datastream , and so are of much better quality . the battery . kodak 's claim is 150 still images per charge . i am getting 100-120 , with minimal use of flash and the lcd on ` energy saver' . even 150 would be poor , compared with my other digital p&ss , where i expect at least 200 , and often get 250+ if i am at all careful with power-management . this camera has a proprietary ( and hard to remove ) 720 mah battery . my ( several ) other , p&ss have 790-1120 mah batteries , and , i suspect , more efficient processors . since we are only going to be using this camera for wide-angle , the battery will likely last most of a day . we have not bought an external charger and backup battery because the cost is about 25% the cost of the camera . though the body is of aluminum , the camera itself is overall fragile and i doubt will hold up more than a year or two . the battery and media doors do not appear to have been designed for actual repeated use ; there is no cover for the charge socket . the media door often dislodges open . truly , my belief is that kodak designed this camera with the thought that these doors would never be used : that the camera would spend its life simply being taken in and out of the ( not included in this model ) "" easyshare "" dock system . this would also explain the relatively large amount of built in memory , and the overly aggressive jpeg compression . shutter lag , the bête noire of digital cameras , is very evident with this model . i do not have any method of actually measuring the time between pressing the shutter , and the image being recorded . however , based on over 50 years of tripping shutters , it clearly varies , and i estimate is , at best 1 / 4 second , up to a bit over 1 / 2 second . in addition to the shutter lag , there is a perceptible lag in the lcd viewfinder screen showing what is in front of the lens . together this makes the capture of a fleeting moment , an active child at a particular instant , or a wary animal almost impossible . the shutter lag is much more evident than in same-generation / price p&s cameras from other makers . the accompanying ` manual ' is poorly organized , childishly written . "" finish reading this book , so you can take and share your best pictures ! "" at best , it was written for 8 year olds . the manual does make reference to a web-address where one can download the ` full manual ' , however the address given is incorrect . when eventually found , the manual is better than the one enclosed with the camera - in that it contains some information that one could not figure out oneself - but it also is written at no more than a fourth grade level . panoramics , one of the advertising points of the camera , are another disappointment . basically the way it works is that 2 or 3 images can be taken in ` panoramic mode ' , each subsequent shot is overlain by a thin strip of the preceding image , in order to allow alignment . as with most ` panoramic modes ' focus and exposure is locked on the first image . so far , this is all ok ; however , it rapidly goes downhill . first , the max image size of the individual shots is limited to 5 ( not 7 ) mp . next , the image overlay is so dark that , even with the lcd set at max brightness , it is difficult to see through the mask to align the elements . however , it gets worse . the images must be joined in-camera ! the individual images cannot be stored ! in-camera processing is very slow and very battery hungry . aligning the overlaps on a grainy 1.5x2 "" lcd in the field gives , in spite of the camera 's best efforts , much poorer results than aligning them on a much bigger , and higher quality , computer display in the comfort and controlled lighting of your home . the best way to take panoramas with this camera is to use a lightmeter to determine exposure for each segment , and then simply take the appropriate series of images as 7mp single-stills , making exposure compensation adjustments based on your light-meter readings . of course , my smallest lightmeter is almost as large as this camera , so we will not be dragging it along . you can eyeball the needed ec close enough that should be able to match the exposures up in production . much better if the v705 allowed the individual images to be saved . reading back through this review , i see that it is mostly negative . this makes sense , for , as i disclosed at the beginning , it was my disappointment in this camera 's actual vs advertised capability which led me to write the review in the first place . likely i have said all that needs to be said . so i will just close by mentioning that the only reason we did not send the camera back is because of the wide-angle lens . except for this unique lens , the camera 's performance and ease of use is below that of similarly priced p&s cameras currently on the market . if you need a true wide-angle p&s , you need this camera . otherwise forget it",neg,pos
