carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
13738,ford, Galaxy,2009,Manual,58000,Diesel,200.0,44.8,1.8
18374,ford, Puma,2020,Manual,363,Petrol,145.0,50.4,1.0
13105,ford, Edge,2016,Manual,24105,Diesel,160.0,48.7,2.0
15122,audi, A8,2019,Automatic,2117,Diesel,145.0,40.4,3.0
17363,merc, SLK,2013,Semi-Auto,44226,Diesel,145.0,56.5,2.0
16597,vw, Scirocco,2016,Manual,44015,Diesel,30.0,53.3,2.0
15848,merc, CLS Class,2016,Automatic,16107,Diesel,160.0,51.4,3.0
15114,skoda, Kamiq,2019,Semi-Auto,3597,Petrol,145.0,44.1,1.5
13714,merc, CLS Class,2016,Semi-Auto,29306,Diesel,160.0,51.4,3.0
14648,audi, RS6,2016,Semi-Auto,22500,Petrol,325.0,29.4,4.0
13750,toyota, Prius,2017,Automatic,20828,Hybrid,135.0,94.1,1.8
13995,skoda, Scala,2019,Automatic,510,Diesel,145.0,54.3,1.6
15017,vw, Scirocco,2016,Manual,40000,Petrol,125.0,52.3,1.4
14255,vw, Arteon,2019,Semi-Auto,5101,Diesel,145.0,50.4,2.0
18540,skoda, Scala,2019,Manual,1149,Petrol,145.0,49.6,1.0
13827,toyota, Prius,2017,Automatic,33710,Hybrid,135.0,94.1,1.8
12626,merc, CLA Class,2017,Automatic,53159,Diesel,125.0,58.9,2.1
17894,vw, Caravelle,2006,Manual,106000,Diesel,325.0,34.4,2.5
16871,toyota, Land Cruiser,2019,Semi-Auto,16634,Diesel,145.0,30.1,2.8
13987,merc, V Class,2019,Automatic,10,Diesel,145.0,36.7,2.0
14061,merc, M Class,2015,Semi-Auto,43339,Diesel,200.0,39.2,2.1
12573,merc, S Class,2009,Automatic,122000,Diesel,325.0,36.7,3.0
15725,hyundi, I40,2016,Manual,18340,Diesel,125.0,60.1,1.7
15629,vw, Arteon,2020,Semi-Auto,2555,Diesel,145.0,53.3,2.0
18127,merc, V Class,2018,Semi-Auto,40479,Diesel,145.0,45.6,2.2
13957,audi, Q8,2019,Automatic,4278,Diesel,145.0,33.6,3.0
13304,bmw, i3,2017,Automatic,20929,Hybrid,135.0,470.8,0.0
12774,toyota, Verso,2017,Semi-Auto,19807,Petrol,200.0,42.8,1.8
12733,hyundi, Santa Fe,2016,Automatic,20960,Diesel,235.0,42.8,2.2
19535,merc, CLS Class,2018,Automatic,16568,Diesel,145.0,48.7,2.9
12144,ford, Mustang,2017,Manual,20700,Petrol,150.0,20.9,5.0
16299,vw, Arteon,2019,Manual,40,Diesel,150.0,52.3,2.0
13920,merc, CLS Class,2017,Semi-Auto,31479,Diesel,145.0,57.7,2.1
19103,hyundi, IX35,2011,Manual,79000,Petrol,205.0,41.5,1.6
17287,vw, Amarok,2015,Manual,43935,Diesel,260.0,35.3,2.0
17146,toyota, Avensis,2018,Automatic,35507,Petrol,145.0,44.1,1.8
18095,ford, Grand Tourneo Connect,2017,Manual,17442,Diesel,30.0,64.2,1.5
18554,ford, Galaxy,2016,Semi-Auto,20486,Diesel,145.0,52.3,2.0
12271,toyota, Prius,2016,Automatic,23300,Hybrid,0.0,85.6,1.8
16431,vauxhall, Antara,2014,Manual,27495,Diesel,235.0,44.1,2.2
18935,skoda, Scala,2019,Other,3500,Petrol,145.0,47.1,1.0
12864,merc, M Class,2008,Automatic,110000,Diesel,555.0,28.8,3.0
19110,ford, Puma,2019,Manual,1085,Petrol,145.0,51.4,1.0
18626,ford, Tourneo Connect,2020,Automatic,409,Diesel,145.0,44.1,1.5
14590,vw, Beetle,2015,Manual,55239,Petrol,145.0,47.9,1.2
18512,bmw, X4,2017,Automatic,58056,Diesel,145.0,54.3,2.0
14983,merc, SLK,2008,Automatic,65000,Petrol,290.0,34.4,1.8
18999,vw, CC,2015,Semi-Auto,54231,Diesel,150.0,53.3,2.0
15719,ford, Edge,2016,Automatic,24641,Diesel,160.0,48.7,2.0
15162,bmw, M4,2020,Semi-Auto,1000,Petrol,145.0,34.0,3.0
18468,toyota, GT86,2017,Manual,26919,Petrol,260.0,36.2,2.0
17832,merc, GL Class,2013,Automatic,60462,Diesel,325.0,35.3,3.0
13321,bmw, X4,2015,Manual,53197,Diesel,160.0,52.3,2.0
15401,merc, X-CLASS,2019,Automatic,500,Diesel,260.0,35.8,2.3
16001,bmw, X4,2016,Automatic,42576,Diesel,200.0,47.9,3.0
13112,hyundi, I800,2016,Automatic,17110,Diesel,325.0,33.6,2.5
12567,bmw, i8,2018,Automatic,11278,Hybrid,135.0,134.5,1.5
12366,merc, S Class,2019,Semi-Auto,7659,Diesel,145.0,52.3,3.0
17137,vw, Caddy Maxi Life,2014,Manual,56716,Diesel,200.0,48.7,1.6
12304,toyota, Verso,2018,Manual,7074,Diesel,145.0,62.8,1.6
15538,ford, Mustang,2017,Semi-Auto,26452,Petrol,580.0,23.5,5.0
14711,hyundi, IX20,2015,Manual,29000,Petrol,125.0,50.4,1.4
14728,skoda, Yeti,2017,Semi-Auto,15000,Petrol,125.0,51.4,1.2
18636,vw, Caddy Maxi Life,2019,Semi-Auto,1374,Diesel,145.0,46.3,2.0
17353,vw, Arteon,2017,Semi-Auto,6502,Petrol,145.0,47.1,2.0
18198,vauxhall, Combo Life,2019,Manual,805,Petrol,145.0,42.2,1.2
16125,merc, CLA Class,2017,Automatic,10626,Petrol,145.0,53.3,1.6
16182,vw, Scirocco,2014,Manual,43198,Diesel,30.0,62.8,2.0
14106,ford, Mustang,2020,Automatic,3500,Petrol,145.0,22.1,5.0
12516,skoda, Rapid,2017,Manual,55115,Diesel,0.0,74.3,1.6
15589,vw, Arteon,2019,Semi-Auto,6183,Diesel,145.0,50.4,2.0
17108,merc, X-CLASS,2018,Automatic,9500,Diesel,260.0,31.4,3.0
15995,bmw, 6 Series,2015,Automatic,22797,Diesel,160.0,49.6,3.0
17306,merc, S Class,2015,Automatic,30782,Hybrid,20.0,64.2,2.1
15389,ford, Edge,2017,Manual,45386,Diesel,160.0,48.7,2.0
17200,vw, Scirocco,2011,Semi-Auto,120000,Diesel,125.0,57.6,2.0
16250,merc, GL Class,2015,Automatic,54965,Diesel,125.0,55.4,2.1
17633,vw, Amarok,2017,Automatic,22000,Diesel,260.0,36.2,3.0
12751,vw, Amarok,2018,Automatic,23371,Diesel,265.0,36.2,3.0
16375,audi, SQ7,2017,Automatic,12000,Diesel,145.0,39.2,4.0
14138,merc, M Class,2014,Automatic,37986,Diesel,300.0,39.2,3.0
19006,ford, Grand C-MAX,2016,Manual,28772,Diesel,30.0,64.2,1.5
13168,hyundi, Santa Fe,2009,Manual,95000,Diesel,305.0,38.7,2.2
12962,hyundi, IX20,2017,Manual,12245,Petrol,150.0,50.4,1.4
13937,toyota, Prius,2013,Automatic,33905,Hybrid,0.0,70.6,1.8
14085,vauxhall, Combo Life,2018,Manual,10070,Diesel,145.0,53.3,1.5
14766,bmw, i3,2016,Automatic,25269,Other,0.0,470.8,0.6
14970,toyota, Avensis,2016,Manual,40312,Diesel,200.0,46.3,1.6
18264,ford, Tourneo Custom,2016,Manual,62505,Diesel,200.0,46.3,2.0
16053,bmw, M4,2020,Semi-Auto,101,Petrol,145.0,34.0,3.0
14282,vw, California,2019,Semi-Auto,3544,Diesel,260.0,29.1,2.0
17578,hyundi, I800,2018,Manual,33610,Diesel,145.0,31.7,2.5
12959,vauxhall, Agila,2014,Manual,45400,Petrol,20.0,60.1,1.0
14635,merc, M Class,2015,Semi-Auto,30657,Diesel,200.0,39.2,2.1
15032,audi, A7,2017,Semi-Auto,24337,Diesel,150.0,55.4,3.0
19005,hyundi, I800,2019,Manual,14674,Diesel,145.0,31.7,2.5
13177,skoda, Scala,2020,Manual,1652,Petrol,145.0,47.9,1.5
18255,vauxhall, Zafira Tourer,2016,Manual,44500,Diesel,30.0,62.7,1.6
14720,ford, Mustang,2018,Manual,21632,Petrol,145.0,35.3,2.3
17624,merc, CLA Class,2015,Automatic,32895,Diesel,20.0,67.3,2.1
14174,ford, Galaxy,2017,Manual,36123,Diesel,125.0,56.5,2.0
13816,vauxhall, Combo Life,2019,Manual,7821,Diesel,145.0,53.3,1.5
19544,toyota, Prius,2013,Automatic,68057,Hybrid,0.0,68.9,1.8
19165,toyota, Land Cruiser,2017,Automatic,11356,Diesel,145.0,38.2,2.8
16138,bmw, 6 Series,2014,Semi-Auto,64215,Diesel,160.0,49.6,3.0
16606,ford, Grand Tourneo Connect,2016,Manual,13608,Diesel,30.0,64.2,1.5
13514,toyota, Verso,2017,Semi-Auto,19432,Petrol,150.0,43.5,1.8
15644,merc, CLS Class,2018,Semi-Auto,8123,Diesel,145.0,48.7,2.9
16918,vauxhall, Combo Life,2018,Manual,14066,Diesel,145.0,53.3,1.5
18085,merc, G Class,2018,Semi-Auto,18234,Petrol,150.0,21.4,4.0
13226,vw, Tiguan Allspace,2019,Semi-Auto,3500,Diesel,145.0,38.7,2.0
16908,ford, Grand C-MAX,2011,Automatic,90000,Diesel,200.0,48.7,2.0
14628,bmw, X6,2018,Automatic,35706,Diesel,145.0,47.1,3.0
12058,ford, Edge,2018,Semi-Auto,9412,Diesel,150.0,47.9,2.0
16049,merc, CLA Class,2016,Automatic,30106,Diesel,125.0,58.9,2.1
14951,toyota, Verso,2017,Semi-Auto,6800,Petrol,145.0,42.8,1.8
17375,bmw, M2,2020,Semi-Auto,1501,Petrol,145.0,29.1,3.0
17153,merc, GL Class,2015,Automatic,29520,Diesel,125.0,55.4,2.1
15618,merc, GL Class,2015,Automatic,40659,Diesel,125.0,56.5,2.1
12237,merc, SLK,2014,Semi-Auto,34170,Petrol,200.0,43.5,2.0
15590,bmw, X4,2017,Semi-Auto,22768,Diesel,145.0,54.3,2.0
16631,merc, CLS Class,2016,Automatic,33000,Diesel,145.0,56.5,2.1
13486,toyota, Prius,2017,Automatic,3881,Hybrid,135.0,235.0,1.8
12712,vw, Scirocco,2015,Manual,22442,Diesel,20.0,55.4,2.0
19392,merc, SLK,2016,Automatic,39820,Diesel,30.0,70.6,2.1
16328,skoda, Scala,2020,Manual,55,Petrol,145.0,49.6,1.0
12198,bmw, X7,2019,Semi-Auto,10,Diesel,145.0,31.4,3.0
18013,vw, Arteon,2019,Manual,3248,Diesel,145.0,52.3,2.0
15711,hyundi, Santa Fe,2017,Semi-Auto,37123,Diesel,150.0,42.8,2.2
18094,vw, Beetle,2015,Manual,26196,Petrol,205.0,42.8,1.4
17638,vw, Amarok,2019,Automatic,6822,Diesel,260.0,33.6,3.0
16418,skoda, Rapid,2018,Semi-Auto,13553,Petrol,145.0,58.9,1.0
17341,merc, V Class,2018,Manual,30577,Diesel,145.0,46.3,2.1
12466,audi, A8,2018,Automatic,11300,Diesel,145.0,50.4,3.0
18571,vw, Scirocco,2016,Manual,22687,Diesel,20.0,55.4,2.0
16449,vauxhall, GTC,2015,Manual,33217,Diesel,125.0,60.1,2.0
19133,audi, A8,2019,Automatic,5900,Diesel,145.0,50.4,3.0
18228,bmw, i3,2017,Automatic,24041,Hybrid,0.0,470.8,0.0
14031,vw, Scirocco,2017,Manual,44081,Petrol,145.0,47.1,2.0
14233,ford, Galaxy,2016,Automatic,24664,Diesel,150.0,52.3,2.0
15137,bmw, 7 Series,2019,Automatic,7414,Diesel,145.0,44.8,3.0
16284,vw, Tiguan Allspace,2020,Semi-Auto,2334,Petrol,145.0,35.8,1.5
15868,ford, Grand C-MAX,2018,Manual,21384,Petrol,145.0,54.3,1.0
17964,skoda, Rapid,2014,Semi-Auto,40468,Petrol,145.0,48.7,1.4
13289,merc, V Class,2018,Automatic,15232,Diesel,145.0,48.7,2.1
19266,vw, Caravelle,2019,Semi-Auto,6280,Diesel,145.0,33.6,2.0
19588,vw, Shuttle,2018,Semi-Auto,16203,Diesel,145.0,47.1,2.0
14704,ford, Galaxy,2017,Manual,35495,Diesel,125.0,56.5,2.0
17741,merc, M Class,2013,Automatic,84000,Diesel,205.0,44.8,2.1
17237,ford, Grand C-MAX,2017,Manual,11373,Petrol,30.0,54.3,1.0
17034,vauxhall, Combo Life,2019,Manual,7300,Petrol,145.0,42.2,1.2
12856,ford, Tourneo Custom,2017,Manual,33650,Diesel,235.0,44.1,2.0
19143,bmw, Z4,2019,Automatic,467,Petrol,145.0,38.7,2.0
14566,audi, RS5,2019,Automatic,2000,Petrol,145.0,30.1,2.9
17941,skoda, Rapid,2017,Manual,33599,Diesel,145.0,74.3,1.6
12741,ford, Edge,2016,Manual,27500,Diesel,160.0,48.7,2.0
13910,ford, Grand C-MAX,2017,Manual,25243,Diesel,30.0,64.2,1.5
18166,vw, Scirocco,2015,Manual,90000,Diesel,30.0,53.3,2.0
12679,ford, Grand Tourneo Connect,2016,Manual,30000,Diesel,125.0,61.4,1.5
17823,vw, Arteon,2019,Manual,100,Diesel,150.0,52.3,2.0
12616,toyota, GT86,2017,Manual,14345,Petrol,150.0,36.2,2.0
14906,toyota, Hilux,2018,Automatic,16734,Diesel,265.0,36.2,2.4
19480,merc, GLS Class,2017,Automatic,26452,Diesel,305.0,37.2,3.0
12404,audi, A7,2017,Semi-Auto,34132,Diesel,30.0,62.8,3.0
14654,skoda, Rapid,2017,Manual,32657,Diesel,0.0,74.3,1.6
12051,vw, Arteon,2019,Automatic,7865,Diesel,145.0,50.4,2.0
16714,vw, Tiguan Allspace,2019,Semi-Auto,5000,Diesel,150.0,44.1,2.0
19494,vw, Shuttle,2019,Manual,3615,Diesel,145.0,38.2,2.0
17444,toyota, Prius,2018,Automatic,20252,Hybrid,135.0,85.6,1.8
16879,ford, KA,2018,Manual,5007,Petrol,145.0,57.7,1.2
17522,skoda, Rapid,2016,Manual,49093,Diesel,0.0,74.3,1.6
18082,hyundi, Santa Fe,2016,Manual,10200,Diesel,200.0,46.3,2.2
19058,toyota, Verso,2017,Automatic,33989,Other,165.0,43.5,1.8
16026,skoda, Scala,2020,Manual,5234,Petrol,145.0,49.6,1.0
13200,audi, A8,1997,Automatic,122000,Petrol,265.0,18.9,4.2
13675,hyundi, IX20,2016,Manual,28500,Petrol,125.0,50.4,1.4
12640,ford, Grand Tourneo Connect,2015,Manual,54429,Diesel,125.0,58.9,1.6
12978,hyundi, Santa Fe,2018,Manual,21588,Diesel,145.0,47.1,2.2
14076,merc, S Class,2019,Semi-Auto,4688,Petrol,150.0,31.7,4.0
14577,merc, GLB Class,2020,Semi-Auto,29,Diesel,145.0,46.3,2.0
13575,merc, M Class,2013,Automatic,51800,Diesel,200.0,44.8,2.1
18682,bmw, 7 Series,2019,Semi-Auto,706,Diesel,145.0,44.1,3.0
18078,audi, Q8,2019,Automatic,945,Diesel,145.0,33.6,3.0
18478,merc, GL Class,2015,Automatic,42073,Diesel,125.0,55.4,2.1
19141,merc, X-CLASS,2019,Automatic,39,Diesel,260.0,35.8,2.3
16974,bmw, X7,2019,Semi-Auto,17561,Petrol,145.0,24.8,3.0
16006,audi, RS6,2015,Automatic,24987,Petrol,315.0,29.4,4.0
12653,skoda, Yeti,2013,Manual,67235,Diesel,200.0,47.1,2.0
16813,ford, Edge,2017,Semi-Auto,20045,Diesel,160.0,48.7,2.0
16936,bmw, M4,2017,Automatic,5735,Petrol,145.0,32.5,3.0
14033,ford, Edge,2017,Semi-Auto,41726,Diesel,160.0,48.7,2.0
18363,vauxhall, GTC,2016,Automatic,44310,Petrol,200.0,42.8,1.4
16900,ford, Edge,2017,Manual,22922,Diesel,160.0,48.7,2.0
18025,vauxhall, Combo Life,2019,Manual,17957,Diesel,145.0,53.3,1.5
13848,merc, S Class,2015,Automatic,46757,Diesel,205.0,47.9,3.0
16208,audi, Q8,2019,Semi-Auto,4488,Diesel,145.0,33.6,3.0
13841,toyota, Verso,2016,Semi-Auto,13992,Petrol,165.0,43.5,1.8
14265,merc, SLK,2001,Automatic,48172,Petrol,325.0,30.0,2.3
18586,ford, KA,2018,Manual,10691,Petrol,150.0,47.9,1.2
12925,ford, Galaxy,2017,Manual,32750,Diesel,125.0,56.5,2.0
18548,vw, Arteon,2019,Automatic,1000,Diesel,145.0,37.7,2.0
12493,vw, Beetle,2013,Manual,38333,Petrol,235.0,37.2,2.0
18806,toyota, Prius,2013,Automatic,58852,Other,10.0,64.2,1.8
14276,vw, Amarok,2018,Automatic,5673,Diesel,260.0,33.6,3.0
18194,skoda, Rapid,2015,Manual,28301,Petrol,20.0,57.7,1.2
17162,hyundi, Santa Fe,2020,Semi-Auto,6000,Diesel,150.0,39.2,2.2
18698,merc, S Class,2015,Semi-Auto,29036,Diesel,160.0,50.4,3.0
12646,vw, Scirocco,2017,Automatic,34203,Diesel,145.0,62.8,2.0
18259,toyota, Avensis,2016,Manual,29535,Diesel,20.0,67.3,1.6
16487,bmw, M5,2012,Automatic,51000,Petrol,555.0,28.5,4.4
17871,ford, Grand C-MAX,2017,Manual,4040,Petrol,145.0,54.3,1.0
12207,hyundi, IX20,2017,Manual,10279,Petrol,145.0,50.4,1.4
14600,vw, Scirocco,2017,Manual,24481,Diesel,150.0,55.4,2.0
15106,vw, Amarok,2019,Automatic,6898,Diesel,260.0,33.6,3.0
16533,vw, Scirocco,2016,Manual,17141,Diesel,20.0,55.4,2.0
19146,vw, Arteon,2019,Automatic,6000,Diesel,145.0,50.4,2.0
18894,vw, Amarok,2018,Automatic,13764,Diesel,260.0,36.2,3.0
13800,ford, Galaxy,2016,Automatic,35646,Diesel,160.0,51.4,2.0
18243,ford, KA,2013,Manual,17427,Petrol,30.0,57.7,1.2
15659,skoda, Yeti,2017,Manual,19956,Diesel,145.0,62.8,2.0
18780,ford, Galaxy,2016,Manual,27315,Diesel,125.0,56.5,2.0
18933,toyota, Prius,2017,Automatic,9891,Hybrid,0.0,85.6,1.8
14400,vw, Beetle,2016,Manual,21930,Petrol,125.0,51.4,1.2
13598,merc, CLA Class,2020,Automatic,3600,Petrol,145.0,33.2,2.0
16243,ford, Tourneo Custom,2019,Manual,1410,Diesel,145.0,30.1,2.0
19046,toyota, Prius,2018,Automatic,59191,Other,135.0,235.0,1.8
14995,ford, Galaxy,2016,Manual,23300,Diesel,125.0,56.5,2.0
16156,vw, Caravelle,2011,Automatic,86000,Diesel,325.0,34.4,2.0
12780,merc, GLS Class,2019,Automatic,11607,Diesel,145.0,37.2,3.0
17230,ford, Grand Tourneo Connect,2017,Manual,4856,Diesel,145.0,61.4,1.5
19154,toyota, Prius,2018,Automatic,10549,Hybrid,135.0,94.1,1.8
17170,hyundi, Santa Fe,2017,Semi-Auto,12957,Diesel,240.0,42.8,2.2
14155,bmw, i3,2017,Automatic,17338,Hybrid,135.0,470.8,0.0
17308,bmw, X4,2019,Semi-Auto,6449,Diesel,145.0,37.2,3.0
13255,merc, V Class,2017,Semi-Auto,41298,Diesel,205.0,45.6,2.2
14311,bmw, X4,2019,Automatic,2188,Petrol,145.0,26.9,3.0
19393,toyota, Prius,2019,Automatic,3982,Hybrid,135.0,61.4,1.8
12301,toyota, Prius,2016,Automatic,48297,Hybrid,0.0,85.6,1.8
18687,vauxhall, GTC,2015,Manual,32160,Petrol,160.0,44.8,1.6
17760,audi, RS3,2017,Automatic,38000,Petrol,150.0,34.0,2.5
14908,vw, Tiguan Allspace,2019,Automatic,7971,Diesel,145.0,39.2,2.0
13431,merc, V Class,2019,Manual,5000,Diesel,145.0,46.3,2.1
18937,audi, Q8,2020,Automatic,3522,Diesel,145.0,30.7,4.0
18506,vw, Beetle,2017,Manual,30456,Diesel,150.0,67.3,2.0
19464,bmw, 6 Series,2017,Automatic,23954,Petrol,260.0,36.7,3.0
14547,ford, Tourneo Custom,2017,Manual,23838,Diesel,150.0,44.8,2.0
16274,ford, Galaxy,2016,Manual,87180,Diesel,125.0,56.5,2.0
15587,bmw, X4,2017,Semi-Auto,18441,Diesel,145.0,54.3,2.0
16201,skoda, Kamiq,2019,Manual,458,Petrol,150.0,49.6,1.0
15510,hyundi, Santa Fe,2019,Semi-Auto,5883,Diesel,145.0,39.2,2.2
17859,bmw, X4,2019,Semi-Auto,1852,Diesel,145.0,40.4,3.0
14084,vw, Amarok,2017,Automatic,25624,Diesel,260.0,36.2,3.0
12842,ford, Edge,2018,Semi-Auto,12815,Diesel,150.0,48.7,2.0
18313,vauxhall, Zafira Tourer,2017,Manual,21000,Diesel,145.0,62.8,1.6
13822,vw, Caddy Life,2020,Manual,1700,Diesel,150.0,51.4,2.0
13743,audi, RS3,2020,Automatic,10,Petrol,145.0,30.1,2.5
15657,bmw, X4,2019,Semi-Auto,7414,Diesel,145.0,42.8,2.0
13428,ford, KA,2013,Manual,22995,Petrol,30.0,57.7,1.2
16488,ford, Grand C-MAX,2016,Manual,34883,Diesel,30.0,61.4,2.0
17023,vw, Scirocco,2018,Manual,30532,Diesel,145.0,53.3,2.0
15880,ford, Mustang,2019,Automatic,1055,Petrol,145.0,22.1,5.0
16626,bmw, 7 Series,2020,Semi-Auto,3500,Diesel,145.0,42.2,3.0
18385,toyota, Prius,2010,Automatic,67000,Hybrid,0.0,70.6,1.8
19302,audi, A7,2019,Automatic,15302,Diesel,145.0,47.1,2.0
19063,ford, Galaxy,2016,Manual,33883,Diesel,125.0,56.5,2.0
16416,toyota, Prius,2018,Automatic,44512,Hybrid,135.0,94.1,1.8
19186,vw, Scirocco,2016,Manual,32526,Petrol,125.0,52.3,1.4
12421,vw, Shuttle,2019,Semi-Auto,10000,Diesel,150.0,32.8,2.0
15939,vw, CC,2016,Automatic,54355,Diesel,125.0,58.9,2.0
14971,bmw, Z4,2019,Semi-Auto,7363,Petrol,145.0,38.2,2.0
16249,merc, CLS Class,2013,Semi-Auto,64777,Diesel,205.0,47.1,3.0
16100,merc, CLS Class,2019,Semi-Auto,7301,Diesel,145.0,47.9,2.9
14801,ford, KA,2013,Manual,33761,Petrol,30.0,57.7,1.2
18138,audi, SQ5,2017,Automatic,27000,Petrol,150.0,34.0,3.0
17046,hyundi, IX20,2018,Manual,3250,Petrol,145.0,37.2,1.6
12084,skoda, Scala,2019,Manual,3501,Petrol,145.0,49.6,1.0
18661,audi, RS5,2019,Semi-Auto,2469,Petrol,150.0,29.7,2.9
17430,bmw, X4,2019,Semi-Auto,8515,Diesel,145.0,42.8,2.0
16752,bmw, 6 Series,2020,Semi-Auto,11,Petrol,145.0,42.8,2.0
19529,skoda, Rapid,2013,Manual,29750,Petrol,125.0,52.3,1.2
15544,toyota, Prius,2013,Automatic,52217,Hybrid,0.0,134.5,1.8
12997,ford, Edge,2017,Semi-Auto,25725,Diesel,145.0,47.9,2.0
15560,skoda, Yeti,2017,Manual,13591,Petrol,145.0,51.4,1.2
16273,ford, Edge,2017,Automatic,19039,Diesel,160.0,48.7,2.0
13104,merc, SLK,2006,Automatic,75000,Petrol,555.0,28.0,3.5
16336,skoda, Yeti,2014,Manual,43429,Diesel,30.0,61.4,1.6
15333,merc, GLS Class,2018,Semi-Auto,41102,Petrol,145.0,23.0,5.5
18089,hyundi, Santa Fe,2020,Semi-Auto,1801,Diesel,145.0,39.8,2.2
17874,ford, KA,2016,Manual,30225,Petrol,30.0,57.7,1.2
19347,skoda, Scala,2019,Semi-Auto,5000,Petrol,145.0,47.1,1.0
17270,toyota, GT86,2014,Manual,39761,Petrol,265.0,36.2,2.0
14902,skoda, Yeti,2015,Manual,32800,Diesel,165.0,49.6,2.0
15948,bmw, 6 Series,2019,Semi-Auto,7994,Petrol,145.0,42.8,2.0
18075,vw, Amarok,2019,Automatic,16898,Diesel,260.0,33.6,3.0
16060,skoda, Kamiq,2019,Semi-Auto,1500,Petrol,145.0,43.5,1.5
18851,ford, Grand Tourneo Connect,2015,Manual,30760,Diesel,115.0,58.9,1.6
18556,merc, X-CLASS,2017,Automatic,11447,Diesel,260.0,35.8,2.3
15116,skoda, Kamiq,2020,Manual,1500,Petrol,145.0,49.6,1.0
12261,ford, Grand C-MAX,2017,Manual,8121,Petrol,145.0,54.3,1.0
18981,hyundi, I800,2018,Automatic,34605,Diesel,145.0,28.0,2.5
17093,hyundi, Santa Fe,2019,Semi-Auto,30,Diesel,145.0,40.9,2.2
14652,skoda, Rapid,2017,Manual,23002,Petrol,145.0,57.7,1.2
16202,merc, G Class,2017,Automatic,38247,Petrol,145.0,20.5,5.5
18517,hyundi, IX20,2017,Manual,21354,Petrol,145.0,50.4,1.4
16598,skoda, Scala,2019,Automatic,3500,Petrol,145.0,45.6,1.5
16333,ford, Galaxy,2017,Semi-Auto,40838,Diesel,145.0,52.3,2.0
16002,ford, Edge,2019,Automatic,4694,Diesel,145.0,37.2,2.0
18163,hyundi, I800,2019,Manual,7691,Diesel,150.0,31.7,0.0
12150,vw, Caravelle,2019,Automatic,11163,Diesel,145.0,33.6,2.0
12036,skoda, Rapid,2018,Manual,12231,Petrol,145.0,62.8,1.0
19622,toyota, GT86,2014,Manual,25499,Petrol,260.0,36.2,2.0
13578,ford, KA,2009,Manual,6000,Petrol,30.0,55.4,1.2
15531,vw, Caravelle,2020,Semi-Auto,2000,Diesel,150.0,33.6,2.0
14617,merc, GLB Class,2020,Semi-Auto,19,Diesel,145.0,46.3,2.0
14686,hyundi, IX35,2014,Manual,53544,Diesel,165.0,51.4,2.0
12797,toyota, Supra,2019,Automatic,10,Petrol,145.0,34.5,3.0
15425,skoda, Yeti,2014,Manual,13593,Petrol,165.0,46.3,1.2
12794,bmw, X4,2020,Semi-Auto,7724,Diesel,145.0,37.2,3.0
16440,merc, GL Class,2017,Automatic,56316,Diesel,125.0,56.5,2.1
13691,merc, S Class,2017,Semi-Auto,26699,Diesel,145.0,50.4,3.0
15330,vw, Scirocco,2018,Manual,27885,Petrol,145.0,47.1,2.0
18652,skoda, Rapid,2015,Manual,18926,Diesel,30.0,64.2,1.6
12066,merc, CLS Class,2016,Automatic,17730,Diesel,165.0,51.4,3.0
