Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,1-STORY 1946+,RL,70.0,11200,Pave,,0,Lvl,3,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,3,906,1,0,134,1040,GasA,5,1,5,1040,0,0,1040,1,0,1,0,3,1,3,5,0,0,0,Detchd,1965.0,1,1,384,3,3,2,0,0,0,0,0,0,0,0,,0,Feb,2008,WD,Normal,129500
12,2-STORY 1946+,RL,85.0,11924,Pave,,1,Lvl,3,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,WdShing,Stone,286.0,5,3,PConc,5,3,0,6,998,1,0,177,1175,GasA,5,1,5,1182,1142,0,2324,1,0,3,0,4,1,5,11,0,2,4,BuiltIn,2005.0,3,3,736,3,3,2,147,21,0,0,0,0,0,0,,0,July,2006,New,Partial,345000
13,1-STORY 1946+,RL,,12968,Pave,,2,Lvl,3,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,0,5,737,1,0,175,912,GasA,3,1,5,912,0,0,912,1,0,1,0,2,1,3,4,0,0,0,Detchd,1962.0,1,1,352,3,3,2,140,0,0,0,176,0,0,0,,0,Sept,2008,WD,Normal,144000
14,1-STORY 1946+,RL,91.0,10652,Pave,,1,Lvl,3,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,2,1,0,1,0,1494,1494,GasA,5,1,5,1494,0,0,1494,0,0,2,0,3,1,4,7,0,1,4,Attchd,2006.0,2,3,840,3,3,2,160,33,0,0,0,0,0,0,,0,Aug,2007,New,Partial,279500
15,1-STORY 1946+,RL,,10920,Pave,,1,Lvl,3,Corner,0,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,0,4,733,1,0,520,1253,GasA,3,1,5,1253,0,0,1253,1,0,1,1,2,1,3,5,0,1,2,Attchd,1960.0,2,1,352,3,3,2,0,213,176,0,0,0,0,2,,0,May,2008,WD,Normal,157000
16,1-1/2 STORY UNF,RM,51.0,6120,Pave,,0,Lvl,3,Corner,0,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,832,832,GasA,5,1,4,854,0,0,854,0,0,1,0,2,1,3,5,0,0,0,Detchd,1991.0,1,2,576,3,3,2,48,112,0,0,0,0,0,4,,0,July,2007,WD,Normal,132000
17,1-STORY 1946+,RL,,11241,Pave,,1,Lvl,3,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,0,5,578,1,0,426,1004,GasA,5,1,5,1004,0,0,1004,1,0,1,0,2,1,3,5,0,1,3,Attchd,1970.0,3,2,480,3,3,2,0,0,0,0,0,0,0,0,Shed,700,Mar,2010,WD,Normal,149000
18,DUPLEX,RL,72.0,10791,Pave,,0,Lvl,3,Inside,0,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,1,5,1296,0,0,1296,0,0,2,0,2,2,3,6,0,0,0,CarPort,1967.0,1,2,516,3,3,2,0,0,0,0,0,0,0,0,Shed,500,Oct,2006,WD,Normal,90000
19,1-STORY 1946+,RL,66.0,13695,Pave,,0,Lvl,3,Inside,0,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,0,6,646,1,0,468,1114,GasA,5,1,5,1114,0,0,1114,1,0,1,1,3,1,4,6,0,0,0,Detchd,2004.0,1,2,576,3,3,2,0,102,0,0,0,0,0,0,,0,June,2008,WD,Normal,159000
20,1-STORY 1946+,RL,70.0,7560,Pave,,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,0,2,504,1,0,525,1029,GasA,3,1,5,1339,0,0,1339,0,0,1,0,3,1,3,6,1,0,0,Attchd,1958.0,1,1,294,3,3,2,0,0,0,0,0,0,0,3,,0,May,2009,COD,Abnorml,139000
21,2-STORY 1946+,RL,101.0,14215,Pave,,1,Lvl,3,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,2,1,0,1,0,1158,1158,GasA,5,1,5,1158,1218,0,2376,0,0,3,1,4,1,4,9,0,1,4,BuiltIn,2005.0,2,3,853,3,3,2,240,154,0,0,0,0,0,0,,0,Nov,2006,New,Partial,325300
22,1-1/2 STORY UNF,RM,57.0,7449,Pave,Grvl,0,Bnk,3,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,637,637,GasA,5,1,3,1108,0,0,1108,0,0,1,0,3,1,4,6,0,1,4,Attchd,1930.0,1,1,280,3,3,0,0,0,205,0,0,0,0,4,,0,June,2007,WD,Normal,139400
23,1-STORY 1946+,RL,75.0,9742,Pave,,0,Lvl,3,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,0,1,0,1,0,1777,1777,GasA,5,1,5,1795,0,0,1795,0,0,2,0,3,1,4,7,0,1,4,Attchd,2002.0,2,2,534,3,3,2,171,159,0,0,0,0,0,0,,0,Sept,2008,WD,Normal,230000
24,1-STORY PUD 1946+,RM,44.0,4224,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,0,6,840,1,0,200,1040,GasA,3,1,5,1060,0,0,1060,1,0,1,0,3,1,3,6,0,1,3,Attchd,1976.0,1,2,572,3,3,2,100,110,0,0,0,0,0,0,,0,June,2007,WD,Normal,129900
25,1-STORY 1946+,RL,,8246,Pave,,1,Lvl,3,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,1,3,188,5,668,204,1060,GasA,5,1,5,1060,0,0,1060,1,0,1,0,3,1,4,6,0,1,3,Attchd,1968.0,1,1,270,3,3,2,406,90,0,0,0,0,0,3,,0,May,2010,WD,Normal,154000
26,1-STORY 1946+,RL,110.0,14230,Pave,,0,Lvl,3,Corner,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,0,1,0,1,0,1566,1566,GasA,5,1,5,1600,0,0,1600,0,0,2,0,3,1,4,7,0,1,4,Attchd,2007.0,2,3,890,3,3,2,0,56,0,0,0,0,0,0,,0,July,2009,WD,Normal,256300
27,1-STORY 1946+,RL,60.0,7200,Pave,,0,Lvl,3,Corner,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,234,3,486,180,900,GasA,3,1,5,900,0,0,900,0,1,1,0,3,1,4,5,0,0,0,Detchd,2005.0,1,2,576,3,3,2,222,32,0,0,0,0,0,0,,0,May,2010,WD,Normal,134800
28,1-STORY 1946+,RL,98.0,11478,Pave,,0,Lvl,3,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,0,6,1218,1,0,486,1704,GasA,5,1,5,1704,0,0,1704,1,0,2,0,3,1,4,7,0,1,4,Attchd,2008.0,2,3,772,3,3,2,0,50,0,0,0,0,0,0,,0,May,2010,WD,Normal,306000
29,1-STORY 1946+,RL,47.0,16321,Pave,,1,Lvl,3,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,3,4,1277,1,0,207,1484,GasA,3,1,5,1600,0,0,1600,1,0,1,0,2,1,3,6,0,2,4,Attchd,1957.0,2,1,319,3,3,2,288,258,0,0,0,0,0,0,,0,Dec,2006,WD,Normal,207500
30,1-STORY 1945-,RM,60.0,6324,Pave,,1,Lvl,3,Inside,0,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,520,520,GasA,2,0,5,520,0,0,520,0,0,1,0,1,1,2,4,0,0,0,Detchd,1920.0,1,1,240,2,3,2,49,0,87,0,0,0,0,0,,0,May,2008,WD,Normal,68500
31,2-STORY 1945-,C,50.0,8500,Pave,Pave,0,Lvl,3,Inside,0,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,0,1,0,1,0,649,649,GasA,3,0,5,649,668,0,1317,0,0,1,0,3,1,3,6,0,0,0,Detchd,1920.0,1,1,250,3,2,0,0,54,172,0,0,0,0,3,,0,July,2008,WD,Normal,40000
32,1-STORY 1946+,RL,,8544,Pave,,1,Lvl,3,CulDSac,0,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,1,0,1,0,1228,1228,GasA,4,1,5,1228,0,0,1228,0,0,1,1,3,1,4,6,0,0,0,Attchd,1966.0,1,1,271,3,3,2,0,65,0,0,0,0,0,3,,0,June,2008,WD,Normal,149350
33,1-STORY 1946+,RL,85.0,11049,Pave,,0,Lvl,3,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,2,1,0,1,0,1234,1234,GasA,5,1,5,1234,0,0,1234,0,0,2,0,3,1,4,7,0,0,0,Attchd,2007.0,2,2,484,3,3,2,0,30,0,0,0,0,0,0,,0,Jan,2008,WD,Normal,179900
34,1-STORY 1946+,RL,70.0,10552,Pave,,1,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,0,3,1018,1,0,380,1398,GasA,4,1,5,1700,0,0,1700,0,1,1,1,4,1,4,6,0,1,4,Attchd,1959.0,2,2,447,3,3,2,0,38,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,165500
35,1-STORY PUD 1946+,RL,60.0,7313,Pave,,0,Lvl,3,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,0,6,1153,1,0,408,1561,GasA,5,1,5,1561,0,0,1561,1,0,2,0,2,1,5,6,0,1,4,Attchd,2005.0,3,2,556,3,3,2,203,47,0,0,0,0,0,0,,0,Aug,2007,WD,Normal,277500
36,2-STORY 1946+,RL,108.0,13418,Pave,,0,Lvl,3,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,2,1,0,1,0,1117,1117,GasA,5,1,5,1132,1320,0,2452,0,0,3,1,4,1,4,9,0,1,4,BuiltIn,2004.0,3,3,691,3,3,2,113,32,0,0,0,0,0,0,,0,Sept,2006,WD,Normal,309000
37,1-STORY 1946+,RL,112.0,10859,Pave,,0,Lvl,3,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,1,0,1,0,1097,1097,GasA,5,1,5,1097,0,0,1097,0,0,1,1,3,1,3,6,0,0,0,Attchd,1995.0,1,2,672,3,3,2,392,64,0,0,0,0,0,0,,0,June,2009,WD,Normal,145000
38,1-STORY 1946+,RL,74.0,8532,Pave,,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,0,3,1213,1,0,84,1297,GasA,4,1,5,1297,0,0,1297,0,1,1,0,3,1,3,5,0,1,3,Attchd,1954.0,3,2,498,3,3,2,0,0,0,0,0,0,0,0,,0,Oct,2009,WD,Normal,153000
39,1-STORY 1946+,RL,68.0,7922,Pave,,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0,6,731,1,0,326,1057,GasA,3,1,5,1057,0,0,1057,1,0,1,0,3,1,4,5,0,0,0,Detchd,1953.0,1,1,246,3,3,2,0,52,0,0,0,0,0,0,,0,Jan,2010,WD,Abnorml,109000
40,DUPLEX,RL,65.0,6040,Pave,,0,Lvl,3,Inside,0,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,0,0,0,0,0,0,0,GasA,3,0,2,1152,0,0,1152,0,0,2,0,2,2,2,6,0,0,0,,1955.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,June,2008,WD,AdjLand,82000
41,1-STORY 1946+,RL,84.0,8658,Pave,,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,0,3,643,1,0,445,1088,GasA,5,1,5,1324,0,0,1324,0,0,2,0,3,1,3,6,0,1,3,Attchd,1965.0,2,2,440,3,3,2,0,138,0,0,0,0,0,2,,0,Dec,2006,WD,Abnorml,160000
42,1-STORY 1946+,RL,115.0,16905,Pave,,0,Lvl,3,Inside,0,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,3,4,967,1,0,383,1350,GasA,4,1,5,1328,0,0,1328,0,1,1,1,2,1,3,5,0,2,4,Attchd,1959.0,2,1,308,3,3,1,0,104,0,0,0,0,0,0,,0,July,2007,WD,Normal,170000
43,SPLIT FOYER,RL,,9180,Pave,,1,Lvl,3,CulDSac,0,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,2,5,747,3,93,0,840,GasA,4,1,5,884,0,0,884,1,0,1,0,2,1,4,5,0,0,0,Attchd,1983.0,2,2,504,3,4,2,240,0,0,0,0,0,0,3,,0,Dec,2007,WD,Normal,144000
44,1-STORY 1946+,RL,,9200,Pave,,1,Lvl,3,CulDSac,0,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,2,2,280,4,491,167,938,GasA,3,1,5,938,0,0,938,1,0,1,0,3,1,3,5,0,0,0,Detchd,1977.0,1,1,308,3,3,2,145,0,0,0,0,0,0,3,,0,July,2008,WD,Normal,130250
45,1-STORY 1946+,RL,70.0,7945,Pave,,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,5,179,4,506,465,1150,GasA,5,1,4,1150,0,0,1150,1,0,1,0,3,1,3,6,0,0,0,Attchd,1959.0,2,1,300,3,3,2,0,0,0,0,0,0,0,0,,0,May,2006,WD,Normal,141000
46,1-STORY PUD 1946+,RL,61.0,7658,Pave,,0,Lvl,3,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,0,6,456,1,0,1296,1752,GasA,5,1,5,1752,0,0,1752,1,0,2,0,2,1,5,6,0,1,4,Attchd,2005.0,2,2,576,3,3,2,196,82,0,0,0,0,0,0,,0,Feb,2010,WD,Normal,319900
47,1-1/2 STORY FIN,RL,48.0,12822,Pave,,1,Lvl,3,CulDSac,0,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,0,6,1351,1,0,83,1434,GasA,5,1,5,1518,631,0,2149,1,0,1,1,1,1,4,6,0,1,5,Attchd,2003.0,2,2,670,3,3,2,168,43,0,0,198,0,0,0,,0,Aug,2009,WD,Abnorml,239686
48,1-STORY 1946+,FV,84.0,11096,Pave,,0,Lvl,3,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,6,24,1,0,1632,1656,GasA,5,1,5,1656,0,0,1656,0,0,2,0,3,1,4,7,0,0,0,Attchd,2006.0,2,3,826,3,3,2,0,146,0,0,0,0,0,0,,0,July,2007,WD,Normal,249700
49,2 FAMILY CONVERSION,RM,33.0,4456,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,736,736,GasA,4,1,5,736,716,0,1452,0,0,2,0,2,3,3,8,0,0,0,,1920.0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,,0,June,2009,New,Partial,113000
50,1-STORY 1946+,RL,66.0,7742,Pave,,0,Lvl,3,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,4,763,1,0,192,955,GasA,5,1,5,955,0,0,955,1,0,1,0,3,1,3,6,0,0,0,Attchd,1966.0,1,1,386,3,3,2,0,0,0,0,0,0,0,3,,0,Jan,2007,WD,Normal,127000
51,2-STORY 1946+,RL,,13869,Pave,,2,Lvl,3,Corner,0,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,182,1,0,612,794,GasA,4,1,5,794,676,0,1470,0,1,2,0,3,1,3,6,0,0,0,Attchd,1997.0,3,2,388,3,3,2,0,75,0,0,0,0,0,0,,0,July,2007,WD,Normal,177000
52,1-1/2 STORY FIN,RM,52.0,6240,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,816,816,GasA,3,1,5,816,0,360,1176,0,0,1,0,3,1,3,6,0,1,4,Detchd,1985.0,1,2,528,3,3,2,112,0,0,0,0,0,0,3,Shed,400,Sept,2006,WD,Normal,114500
53,DUPLEX,RM,110.0,8472,Grvl,,2,Bnk,3,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,3,2,104,6,712,0,816,GasA,3,0,5,816,0,0,816,1,0,1,0,2,1,3,5,0,0,0,CarPort,1963.0,1,2,516,3,3,2,106,0,0,0,0,0,0,0,,0,May,2010,WD,Normal,110000
54,1-STORY 1946+,RL,68.0,50271,Pave,,1,Low,3,Inside,0,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,WdShing,None,0.0,4,3,CBlock,5,3,3,6,1810,1,0,32,1842,GasA,4,1,5,1842,0,0,1842,2,0,0,1,0,1,4,5,0,1,4,Attchd,1981.0,3,3,894,3,3,2,857,72,0,0,0,0,0,0,,0,Nov,2006,WD,Normal,385000
55,SPLIT OR MULTI-LEVEL,RL,60.0,7134,Pave,,0,Bnk,3,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,5,384,1,0,0,384,GasA,3,1,5,1360,0,0,1360,0,0,1,0,3,1,3,6,1,1,3,Detchd,1962.0,1,2,572,3,3,2,0,50,0,0,0,0,0,3,,0,Feb,2007,WD,Normal,130000
