,date,product_code,quantity
57,2022-01-27,DBR-56,0
58,2022-01-27,A35-AC,0
59,2022-01-27,DTC-23,-6
60,2022-01-28,DBR-56,0
61,2022-01-28,A35-AC,0
62,2022-01-28,DTC-23,-7
63,2022-01-31,DBR-56,0
64,2022-01-31,A35-AC,0
65,2022-01-31,DTC-23,-10
66,2022-02-01,DBR-56,371
67,2022-02-01,DBR-56,-27
68,2022-02-01,A35-AC,79
69,2022-02-01,A35-AC,-7
70,2022-02-01,DTC-23,283
71,2022-02-01,DTC-23,-14
72,2022-02-02,DBR-56,-26
73,2022-02-02,A35-AC,-2
74,2022-02-02,DTC-23,-7
75,2022-02-03,DBR-56,-13
76,2022-02-03,A35-AC,-4
77,2022-02-03,DTC-23,-10
78,2022-02-04,DBR-56,-21
79,2022-02-04,A35-AC,-6
80,2022-02-04,DTC-23,-15
81,2022-02-07,DBR-56,-21
82,2022-02-07,A35-AC,-6
83,2022-02-07,DTC-23,-8
84,2022-02-08,DBR-56,-15
85,2022-02-08,A35-AC,-5
86,2022-02-08,DTC-23,-6
87,2022-02-09,DBR-56,-25
88,2022-02-09,A35-AC,-3
89,2022-02-09,DTC-23,-9
90,2022-02-10,DBR-56,-28
91,2022-02-10,A35-AC,-4
92,2022-02-10,DTC-23,-8
93,2022-02-11,DBR-56,-29
94,2022-02-11,A35-AC,-4
95,2022-02-11,DTC-23,-8
96,2022-02-14,DBR-56,-11
97,2022-02-14,A35-AC,-3
98,2022-02-14,DTC-23,-13
99,2022-02-15,DBR-56,-17
100,2022-02-15,A35-AC,-6
101,2022-02-15,DTC-23,-5
102,2022-02-16,DBR-56,-12
103,2022-02-16,A35-AC,-2
104,2022-02-16,DTC-23,-11
105,2022-02-17,DBR-56,-10
106,2022-02-17,A35-AC,-6
107,2022-02-17,DTC-23,-11
108,2022-02-18,DBR-56,-10
109,2022-02-18,A35-AC,-3
110,2022-02-18,DTC-23,-10
111,2022-02-21,DBR-56,-25
112,2022-02-21,A35-AC,-6
113,2022-02-21,DTC-23,-9
114,2022-02-22,DBR-56,-16
115,2022-02-22,A35-AC,-4
116,2022-02-22,DTC-23,-5
117,2022-02-23,DBR-56,-14
118,2022-02-23,A35-AC,-3
119,2022-02-23,DTC-23,-9
120,2022-02-24,DBR-56,-25
121,2022-02-24,A35-AC,-5
122,2022-02-24,DTC-23,-15
123,2022-02-25,DBR-56,-19
124,2022-02-25,A35-AC,0
125,2022-02-25,DTC-23,-9
126,2022-02-28,DBR-56,-7
127,2022-02-28,A35-AC,0
128,2022-02-28,DTC-23,-15
129,2022-03-01,DBR-56,398
130,2022-03-01,DBR-56,-24
131,2022-03-01,A35-AC,79
132,2022-03-01,A35-AC,-7
133,2022-03-01,DTC-23,274
134,2022-03-01,DTC-23,-13
135,2022-03-02,DBR-56,-24
136,2022-03-02,A35-AC,-3
137,2022-03-02,DTC-23,-12
138,2022-03-03,DBR-56,-15
139,2022-03-03,A35-AC,-2
140,2022-03-03,DTC-23,-13
141,2022-03-04,DBR-56,-29
142,2022-03-04,A35-AC,-3
143,2022-03-04,DTC-23,-11
144,2022-03-07,DBR-56,-22
145,2022-03-07,A35-AC,-3
146,2022-03-07,DTC-23,-7
147,2022-03-08,DBR-56,-18
148,2022-03-08,A35-AC,-5
149,2022-03-08,DTC-23,-6
150,2022-03-09,DBR-56,-28
151,2022-03-09,A35-AC,-3
152,2022-03-09,DTC-23,-15
153,2022-03-10,DBR-56,-16
154,2022-03-10,A35-AC,-6
155,2022-03-10,DTC-23,-12
156,2022-03-11,DBR-56,-15
157,2022-03-11,A35-AC,-3
158,2022-03-11,DTC-23,-8
159,2022-03-14,DBR-56,-22
160,2022-03-14,A35-AC,-6
161,2022-03-14,DTC-23,-8
162,2022-03-15,DBR-56,-16
163,2022-03-15,A35-AC,-6
164,2022-03-15,DTC-23,-14
165,2022-03-16,DBR-56,-21
166,2022-03-16,A35-AC,-6
167,2022-03-16,DTC-23,-12
168,2022-03-17,DBR-56,-12
169,2022-03-17,A35-AC,-6
170,2022-03-17,DTC-23,-12
171,2022-03-18,DBR-56,-18
172,2022-03-18,A35-AC,-7
173,2022-03-18,DTC-23,-10
174,2022-03-21,DBR-56,-11
175,2022-03-21,A35-AC,-3
176,2022-03-21,DTC-23,-10
177,2022-03-22,DBR-56,-18
178,2022-03-22,A35-AC,-6
179,2022-03-22,DTC-23,-14
180,2022-03-23,DBR-56,-20
181,2022-03-23,A35-AC,-4
182,2022-03-23,DTC-23,-13
183,2022-03-24,DBR-56,-12
184,2022-03-24,A35-AC,0
185,2022-03-24,DTC-23,-5
186,2022-03-25,DBR-56,-13
187,2022-03-25,A35-AC,0
188,2022-03-25,DTC-23,-11
189,2022-03-28,DBR-56,-21
190,2022-03-28,A35-AC,0
191,2022-03-28,DTC-23,-16
192,2022-03-29,DBR-56,-13
193,2022-03-29,A35-AC,0
194,2022-03-29,DTC-23,-14
195,2022-03-30,DBR-56,-10
196,2022-03-30,A35-AC,0
197,2022-03-30,DTC-23,-6
198,2022-03-31,DBR-56,0
199,2022-03-31,A35-AC,0
200,2022-03-31,DTC-23,-6
201,2022-04-01,DBR-56,389
202,2022-04-01,DBR-56,-10
203,2022-04-01,A35-AC,78
204,2022-04-01,A35-AC,-4
205,2022-04-01,DTC-23,189
206,2022-04-01,DTC-23,-5
207,2022-04-04,DBR-56,-28
208,2022-04-04,A35-AC,-7
209,2022-04-04,DTC-23,-8
210,2022-04-05,DBR-56,-29
211,2022-04-05,A35-AC,-6
212,2022-04-05,DTC-23,-7
213,2022-04-06,DBR-56,-30
214,2022-04-06,A35-AC,-4
215,2022-04-06,DTC-23,-13
216,2022-04-07,DBR-56,-25
217,2022-04-07,A35-AC,-3
218,2022-04-07,DTC-23,-5
219,2022-04-08,DBR-56,-29
220,2022-04-08,A35-AC,-7
221,2022-04-08,DTC-23,-6
222,2022-04-11,DBR-56,-18
223,2022-04-11,A35-AC,-7
224,2022-04-11,DTC-23,-16
225,2022-04-12,DBR-56,-26
226,2022-04-12,A35-AC,-7
227,2022-04-12,DTC-23,-7
228,2022-04-13,DBR-56,-24
229,2022-04-13,A35-AC,-5
230,2022-04-13,DTC-23,-7
231,2022-04-14,DBR-56,-11
232,2022-04-14,A35-AC,-6
233,2022-04-14,DTC-23,-9
234,2022-04-15,DBR-56,-16
235,2022-04-15,A35-AC,-2
236,2022-04-15,DTC-23,-15
237,2022-04-18,DBR-56,-27
238,2022-04-18,A35-AC,-5
239,2022-04-18,DTC-23,-7
240,2022-04-19,DBR-56,-14
241,2022-04-19,A35-AC,-2
242,2022-04-19,DTC-23,-11
243,2022-04-20,DBR-56,-11
244,2022-04-20,A35-AC,-3
245,2022-04-20,DTC-23,-9
246,2022-04-21,DBR-56,-21
247,2022-04-21,A35-AC,-4
248,2022-04-21,DTC-23,-13
249,2022-04-22,DBR-56,-19
250,2022-04-22,A35-AC,-2
251,2022-04-22,DTC-23,-8
252,2022-04-25,DBR-56,-25
253,2022-04-25,A35-AC,-3
254,2022-04-25,DTC-23,-11
255,2022-04-26,DBR-56,-20
256,2022-04-26,A35-AC,-1
257,2022-04-26,DTC-23,-6
258,2022-04-27,DBR-56,-6
259,2022-04-27,A35-AC,0
260,2022-04-27,DTC-23,-9
261,2022-04-28,DBR-56,0
262,2022-04-28,A35-AC,0
263,2022-04-28,DTC-23,-15
264,2022-04-29,DBR-56,0
265,2022-04-29,A35-AC,0
266,2022-04-29,DTC-23,-8
267,2022-05-02,DBR-56,317
268,2022-05-02,DBR-56,-10
269,2022-05-02,A35-AC,81
270,2022-05-02,A35-AC,-7
271,2022-05-02,DTC-23,215
272,2022-05-02,DTC-23,-16
273,2022-05-03,DBR-56,-27
274,2022-05-03,A35-AC,-5
275,2022-05-03,DTC-23,-6
276,2022-05-04,DBR-56,-23
277,2022-05-04,A35-AC,-4
278,2022-05-04,DTC-23,-11
279,2022-05-05,DBR-56,-26
280,2022-05-05,A35-AC,-5
281,2022-05-05,DTC-23,-10
282,2022-05-06,DBR-56,-20
283,2022-05-06,A35-AC,-5
284,2022-05-06,DTC-23,-13
285,2022-05-09,DBR-56,-10
286,2022-05-09,A35-AC,-4
287,2022-05-09,DTC-23,-10
288,2022-05-10,DBR-56,-10
289,2022-05-10,A35-AC,-2
290,2022-05-10,DTC-23,-7
291,2022-05-11,DBR-56,-21
292,2022-05-11,A35-AC,-7
293,2022-05-11,DTC-23,-10
294,2022-05-12,DBR-56,-19
295,2022-05-12,A35-AC,-4
296,2022-05-12,DTC-23,-7
297,2022-05-13,DBR-56,-20
298,2022-05-13,A35-AC,-2
299,2022-05-13,DTC-23,-15
300,2022-05-16,DBR-56,-14
301,2022-05-16,A35-AC,-7
302,2022-05-16,DTC-23,-7
303,2022-05-17,DBR-56,-15
304,2022-05-17,A35-AC,-3
305,2022-05-17,DTC-23,-6
306,2022-05-18,DBR-56,-16
307,2022-05-18,A35-AC,-2
308,2022-05-18,DTC-23,-12
309,2022-05-19,DBR-56,-18
310,2022-05-19,A35-AC,-7
311,2022-05-19,DTC-23,-14
312,2022-05-20,DBR-56,-12
313,2022-05-20,A35-AC,-6
314,2022-05-20,DTC-23,-5
315,2022-05-23,DBR-56,-25
316,2022-05-23,A35-AC,-4
317,2022-05-23,DTC-23,-6
318,2022-05-24,DBR-56,-24
319,2022-05-24,A35-AC,-4
320,2022-05-24,DTC-23,-16
321,2022-05-25,DBR-56,-7
322,2022-05-25,A35-AC,-3
323,2022-05-25,DTC-23,-12
324,2022-05-26,DBR-56,0
325,2022-05-26,A35-AC,0
326,2022-05-26,DTC-23,-5
327,2022-05-27,DBR-56,0
328,2022-05-27,A35-AC,0
329,2022-05-27,DTC-23,-6
330,2022-05-30,DBR-56,0
331,2022-05-30,A35-AC,0
332,2022-05-30,DTC-23,-6
333,2022-05-31,DBR-56,0
334,2022-05-31,A35-AC,0
335,2022-05-31,DTC-23,-10
336,2022-06-01,DBR-56,294
337,2022-06-01,DBR-56,-23
338,2022-06-01,A35-AC,69
339,2022-06-01,A35-AC,-6
340,2022-06-01,DTC-23,243
341,2022-06-01,DTC-23,-15
342,2022-06-02,DBR-56,-16
343,2022-06-02,A35-AC,-4
344,2022-06-02,DTC-23,-6
345,2022-06-03,DBR-56,-22
346,2022-06-03,A35-AC,-6
347,2022-06-03,DTC-23,-11
348,2022-06-06,DBR-56,-19
349,2022-06-06,A35-AC,-7
350,2022-06-06,DTC-23,-14
351,2022-06-07,DBR-56,-21
352,2022-06-07,A35-AC,-2
353,2022-06-07,DTC-23,-7
354,2022-06-08,DBR-56,-15
355,2022-06-08,A35-AC,-3
356,2022-06-08,DTC-23,-10
357,2022-06-09,DBR-56,-20
358,2022-06-09,A35-AC,-5
359,2022-06-09,DTC-23,-15
360,2022-06-10,DBR-56,-21
361,2022-06-10,A35-AC,-4
362,2022-06-10,DTC-23,-8
363,2022-06-13,DBR-56,-18
364,2022-06-13,A35-AC,-2
365,2022-06-13,DTC-23,-13
366,2022-06-14,DBR-56,-28
367,2022-06-14,A35-AC,-5
368,2022-06-14,DTC-23,-7
369,2022-06-15,DBR-56,-26
370,2022-06-15,A35-AC,-2
371,2022-06-15,DTC-23,-7
372,2022-06-16,DBR-56,-28
373,2022-06-16,A35-AC,-2
374,2022-06-16,DTC-23,-12
375,2022-06-17,DBR-56,-30
376,2022-06-17,A35-AC,-4
377,2022-06-17,DTC-23,-9
378,2022-06-20,DBR-56,-7
379,2022-06-20,A35-AC,-7
380,2022-06-20,DTC-23,-12
381,2022-06-21,DBR-56,0
382,2022-06-21,A35-AC,-4
383,2022-06-21,DTC-23,-6
384,2022-06-22,DBR-56,0
385,2022-06-22,A35-AC,-4
386,2022-06-22,DTC-23,-5
387,2022-06-23,DBR-56,0
388,2022-06-23,A35-AC,-2
389,2022-06-23,DTC-23,-15
390,2022-06-24,DBR-56,0
391,2022-06-24,A35-AC,0
392,2022-06-24,DTC-23,-8
393,2022-06-27,DBR-56,0
394,2022-06-27,A35-AC,0
395,2022-06-27,DTC-23,-13
396,2022-06-28,DBR-56,0
397,2022-06-28,A35-AC,0
398,2022-06-28,DTC-23,-6
399,2022-06-29,DBR-56,0
400,2022-06-29,A35-AC,0
401,2022-06-29,DTC-23,-8
402,2022-06-30,DBR-56,0
403,2022-06-30,A35-AC,0
404,2022-06-30,DTC-23,-6
405,2022-07-01,DBR-56,368
406,2022-07-01,DBR-56,-9
407,2022-07-01,A35-AC,82
408,2022-07-01,A35-AC,-1
409,2022-07-01,DTC-23,173
410,2022-07-01,DTC-23,-4
411,2022-07-04,DBR-56,-18
412,2022-07-04,A35-AC,-4
413,2022-07-04,DTC-23,-3
414,2022-07-05,DBR-56,-18
415,2022-07-05,A35-AC,-4
416,2022-07-05,DTC-23,-7
417,2022-07-06,DBR-56,-16
418,2022-07-06,A35-AC,-3
419,2022-07-06,DTC-23,-9
420,2022-07-07,DBR-56,-9
421,2022-07-07,A35-AC,-2
422,2022-07-07,DTC-23,-9
423,2022-07-08,DBR-56,-13
424,2022-07-08,A35-AC,-4
425,2022-07-08,DTC-23,-4
426,2022-07-11,DBR-56,-12
427,2022-07-11,A35-AC,-2
428,2022-07-11,DTC-23,-10
429,2022-07-12,DBR-56,-14
430,2022-07-12,A35-AC,-4
431,2022-07-12,DTC-23,-6
432,2022-07-13,DBR-56,-11
433,2022-07-13,A35-AC,-2
434,2022-07-13,DTC-23,-7
435,2022-07-14,DBR-56,-16
436,2022-07-14,A35-AC,-4
437,2022-07-14,DTC-23,-9
438,2022-07-15,DBR-56,-9
439,2022-07-15,A35-AC,-3
440,2022-07-15,DTC-23,-8
441,2022-07-18,DBR-56,-7
442,2022-07-18,A35-AC,-4
443,2022-07-18,DTC-23,-8
444,2022-07-19,DBR-56,-10
445,2022-07-19,A35-AC,-4
446,2022-07-19,DTC-23,-4
447,2022-07-20,DBR-56,-14
448,2022-07-20,A35-AC,-4
449,2022-07-20,DTC-23,-6
450,2022-07-21,DBR-56,-12
451,2022-07-21,A35-AC,-1
452,2022-07-21,DTC-23,-9
453,2022-07-22,DBR-56,-7
454,2022-07-22,A35-AC,-2
455,2022-07-22,DTC-23,-4
456,2022-07-25,DBR-56,-13
457,2022-07-25,A35-AC,-1
458,2022-07-25,DTC-23,-9
459,2022-07-26,DBR-56,-9
460,2022-07-26,A35-AC,-2
461,2022-07-26,DTC-23,-9
462,2022-07-27,DBR-56,-20
463,2022-07-27,A35-AC,-4
464,2022-07-27,DTC-23,-4
465,2022-07-28,DBR-56,-8
466,2022-07-28,A35-AC,-4
467,2022-07-28,DTC-23,-7
468,2022-07-29,DBR-56,-10
469,2022-07-29,A35-AC,-2
470,2022-07-29,DTC-23,-7
471,2022-08-01,DBR-56,254
472,2022-08-01,DBR-56,-11
473,2022-08-01,A35-AC,85
474,2022-08-01,A35-AC,-1
475,2022-08-01,DTC-23,195
476,2022-08-01,DTC-23,-11
477,2022-08-02,DBR-56,-12
478,2022-08-02,A35-AC,-2
479,2022-08-02,DTC-23,-10
480,2022-08-03,DBR-56,-15
481,2022-08-03,A35-AC,-4
482,2022-08-03,DTC-23,-5
483,2022-08-04,DBR-56,-20
484,2022-08-04,A35-AC,-4
485,2022-08-04,DTC-23,-5
486,2022-08-05,DBR-56,-19
487,2022-08-05,A35-AC,-3
488,2022-08-05,DTC-23,-10
489,2022-08-08,DBR-56,-22
490,2022-08-08,A35-AC,-4
491,2022-08-08,DTC-23,-10
492,2022-08-09,DBR-56,-23
493,2022-08-09,A35-AC,-4
494,2022-08-09,DTC-23,-8
495,2022-08-10,DBR-56,-20
496,2022-08-10,A35-AC,-4
497,2022-08-10,DTC-23,-4
498,2022-08-11,DBR-56,-22
499,2022-08-11,A35-AC,-1
500,2022-08-11,DTC-23,-12
501,2022-08-12,DBR-56,-22
502,2022-08-12,A35-AC,-4
503,2022-08-12,DTC-23,-8
504,2022-08-15,DBR-56,-24
505,2022-08-15,A35-AC,-4
506,2022-08-15,DTC-23,-9
507,2022-08-16,DBR-56,-8
508,2022-08-16,A35-AC,-4
509,2022-08-16,DTC-23,-5
510,2022-08-17,DBR-56,-16
511,2022-08-17,A35-AC,-4
512,2022-08-17,DTC-23,-12
513,2022-08-18,DBR-56,-14
514,2022-08-18,A35-AC,-3
515,2022-08-18,DTC-23,-7
516,2022-08-19,DBR-56,-12
517,2022-08-19,A35-AC,-2
518,2022-08-19,DTC-23,-8
519,2022-08-22,DBR-56,-18
520,2022-08-22,A35-AC,-4
521,2022-08-22,DTC-23,-5
522,2022-08-23,DBR-56,-14
523,2022-08-23,A35-AC,-1
524,2022-08-23,DTC-23,-10
525,2022-08-24,DBR-56,-12
526,2022-08-24,A35-AC,-3
527,2022-08-24,DTC-23,-6
528,2022-08-25,DBR-56,-20
529,2022-08-25,A35-AC,-3
530,2022-08-25,DTC-23,-4
531,2022-08-26,DBR-56,-12
532,2022-08-26,A35-AC,-1
533,2022-08-26,DTC-23,-8
534,2022-08-29,DBR-56,-20
535,2022-08-29,A35-AC,-3
536,2022-08-29,DTC-23,-8
537,2022-08-30,DBR-56,-8
538,2022-08-30,A35-AC,-4
539,2022-08-30,DTC-23,-5
540,2022-08-31,DBR-56,-3
541,2022-08-31,A35-AC,-3
542,2022-08-31,DTC-23,-6
543,2022-09-01,DBR-56,301
544,2022-09-01,DBR-56,-11
545,2022-09-01,A35-AC,81
546,2022-09-01,A35-AC,-3
547,2022-09-01,DTC-23,249
548,2022-09-01,DTC-23,-14
549,2022-09-02,DBR-56,-16
550,2022-09-02,A35-AC,-2
551,2022-09-02,DTC-23,-13
552,2022-09-05,DBR-56,-30
553,2022-09-05,A35-AC,-7
554,2022-09-05,DTC-23,-14
555,2022-09-06,DBR-56,-21
556,2022-09-06,A35-AC,-5
557,2022-09-06,DTC-23,-14
558,2022-09-07,DBR-56,-26
559,2022-09-07,A35-AC,-6
560,2022-09-07,DTC-23,-7
561,2022-09-08,DBR-56,-15
562,2022-09-08,A35-AC,-7
563,2022-09-08,DTC-23,-9
564,2022-09-09,DBR-56,-28
565,2022-09-09,A35-AC,-2
566,2022-09-09,DTC-23,-5
567,2022-09-12,DBR-56,-23
568,2022-09-12,A35-AC,-4
569,2022-09-12,DTC-23,-16
570,2022-09-13,DBR-56,-16
571,2022-09-13,A35-AC,-7
572,2022-09-13,DTC-23,-10
573,2022-09-14,DBR-56,-26
574,2022-09-14,A35-AC,-6
575,2022-09-14,DTC-23,-15
576,2022-09-15,DBR-56,-19
577,2022-09-15,A35-AC,-2
578,2022-09-15,DTC-23,-15
579,2022-09-16,DBR-56,-17
580,2022-09-16,A35-AC,-6
581,2022-09-16,DTC-23,-6
582,2022-09-19,DBR-56,-15
583,2022-09-19,A35-AC,-4
584,2022-09-19,DTC-23,-7
585,2022-09-20,DBR-56,-19
586,2022-09-20,A35-AC,-4
587,2022-09-20,DTC-23,-15
588,2022-09-21,DBR-56,-19
589,2022-09-21,A35-AC,-3
590,2022-09-21,DTC-23,-15
591,2022-09-22,DBR-56,0
592,2022-09-22,A35-AC,-2
593,2022-09-22,DTC-23,-13
594,2022-09-23,DBR-56,0
595,2022-09-23,A35-AC,-2
596,2022-09-23,DTC-23,-9
597,2022-09-26,DBR-56,0
598,2022-09-26,A35-AC,-2
599,2022-09-26,DTC-23,-14
600,2022-09-27,DBR-56,0
601,2022-09-27,A35-AC,-5
602,2022-09-27,DTC-23,-5
603,2022-09-28,DBR-56,0
604,2022-09-28,A35-AC,-5
605,2022-09-28,DTC-23,-11
606,2022-09-29,DBR-56,0
607,2022-09-29,A35-AC,-6
608,2022-09-29,DTC-23,-16
609,2022-09-30,DBR-56,0
610,2022-09-30,A35-AC,-6
611,2022-09-30,DTC-23,-7
612,2022-10-03,DBR-56,294
613,2022-10-03,DBR-56,-21
614,2022-10-03,A35-AC,90
615,2022-10-03,A35-AC,-7
616,2022-10-03,DTC-23,196
617,2022-10-03,DTC-23,-16
618,2022-10-04,DBR-56,-26
619,2022-10-04,A35-AC,-6
620,2022-10-04,DTC-23,-14
621,2022-10-05,DBR-56,-16
622,2022-10-05,A35-AC,-6
623,2022-10-05,DTC-23,-15
624,2022-10-06,DBR-56,-16
625,2022-10-06,A35-AC,-7
626,2022-10-06,DTC-23,-9
627,2022-10-07,DBR-56,-16
628,2022-10-07,A35-AC,-5
629,2022-10-07,DTC-23,-14
630,2022-10-10,DBR-56,-13
631,2022-10-10,A35-AC,-6
632,2022-10-10,DTC-23,-14
633,2022-10-11,DBR-56,-28
634,2022-10-11,A35-AC,-6
635,2022-10-11,DTC-23,-7
636,2022-10-12,DBR-56,-20
637,2022-10-12,A35-AC,-3
638,2022-10-12,DTC-23,-6
639,2022-10-13,DBR-56,-27
640,2022-10-13,A35-AC,-7
641,2022-10-13,DTC-23,-6
642,2022-10-14,DBR-56,-16
643,2022-10-14,A35-AC,-6
644,2022-10-14,DTC-23,-14
645,2022-10-17,DBR-56,-23
646,2022-10-17,A35-AC,-2
647,2022-10-17,DTC-23,-14
648,2022-10-18,DBR-56,-11
649,2022-10-18,A35-AC,-2
650,2022-10-18,DTC-23,-16
651,2022-10-19,DBR-56,-30
652,2022-10-19,A35-AC,-3
653,2022-10-19,DTC-23,-16
654,2022-10-20,DBR-56,-22
655,2022-10-20,A35-AC,-6
656,2022-10-20,DTC-23,-6
657,2022-10-21,DBR-56,-9
658,2022-10-21,A35-AC,-7
659,2022-10-21,DTC-23,-16
660,2022-10-24,DBR-56,0
661,2022-10-24,A35-AC,-3
662,2022-10-24,DTC-23,-14
663,2022-10-25,DBR-56,0
664,2022-10-25,A35-AC,-2
665,2022-10-25,DTC-23,-14
666,2022-10-26,DBR-56,0
667,2022-10-26,A35-AC,-7
668,2022-10-26,DTC-23,-13
669,2022-10-27,DBR-56,0
670,2022-10-27,A35-AC,-2
671,2022-10-27,DTC-23,-7
672,2022-10-28,DBR-56,0
673,2022-10-28,A35-AC,-2
674,2022-10-28,DTC-23,-7
675,2022-10-31,DBR-56,0
676,2022-10-31,A35-AC,-4
677,2022-10-31,DTC-23,-5
678,2022-11-01,DBR-56,394
679,2022-11-01,DBR-56,-28
680,2022-11-01,A35-AC,80
681,2022-11-01,A35-AC,-2
682,2022-11-01,DTC-23,217
683,2022-11-01,DTC-23,-14
684,2022-11-02,DBR-56,-25
685,2022-11-02,A35-AC,-8
686,2022-11-02,DTC-23,-14
687,2022-11-03,DBR-56,-20
688,2022-11-03,A35-AC,-7
689,2022-11-03,DTC-23,-9
690,2022-11-04,DBR-56,-20
691,2022-11-04,A35-AC,-8
692,2022-11-04,DTC-23,-6
693,2022-11-07,DBR-56,-30
694,2022-11-07,A35-AC,-6
695,2022-11-07,DTC-23,-18
696,2022-11-08,DBR-56,-26
697,2022-11-08,A35-AC,-6
698,2022-11-08,DTC-23,-16
699,2022-11-09,DBR-56,-24
700,2022-11-09,A35-AC,-3
701,2022-11-09,DTC-23,-10
702,2022-11-10,DBR-56,-36
703,2022-11-10,A35-AC,-6
704,2022-11-10,DTC-23,-6
705,2022-11-11,DBR-56,-30
706,2022-11-11,A35-AC,-8
707,2022-11-11,DTC-23,-9
708,2022-11-14,DBR-56,-26
709,2022-11-14,A35-AC,-4
710,2022-11-14,DTC-23,-7
711,2022-11-15,DBR-56,-15
712,2022-11-15,A35-AC,-6
713,2022-11-15,DTC-23,-6
714,2022-11-16,DBR-56,-25
715,2022-11-16,A35-AC,-7
716,2022-11-16,DTC-23,-12
717,2022-11-17,DBR-56,-22
718,2022-11-17,A35-AC,-7
719,2022-11-17,DTC-23,-13
720,2022-11-18,DBR-56,-30
721,2022-11-18,A35-AC,-4
722,2022-11-18,DTC-23,-19
723,2022-11-21,DBR-56,-31
724,2022-11-21,A35-AC,-4
725,2022-11-21,DTC-23,-14
726,2022-11-22,DBR-56,-6
727,2022-11-22,A35-AC,-6
728,2022-11-22,DTC-23,-13
729,2022-11-23,DBR-56,0
730,2022-11-23,A35-AC,0
731,2022-11-23,DTC-23,-12
732,2022-11-24,DBR-56,0
733,2022-11-24,A35-AC,0
734,2022-11-24,DTC-23,-6
735,2022-11-25,DBR-56,0
736,2022-11-25,A35-AC,0
737,2022-11-25,DTC-23,-8
738,2022-11-28,DBR-56,0
739,2022-11-28,A35-AC,0
740,2022-11-28,DTC-23,-16
741,2022-11-29,DBR-56,0
742,2022-11-29,A35-AC,0
743,2022-11-29,DTC-23,-12
744,2022-11-30,DBR-56,0
745,2022-11-30,A35-AC,0
746,2022-11-30,DTC-23,-6
747,2022-12-01,DBR-56,315
748,2022-12-01,DBR-56,-20
749,2022-12-01,A35-AC,72
750,2022-12-01,A35-AC,-9
751,2022-12-01,DTC-23,217
752,2022-12-01,DTC-23,-6
753,2022-12-02,DBR-56,-28
754,2022-12-02,A35-AC,-7
755,2022-12-02,DTC-23,-10
756,2022-12-05,DBR-56,-27
757,2022-12-05,A35-AC,-3
758,2022-12-05,DTC-23,-7
759,2022-12-06,DBR-56,-15
760,2022-12-06,A35-AC,-7
761,2022-12-06,DTC-23,-7
762,2022-12-07,DBR-56,-26
763,2022-12-07,A35-AC,-2
764,2022-12-07,DTC-23,-19
765,2022-12-08,DBR-56,-36
766,2022-12-08,A35-AC,-7
767,2022-12-08,DTC-23,-16
768,2022-12-09,DBR-56,-31
769,2022-12-09,A35-AC,-2
770,2022-12-09,DTC-23,-18
771,2022-12-12,DBR-56,-15
772,2022-12-12,A35-AC,-2
773,2022-12-12,DTC-23,-7
774,2022-12-13,DBR-56,-13
775,2022-12-13,A35-AC,-2
776,2022-12-13,DTC-23,-18
777,2022-12-14,DBR-56,-13
778,2022-12-14,A35-AC,-2
779,2022-12-14,DTC-23,-14
780,2022-12-15,DBR-56,-19
781,2022-12-15,A35-AC,-5
