date,company,country,contract_value,sales_manager
2021-05-10,Paquette Inc and Sons,Canada,385717.0,Jones Leon
2021-07-20,Paquette-Fournier Group,Canada,109495.0,Jones Leon
2021-10-19,"Paradis, Blais and Lapointe Group",Canada,500025.0,Jones Leon
2021-08-17,"Pelletier, Houde and Martin PLC",Canada,535075.0,Jones Leon
2022-09-19,Perron PLC LLC,Canada,723856.9,Jones Leon
2021-10-14,Poulin PLC Inc,Canada,613310.0,Jones Leon
2021-02-03,"Poulin, Rioux and Lavallée Ltd",Canada,601563.0,Jones Leon
2021-05-18,"Proulx, Thibault and Harvey Group",Canada,451674.0,Jones Leon
2021-03-01,"Racine, Beaudoin and Duguay Inc",Canada,269316.0,Jones Leon
2022-11-16,"Raymond, Archambault and Allard Ltd",Canada,886468.7000000001,Jones Leon
2022-06-17,Richard-Bégin PLC,Canada,122509.40000000001,Morgan Sarah
2021-12-03,Richer-Provost and Sons,Canada,368859.0,Jones Leon
2023-02-10,Rioux Inc PLC,Canada,863727.6,Jones Leon
2022-05-06,"Rivard, Denis and Pouliot Group",Canada,687765.0,Jones Leon
2021-07-29,Roberge Ltd Ltd,Canada,463662.0,Jones Leon
2022-12-14,Robert PLC and Sons,Canada,667622.8,Jones Leon
2021-03-17,"Robert, Richard and Mercier and Sons",Canada,91943.0,Jones Leon
2021-08-06,Robert-Lepage LLC,Canada,151722.0,Jones Leon
2022-01-20,"Robitaille, Bergeron and Létourneau Ltd",Canada,495965.60000000003,Jones Leon
2022-11-01,"St-Laurent, Ouellet and Labelle Inc",Canada,772060.9,Jones Leon
2021-07-23,St-Onge-Boisvert Inc,Canada,563398.0,Morgan Sarah
2021-12-15,"Tessier, Paquin and Lacasse LLC",Canada,446641.0,Jones Leon
2021-09-15,Thibault LLC Ltd,Canada,366092.0,Jones Leon
2022-03-02,Thibodeau PLC PLC,Canada,249087.80000000002,Jones Leon
2021-09-14,"Thibodeau, Picard and Dubois Ltd",Canada,385917.0,Jones Leon
2021-03-26,Thériault-Houle Group,Canada,541110.0,Jones Leon
2021-03-31,Tremblay-Perreault Inc,Canada,540730.0,Morgan Sarah
2021-04-30,Veilleux Group Group,Canada,282732.0,Jones Leon
2022-02-10,"Veilleux, Desjardins and Beauchamp Inc",Canada,440469.9,Jones Leon
2021-03-25,"Vézina, St-Jean and Tremblay Inc",Canada,336127.0,Jones Leon
2022-03-30,Alves S.A.R.L.,France,857948.0,Thomas Denise
2023-01-24,Andre S.A.S.,France,347793.6,Thomas Denise
2022-06-07,Antoine Chauvet et Fils et Fils,France,876366.4,Jones Leon
2021-06-09,Baudry SA et Fils,France,644110.0,Jones Leon
2021-01-14,Berger et Fils,France,303918.0,Jones Leon
2021-10-05,Bernier S.A.R.L.,France,645263.0,Thomas Denise
2022-09-22,Berthelot SA,France,315205.8,Jones Leon
2022-01-18,Bertin Barre et Fils S.A.,France,445718.0,Jones Leon
2023-03-15,Besson S.A.,France,604686.0,Jones Leon
2021-07-02,Bonneau et Fils,France,566635.0,Jones Leon
2021-01-11,Bonnet S.A.S.,France,420256.0,Thomas Denise
2021-05-04,Bonnin S.A.R.L. S.A.R.L.,France,620636.0,Jones Leon
2022-07-28,Bouchet S.A.,France,340704.0,Thomas Denise
2021-12-13,Bourdon S.A.S.,France,641475.0,Thomas Denise
2022-03-10,Breton S.A.R.L.,France,781769.3,Thomas Denise
2023-02-02,Buisson S.A.S.,France,701245.2,Jones Leon
2021-10-22,Caron S.A.R.L.,France,341144.0,Thomas Denise
2021-11-11,Charpentier et Fils SA,France,456555.0,Thomas Denise
2022-06-03,Chevallier Andre SARL SA,France,686419.5,Morgan Sarah
2022-08-04,Collet S.A.R.L.,France,375739.0,Jones Leon
2021-08-19,De Oliveira Ribeiro S.A.S. S.A.R.L.,France,271239.0,Jones Leon
2021-03-05,Delahaye SARL,France,716785.0,Thomas Denise
2022-11-29,Delattre Adam S.A.R.L. SA,France,124415.2,Thomas Denise
2021-02-01,Delorme SARL,France,669117.0,Jones Leon
2023-03-22,Denis S.A.S.,France,440654.39999999997,Jones Leon
2021-03-08,Descamps SARL,France,707274.0,Jones Leon
2023-01-20,Dumas S.A.S.,France,178441.19999999998,Thomas Denise
2021-01-18,Dupuis Blanchard S.A.S. S.A.R.L.,France,316067.0,Jones Leon
2022-01-19,Durand SARL,France,139018.1,Jones Leon
2022-03-22,Faivre S.A.R.L.,France,362051.3,Jones Leon
2021-06-02,François SA,France,272233.0,Thomas Denise
2023-03-21,Garcia SARL,France,655197.6,Thomas Denise
2021-12-10,Gautier S.A.S.,France,368822.0,Jones Leon
2023-01-25,Gay SARL,France,477774.0,Thomas Denise
2021-08-27,Georges SA,France,219538.0,Morgan Sarah
2023-01-09,Gimenez S.A.,France,477924.0,Morgan Sarah
2021-12-21,Girard SA,France,562176.0,Jones Leon
2022-06-24,Gomez Benard S.A. S.A.,France,181257.7,Thomas Denise
2021-08-10,Gonzalez S.A.S.,France,268132.0,Thomas Denise
2022-08-02,Gosselin S.A.R.L.,France,236637.7,Jones Leon
2022-04-19,Grenier SA,France,181096.5,Thomas Denise
2023-03-16,Grondin et Fils S.A.R.L.,France,230755.19999999998,Jones Leon
2022-07-01,Gros SA,France,928158.4,Jones Leon
2022-01-25,Guibert Millet SA SA,France,744528.2000000001,Thomas Denise
2022-12-29,Guichard Pascal SARL et Fils,France,480415.0,Morgan Sarah
2021-10-08,Hebert SARL S.A.,France,467548.0,Jones Leon
2021-04-05,Hernandez Guyot et Fils S.A.,France,608906.0,Jones Leon
2022-09-20,Hernandez Raynaud S.A. S.A.R.L.,France,267597.2,Thomas Denise
2022-10-10,Hervé Bourgeois et Fils S.A.R.L.,France,462347.60000000003,Jones Leon
2022-02-17,Huet S.A.S.,France,258923.6,Jones Leon
2022-07-15,Imbert Leduc S.A.R.L. S.A.S.,France,426578.10000000003,Thomas Denise
2022-12-09,Joseph S.A.,France,879823.1,Thomas Denise
2021-11-17,Julien SARL S.A.S.,France,458454.0,Thomas Denise
2022-03-09,Klein et Fils,France,135445.7,Thomas Denise
2022-03-23,Langlois SARL,France,687554.4,Thomas Denise
2021-06-08,Laporte S.A.S.,France,559274.0,Thomas Denise
2021-04-20,Le Roux SARL,France,225579.0,Thomas Denise
2021-04-13,Leclerc et Fils SARL,France,210103.0,Jones Leon
2022-05-04,Leduc Munoz et Fils et Fils,France,186717.7,Thomas Denise
2021-06-21,Leduc S.A.R.L. S.A.,France,466723.0,Thomas Denise
2021-07-09,Lefort SA,France,690006.0,Jones Leon
2022-10-14,Lefort SARL,France,820276.6,Jones Leon
2021-03-22,Leleu et Fils,France,441328.0,Thomas Denise
2021-08-09,Lenoir et Fils,France,709855.0,Thomas Denise
2022-11-04,Leroy S.A.,France,779560.6,Thomas Denise
2021-07-30,Letellier SA SARL,France,540607.0,Morgan Sarah
2022-12-13,Lopez S.A. SARL,France,498231.5,Morgan Sarah
2021-02-19,Louis SA et Fils,France,541952.0,Thomas Denise
2022-02-24,Mace SA,France,569478.0,Thomas Denise
2023-03-03,Maillet et Fils,France,786240.0,Thomas Denise
2021-08-04,Martel SARL et Fils,France,159560.0,Thomas Denise
2021-03-16,Martin S.A.S. S.A.,France,704583.0,Jones Leon
2021-09-16,Martin SARL S.A.R.L.,France,682639.0,Thomas Denise
2021-02-22,Marty S.A.R.L.,France,694714.0,Thomas Denise
2023-01-06,Mary S.A.S.,France,107842.8,Jones Leon
2022-10-21,Masson Bazin S.A.R.L. S.A.R.L.,France,551231.2000000001,Jones Leon
2021-08-23,Menard S.A.R.L. et Fils,France,101371.0,Morgan Sarah
2021-04-15,Mendès et Fils,France,292509.0,Morgan Sarah
2022-10-12,Merle Mathieu S.A.R.L. SARL,France,369315.7,Jones Leon
2022-12-19,Michaud Rousseau SARL et Fils,France,120265.6,Jones Leon
2022-07-25,Michel S.A.R.L.,France,390660.4,Thomas Denise
2022-04-20,Monnier S.A.S.,France,684530.6,Jones Leon
2021-10-04,Monnier et Fils,France,254208.0,Thomas Denise
2021-04-12,Moreau SA,France,358067.0,Thomas Denise
2021-01-12,Morin et Fils S.A.R.L.,France,134809.0,Jones Leon
2021-09-09,Morvan S.A.S.,France,606626.0,Jones Leon
2022-09-21,Muller S.A.R.L. S.A.R.L.,France,234522.6,Jones Leon
2022-04-18,Nguyen et Fils,France,892715.2000000001,Jones Leon
2022-09-02,Nicolas et Fils,France,416223.60000000003,Morgan Sarah
2021-04-09,Noël S.A.,France,435941.0,Jones Leon
2021-07-16,Noël S.A.,France,237308.0,Thomas Denise
2021-08-31,Pascal S.A.S. et Fils,France,137487.0,Jones Leon
2021-07-07,Paul S.A. SA,France,295293.0,Thomas Denise
2021-02-25,Pelletier et Fils,France,185850.0,Thomas Denise
2022-12-27,Peltier Pottier SA S.A.S.,France,891072.0,Thomas Denise
2021-07-21,Peron Martinez S.A.R.L. S.A.R.L.,France,227306.0,Thomas Denise
2022-12-15,Perrier et Fils,France,681193.5,Thomas Denise
2021-08-25,Petit S.A.R.L.,France,438367.0,Jones Leon
2022-02-04,Picard SA,France,905708.7000000001,Jones Leon
2022-08-03,Pierre SARL S.A.,France,111952.1,Thomas Denise
2022-05-11,Poirier S.A.S.,France,926272.1,Thomas Denise
2021-09-13,Potier S.A.R.L. S.A.,France,544934.0,Jones Leon
2021-11-15,Raynaud Chauvin S.A.S. S.A.,France,487462.0,Jones Leon
2022-05-23,Raynaud SARL,France,225178.2,Jones Leon
2022-06-20,Renard Roger S.A. et Fils,France,307383.7,Thomas Denise
2022-04-15,Renaud S.A.R.L.,France,273275.60000000003,Morgan Sarah
2021-10-15,Riou et Fils,France,174122.0,Thomas Denise
2022-03-29,Robert Hamel S.A.S. S.A.,France,612283.1,Morgan Sarah
2022-10-05,Robin SA,France,838058.0,Jones Leon
2021-02-09,Rodrigues et Fils S.A.,France,409527.0,Thomas Denise
2023-02-20,Rodriguez SARL,France,330258.0,Jones Leon
2022-10-13,Rolland et Fils,France,457886.0,Jones Leon
2021-11-30,Rousseau S.A.R.L.,France,420275.0,Jones Leon
2023-02-06,Rémy S.A.,France,411963.6,Jones Leon
2022-12-05,Salmon S.A.R.L.,France,263053.7,Jones Leon
2021-04-07,Simon SARL S.A.R.L.,France,540927.0,Jones Leon
2021-10-07,Teixeira et Fils,France,642114.0,Thomas Denise
2022-09-05,Tessier S.A.S.,France,236719.6,Jones Leon
2022-01-12,Texier Maréchal et Fils S.A.,France,548901.6,Thomas Denise
2023-02-08,Thierry SA,France,230590.8,Thomas Denise
2021-09-21,Valentin Clément SA SA,France,233827.0,Thomas Denise
2022-09-07,Valette S.A.S. S.A.,France,531195.6,Jones Leon
2023-02-01,Vallet Allard S.A.S. SA,France,229452.0,Thomas Denise
2021-12-08,Vasseur S.A.,France,475625.0,Morgan Sarah
2022-01-31,Weber SA,France,247685.1,Jones Leon
2022-09-08,Weiss S.A. S.A.S.,France,717150.2000000001,Thomas Denise
2022-09-30,Agostini e figli e figli,Italy,175015.1,Thomas Denise
2022-10-04,Almagià s.r.l. Group,Italy,532379.9,Jones Leon
2022-03-08,"Almagià, Berengario e Zeffirelli e figli Group",Italy,903693.7000000001,Thomas Denise
2023-01-26,Armani-Carullo s.r.l. e figli,Italy,596463.6,Thomas Denise
2021-12-30,"Asmundo, Cesaroni e Petrassi e figli e figli",Italy,449266.0,Thomas Denise
2022-06-06,Aulenti Group SPA,Italy,361195.9,Thomas Denise
2023-01-17,Babbo Group e figli,Italy,540169.2,Thomas Denise
2022-06-02,Baglioni s.r.l. Group,Italy,832490.1,Thomas Denise
2021-01-26,Balla Group s.r.l.,Italy,172968.0,Jones Leon
2021-01-28,Barozzi SPA s.r.l.,Italy,586020.0,Morgan Sarah
2021-06-03,"Barracco, Boezio e Gasperi e figli SPA",Italy,562223.0,Thomas Denise
2022-11-15,Basadonna-Jacuzzi SPA Group,Italy,172533.4,Jones Leon
2022-04-28,Battaglia-Medici SPA Group,Italy,847987.4,Jones Leon
2022-03-15,"Battelli, Rossini e Cavanna Group SPA",Italy,614690.7000000001,Jones Leon
2023-01-05,"Belletini, Argentero e Pisani e figli SPA",Italy,327752.39999999997,Jones Leon
2022-01-24,"Binaghi, Armellini e Goldoni SPA SPA",Italy,237799.9,Thomas Denise
2021-10-13,"Boiardo, Bova e Petralli SPA Group",Italy,157253.0,Thomas Denise
2021-07-28,Bonaventura-Cociarelli e figli SPA,Italy,107112.0,Jones Leon
2022-07-12,Bonomo-Cesaroni s.r.l. Group,Italy,902895.5,Jones Leon
2021-02-11,"Borgia, Avogadro e Catenazzi e figli SPA",Italy,547054.0,Jones Leon
2021-03-30,"Brambilla, Ceschi e Anguillara s.r.l. s.r.l.",Italy,158718.0,Thomas Denise
2022-09-14,Broggini-Pirelli Group e figli,Italy,402545.0,Thomas Denise
2022-11-18,"Busoni, Gremese e Camiscione SPA Group",Italy,251716.4,Thomas Denise
2021-12-17,"Calarco, Dossetti e Pozzecco e figli e figli",Italy,473954.0,Morgan Sarah
2021-02-24,Callegaro s.r.l. e figli,Italy,355547.0,Thomas Denise
2021-01-20,Cantimori-Manzoni Group SPA,Italy,328959.0,Morgan Sarah
2021-05-17,Carosone-Boccaccio SPA s.r.l.,Italy,624999.0,Thomas Denise
2022-09-01,Carpaccio Group s.r.l.,Italy,443017.9,Thomas Denise
2022-03-04,Carriera Group e figli,Italy,798818.8,Thomas Denise
2021-07-05,Catenazzi-Malatesta e figli s.r.l.,Italy,529803.0,Thomas Denise
2022-05-26,"Cavalcanti, Antonioni e Moresi e figli SPA",Italy,243263.80000000002,Jones Leon
2021-06-18,"Cendron, Giovine e Ludovisi Group SPA",Italy,669649.0,Jones Leon
2022-01-06,"Chiappetta, Tarantini e Cannizzaro SPA Group",Italy,291937.10000000003,Thomas Denise
2021-03-15,Chiappetta-Mastroianni s.r.l. s.r.l.,Italy,422818.0,Morgan Sarah
2022-12-26,Chigi e figli s.r.l.,Italy,338171.60000000003,Jones Leon
2021-08-03,Civaschi e figli s.r.l.,Italy,229227.0,Thomas Denise
2021-01-05,"Comencini, Mastroianni e Calarco SPA Group",Italy,425864.0,Jones Leon
2022-02-08,"Comolli, Bottaro e Monicelli e figli e figli",Italy,742372.8,Jones Leon
2021-09-30,Crispi SPA SPA,Italy,143769.0,Thomas Denise
2021-06-07,Curiel-Condoleo s.r.l. Group,Italy,208785.0,Jones Leon
2023-02-03,Cusano s.r.l. SPA,Italy,560504.4,Thomas Denise
2021-12-29,"Donini, Cibin e Anguissola Group Group",Italy,236040.0,Thomas Denise
2022-05-10,"Druso, Impastato e Finetti Group Group",Italy,262982.2,Thomas Denise
2022-03-17,"Farina, Bonatti e Vezzali s.r.l. Group",Italy,587090.4,Jones Leon
2022-12-20,"Farina, Mondadori e Falcone s.r.l. e figli",Italy,471811.60000000003,Jones Leon
2021-02-04,Favata-Golino SPA Group,Italy,365299.0,Thomas Denise
2022-08-09,Folliero-Nadi e figli e figli,Italy,424239.4,Jones Leon
2022-09-09,Folliero-Roncalli s.r.l. Group,Italy,232182.6,Thomas Denise
2021-05-28,"Galiazzo, Aloisio e Morpurgo Group Group",Italy,708420.0,Jones Leon
2021-06-14,"Giannotti, Aporti e Abatantuono e figli Group",Italy,305486.0,Thomas Denise
2021-09-23,"Gravina, Dalla e Boldù s.r.l. Group",Italy,97772.0,Thomas Denise
2022-06-01,"Guarana, Mastandrea e Zanichelli s.r.l. s.r.l.",Italy,489938.8,Thomas Denise
2023-03-07,"Jacuzzi, Borsellino e Mazzi Group Group",Italy,183942.0,Thomas Denise
2022-05-02,"Leone, Pisano e Coardi e figli s.r.l.",Italy,283150.4,Morgan Sarah
2022-12-28,Luciani-Moretti s.r.l. e figli,Italy,172438.5,Jones Leon
2021-08-16,Maderno Group s.r.l.,Italy,233252.0,Thomas Denise
2021-04-19,Maderno-Almagià e figli e figli,Italy,122529.0,Morgan Sarah
2021-04-26,Magnani SPA s.r.l.,Italy,515354.0,Thomas Denise
2022-08-26,"Marsili, Platini e Pisano SPA e figli",Italy,107751.8,Jones Leon
2022-05-25,Mercalli SPA e figli,Italy,321219.60000000003,Jones Leon
2022-12-23,"Mercati, Vivaldi e Ferretti SPA SPA",Italy,302281.2,Morgan Sarah
2021-10-20,Montalcini-Pastine e figli Group,Italy,691364.0,Thomas Denise
2022-05-09,Murialdo SPA SPA,Italy,455093.60000000003,Jones Leon
2022-02-25,Naccari-Tamborini SPA SPA,Italy,129405.90000000001,Jones Leon
2023-02-13,Napolitano SPA e figli,Italy,219709.19999999998,Thomas Denise
2021-07-27,Natta-Emanuelli SPA e figli,Italy,607735.0,Jones Leon
2021-10-26,Necci-Pellegrini s.r.l. s.r.l.,Italy,424235.0,Jones Leon
2022-01-21,Nitti SPA s.r.l.,Italy,503339.2,Thomas Denise
2022-08-01,Pacetti Group e figli,Italy,813176.0,Thomas Denise
2022-11-22,Parini e figli Group,Italy,771390.1,Thomas Denise
2022-12-16,Polesel s.r.l. e figli,Italy,684660.6,Jones Leon
2022-01-26,Raimondi-Ciampi e figli s.r.l.,Italy,187890.30000000002,Thomas Denise
2021-04-16,Rocca-Palladio e figli e figli,Italy,408547.0,Thomas Denise
2021-03-03,Roth e figli SPA,Italy,586985.0,Jones Leon
2021-07-08,Ruggieri-Pagnotto e figli s.r.l.,Italy,480108.0,Thomas Denise
2022-05-24,"Salvini, Morabito e Papetti Group SPA",Italy,236117.7,Thomas Denise
2021-09-03,Sanguineti Group e figli,Italy,95738.0,Thomas Denise
2022-09-15,"Santoro, Barracco e Sokolov SPA Group",Italy,342379.7,Thomas Denise
2022-01-07,Sanudo-Mascheroni SPA e figli,Italy,923644.8,Thomas Denise
2022-05-17,"Saracino, Giorgetti e Sauli e figli Group",Italy,405806.7,Jones Leon
2022-02-14,"Saragat, Conti e Bartoli Group Group",Italy,597014.6,Thomas Denise
2022-07-27,"Scaduto, Scamarcio e Cusano e figli Group",Italy,854170.2000000001,Jones Leon
2021-09-06,Scandone-Broggini s.r.l. e figli,Italy,409410.0,Jones Leon
2021-06-24,Schiaparelli s.r.l. s.r.l.,Italy,612353.0,Thomas Denise
2022-10-28,Serlupi Group s.r.l.,Italy,253555.9,Thomas Denise
2022-11-14,Sibilia-Abatantuono s.r.l. e figli,Italy,654113.2000000001,Thomas Denise
2022-09-23,Sonnino-Giacometti SPA Group,Italy,115767.6,Thomas Denise
2022-09-29,"Storladi, Canevascini e Serraglio Group Group",Italy,291684.9,Thomas Denise
2022-09-16,"Storladi, Vigorelli e Pertini s.r.l. Group",Italy,678098.2000000001,Morgan Sarah
2021-02-02,Surian-Novaro SPA Group,Italy,181633.0,Thomas Denise
2021-10-11,"Taliercio, Bernardi e Gadda SPA Group",Italy,508738.0,Thomas Denise
2022-06-09,"Tamborini, Simeoni e Botticelli SPA s.r.l.",Italy,225240.6,Jones Leon
2022-11-25,Tomei s.r.l. s.r.l.,Italy,652016.3,Morgan Sarah
2022-05-03,Tornatore-Bianchini e figli e figli,Italy,728416.0,Jones Leon
2022-08-30,"Trapanese, Canetta e Flaiano SPA Group",Italy,469502.8,Thomas Denise
2021-07-13,Trebbi e figli e figli,Italy,197486.0,Morgan Sarah
2022-11-10,Trebbi s.r.l. SPA,Italy,857551.5,Thomas Denise
2021-01-29,"Trezzini, Leonetti e Trentin e figli e figli",Italy,126358.0,Jones Leon
2021-05-31,Trillini e figli Group,Italy,267359.0,Thomas Denise
2022-02-22,Turchetta-Luria s.r.l. SPA,Italy,635234.6,Thomas Denise
2022-03-07,"Tuzzolino, Nitti e Cutuli e figli Group",Italy,225405.7,Thomas Denise
2021-06-11,Ungaretti-Procacci s.r.l. s.r.l.,Italy,594897.0,Thomas Denise
2022-05-13,Viola-Corradi SPA e figli,Italy,501079.8,Jones Leon
2022-08-16,"Visintini, Cicilia e Doglioni e figli e figli",Italy,436287.8,Thomas Denise
2022-11-24,Zacco SPA s.r.l.,Italy,623308.4,Thomas Denise
2021-01-06,Zacco-Callegaro Group s.r.l.,Italy,666505.0,Thomas Denise
2021-03-09,Zamengo SPA s.r.l.,Italy,157763.0,Thomas Denise
2022-03-31,Zampa s.r.l. e figli,Italy,259711.40000000002,Thomas Denise
2022-04-21,Zecchini Group Group,Italy,767911.3,Jones Leon
2022-02-03,Zeffirelli SPA s.r.l.,Italy,816913.5,Jones Leon
2021-07-19,Zichichi-Querini SPA SPA,Italy,638691.0,Jones Leon
2021-11-05,Accor NV,Netherlands,147237.0,Thomas Denise
2022-09-13,BNP Paribas BV,Netherlands,793098.8,Thomas Denise
2022-07-06,Bakkersland BV,Netherlands,892088.6,Jones Leon
2021-07-12,Briere NV NV,Netherlands,290946.0,Thomas Denise
2022-01-05,Capgemini Groep,Netherlands,507366.60000000003,Jones Leon
2021-06-17,DAF Trucks BV,Netherlands,82964.0,Thomas Denise
2021-02-23,Dachgeldt & van de Coterlet NV,Netherlands,332455.0,Jones Leon
2023-03-01,Estey Groep NV,Netherlands,576691.2,Thomas Denise
2021-01-19,Estey NV Groep,Netherlands,140865.0,Jones Leon
2022-06-13,Estey NV NV,Netherlands,328224.0,Morgan Sarah
2022-11-09,Everts & van Luxemburg BV,Netherlands,630873.1,Thomas Denise
2022-09-12,Hulshouts NV BV,Netherlands,908310.0,Morgan Sarah
2021-07-22,Ikea NV,Netherlands,238789.0,Jones Leon
2023-01-10,Jaceps Groep Groep,Netherlands,574550.4,Thomas Denise
2022-06-30,Jorrisen & Berendse BV,Netherlands,475373.60000000003,Thomas Denise
2021-06-23,Karels NV NV,Netherlands,202528.0,Thomas Denise
2021-05-03,Koninklijke Hoelen NV,Netherlands,192944.0,Morgan Sarah
