Rating,Date,Description,Hotel_name,City,Country
8,28-06-2020,We had an amazing time at this hotel. Very luxurious. The only negative is that there are very few sun beds around the pool. They have a beach too but if you are a pool person you gonna have be patient for a sunbed,barriere-le-majestic,Cannes,France
10,17-03-2020,"Très belle hôtel, très belle chambre, juste un manque de chance du au covid 19 pas de petit déjeuner buffet, pas de restaurant mais un personnel à l’écoute disponible au top",barriere-le-majestic,Cannes,France
10,16-03-2020,"Un séjour parfait avec une chambre vue mer... un délicieux dîner au fouquet’s 
Le personnel d’une gentillesse extrême...",barriere-le-majestic,Cannes,France
10,16-03-2020,"rien à dire, parfait !",barriere-le-majestic,Cannes,France
10,18-02-2020,Un grand merci - hôtel top - je recommande les yeux fermés - le personnel excellent,barriere-le-majestic,Cannes,France
10,15-02-2020,Personnel au top surtout pour notre bébé de 4 mois chambre spacieuse avec un bébé,barriere-le-majestic,Cannes,France
10,12-02-2020,"Séjour impeccable rien à dire, je m'attendais cependant à une vue sur mer, comme réservé, mais je n'avais pas fait attention qu'il était écrit 'partielle'. Sinon rien à dire, un des meilleurs ... Je n'ai jamais reçu pareil service ailleurs à tout niveau",barriere-le-majestic,Cannes,France
6,12-02-2020,"Mon week-end s’est bien passé.
Par contre la personne qui devait m’accompagnée n’a pas pu venir.
Je trouve que l’hotel aurait pu faire un geste commercial au moins au niveau des petits déjeuners. Plutôt déçue.",barriere-le-majestic,Cannes,France
10,11-02-2020,"Service parfaitement à la hauteur de la catégorie de l'établissement, chambre spacieuse et parfaitement équipée. Personnel très agréable, à l'écoute, salle de sport avec équipements sportifs nombreux et dernier cri.",barriere-le-majestic,Cannes,France
10,10-02-2020,"Établissement magnifique et service au top
Nous avons apprécié une attention particulière pour notre anniversaire de mariage",barriere-le-majestic,Cannes,France
10,27-01-2020,"l arrivée, le personnel est  agréable,tout est fait pour satisfaire les clients ! Les chambres sont confortables, calmes , le petit déjeuner est est fantastique, et là encore le personnel est au petit soin . Le restaurant est également 
Très bien , nous y retournerons avec plaisir.",barriere-le-majestic,Cannes,France
10,27-01-2020,Tout est formidable,barriere-le-majestic,Cannes,France
10,24-01-2020,"L’ensemble était exceptionnel. Le personnel, les installations...",barriere-le-majestic,Cannes,France
10,19-01-2020,"parfait rien à dire, tout était nickel... le personnel est très sympa et à l'écoute de ses clients, la chambre était très grande et très jolie",barriere-le-majestic,Cannes,France
10,19-01-2020,"L aimabilite du personnel , l attention porte même pour les gens de classe moyenne",barriere-le-majestic,Cannes,France
10,15-01-2020,"Le personnel est très attentionné et gentil.
Hôtel idéalement situé.",barriere-le-majestic,Cannes,France
10,13-01-2020,Merci pour votre accueil et toutes vos attentions qui permettent de passer un séjour superbe,barriere-le-majestic,Cannes,France
10,01-12-2019,"Pour un hotel de ce standing, la finition    Dans la salle de bain laisse a desirer",barriere-le-majestic,Cannes,France
10,29-11-2019,"Hotel qui mérite son statut. Le cadre, la chambre sont parfaits.
Mention spéciale a l'attention et a la gentille de la receptionniste Marion, ainsi qu'au barman Issam.",barriere-le-majestic,Cannes,France
10,28-11-2019,"Le luxe du luxe, le personnel est accueillant et chaleureux, on y retourne à la moindre occasion",barriere-le-majestic,Cannes,France
10,28-11-2019,"5/5 excellent, personnels très accueillants. Service impeccable! Je recommande cet hôtel.",barriere-le-majestic,Cannes,France
10,05-11-2019,"Ben Hôtel, plein de charme. Petit déjeuner de grande classe, très bien placé.... un vrai Palace",barriere-le-majestic,Cannes,France
10,26-10-2019,"Le service des gens à été très apprcié, l'emplacement,",barriere-le-majestic,Cannes,France
8,06-07-2019,Excellent service!,barriere-le-majestic,Cannes,France
10,11-06-2019,"Magnifique séjour au Majestic ! 
Hôtel merveilleux, et personnel parfait !
Je recommande vivement :)",barriere-le-majestic,Cannes,France
10,10-06-2019,"Personnel attentionné et accueil chaleureux et personnalisé.
Chambre de luxe spacieuse et bien agencée.",barriere-le-majestic,Cannes,France
10,18-05-2019,"Super hotel sur la croisette, tres bien reçu et surclassé le jour de mon arrivé",barriere-le-majestic,Cannes,France
10,10-05-2019,Magnifique,barriere-le-majestic,Cannes,France
10,15-04-2019,Chambre prestige très agréable avec une vue splendide,barriere-le-majestic,Cannes,France
10,01-04-2019,"Une expérience et un séjour magnifiques.
Les services et le personnel sont au niveau de cet hôtel de luxe",barriere-le-majestic,Cannes,France
10,12-03-2019,"Meilleur hotel service excellent
Habituée de Cannes , pour moi cest le meilleur hotel . Situation exceptionnelle à 1 minute a pied du palais des festivals et en face de la plage. 
Piscine chauffée à 28 degres en pleins mois de Mars.
Tres satisfaite de mon sejour . Je le conseille les yeux fermés. 10/10",barriere-le-majestic,Cannes,France
6,17-02-2019,"Bien équipe mais chambre petite, vu l’endroit c’est normal",barriere-le-majestic,Cannes,France
10,10-02-2019,"Excellent accueil, personnel à l’écoute, service de chambre particulièrement attentionné",barriere-le-majestic,Cannes,France
10,28-01-2019,"Chambre privilège vue mer magnifique. Petit déjeuner excellent avec coupe de champagne au bord de la piscine. Cet établissement est remarquable par sa qualité, son personnel. Peut-être un peu déçu par le restaurant fouquets (très long, erreur sur les plats enfin arrivés..) mais j’aime beaucoup la décoration...",barriere-le-majestic,Cannes,France
8,02-12-2018,"séjour très confortable et convivial.
grande amabilité du personnel .
cadre et localisation près du palais des festivals de cannes",barriere-le-majestic,Cannes,France
10,25-11-2018,"Excellent Séjour 
Service impeccable 
Juste dommage que pour un établissement de ce standing vous ne puissiez pas fermer la porte des toilettes quand vous êtes à l’intérieur !!23cms entre la cuvette et la porte !! Bravo l’architecte 
Le reste superbement nickel",barriere-le-majestic,Cannes,France
4,18-11-2018,"Exceptionnel , le personnel est à ll’image de la qualité des prestations
Le Magestic à cannes est le prestige avec ses privilèges en plus réussir un 18 novembre à pouvoir nager dans la piscine chauffée à 27 degré que peux t’on rêver de mieux ...... 
monique",barriere-le-majestic,Cannes,France
10,31-10-2018,"Je conseille cet hôtel pour sa situation, l'amabilité du personnel à l'accueil, dans les chambres et dans tout l'hôtel. Bon restaurant. Merveilleux séjour on reviendra.",barriere-le-majestic,Cannes,France
10,27-10-2018,Hotel magnifique et très bien situé. Le personnel est extraordinaire.,barriere-le-majestic,Cannes,France
10,26-10-2018,Hotel fabuleux personnel de tres haut niveau tre belles prestationq en general,barriere-le-majestic,Cannes,France
10,23-10-2018,Hôtel extraordinaire personnel au top prestations super restaurant super plage fermer,barriere-le-majestic,Cannes,France
8,16-10-2018,"Hôtel magnifique. Nous avions la chambre standard qui donne sur des énormes tuyaux, dommage (bien que client GOLD ). Sinon le petit déjeuner est excellent avec des produits de grande qualité et du champagne (étonnant mais agréable de prendre une coupe près de la piscine). Le personnel est parfait. L’emplacement aussi. La décoration très belle.",barriere-le-majestic,Cannes,France
10,15-10-2018,"Très beau séjour, chambre magnifique et service au top!",barriere-le-majestic,Cannes,France
10,14-10-2018,Très belle Hôtel et le personnel est très gentil,barriere-le-majestic,Cannes,France
10,13-06-2018,"Super hôtel 
Personnel très accueillant 
Très belle chambre, literie d’exce qualité 
Un grand merci à la jeune dame mexicaine au restau le soir et à Thibaut au petit déjeuner",barriere-le-majestic,Cannes,France
10,08-05-2018,"Séjour agréable malgrès les préparatifs du festival , personnel accueillant et toujours près à faire pour vous satisfaire nous les remercions pour leurs écoute et leurs solutions apportée. Une petite peluche attendait notre enfant sur son lit .",barriere-le-majestic,Cannes,France
10,30-04-2018,personnel tres sympathique . tres bien,barriere-le-majestic,Cannes,France
10,21-04-2018,Une expérience vraiment au top personne très areglble il on meme penser à nous monter un cocktail d’anniversaire il on pris soin de nous et je l’es rien électivité du fond du cœur,barriere-le-majestic,Cannes,France
8,14-04-2018,"personnel très agréable, mais on est mieux ""chouchouté"" quand il y a moins de monde .
Cuisine excellente",barriere-le-majestic,Cannes,France
10,05-02-2018,Personnel au petit soin,barriere-le-majestic,Cannes,France
4,23-01-2018,"Je trouves pas normal de prendre 45 euro de parking pour une nuit surtout quand votre voiture dort dehors 
Et sans oublié la tête que font les voituriers quand vous ne leurs donner pas un pourboire !!! C et décevant et sa gâche notre plaisir d aller au Majestic",barriere-le-majestic,Cannes,France
10,15-01-2018,Nous avons été accueilli digne d'un 5*merci à Isabelle pour le surclassement,barriere-le-majestic,Cannes,France
10,31-12-2017,Excellent,barriere-le-majestic,Cannes,France
10,26-11-2017,Tout était parfait,barriere-le-majestic,Cannes,France
6,12-10-2017,"Ce n' est plus ce que c était , la qualité du service est tombée dommage .",barriere-le-majestic,Cannes,France
10,02-10-2017,L'hôtellerie dans sa prefection,barriere-le-majestic,Cannes,France
6,11-09-2017,"c'est la deuxième fois que nous passons une nuit dans cet hôtel, la première fois dans une suite (Christian Dior) qui s'est très bien passée , mais cette fois ci nous avons été très déçu! j'ai payé un supplément pour avoir la chambre ""DELUXE"" qui était ridicule , petite avec une seule fenêtre minuscule! la salle de bain était très petite(heureusement nous sommes jeunes et minces!!)... nous sommes prenons tout le temps des hôtels 5 étoiles et honnêtement comparé à l'hermitage ou monte carlo bay ... la chambre proposée n'était pas au niveau d'un 5 étoiles.... dommage.
Heureusement que le personnel et surtout le massage étaient exceptionnels car c'est le seul point positif.",barriere-le-majestic,Cannes,France
8,19-04-2017,"Très agréable endroit , au coeur de Cannes piscine et spa sont un vrai plus",barriere-le-majestic,Cannes,France
8,18-04-2017,Très bonne réception à l accueil très belle chambre par contre quel déception pour l accueil au restaurant de La plage quant on vous dis que c est complet pour le brunch sa passe mais quant on vous fait revenir l après midi pour avoir des transats et quant vous revenez on vous dis de nouveau que c est complet je pense que quant même pour un cinq étoiles si on peut pas ajouté juste deux place il y a des choses à revoir....et sur trois jours dans cette Hotel j ai du faire réactiver 2 fois mA carte de chambre car elle était désactivé à chaque fois..et apres sa a chaque fois que vous revenez dans l Hotel apres un déplacement il y a toujours deux vigiles à l entrée à vous regarder de la tête au pied en vous demandant si vous loger bien à cette Hotel,barriere-le-majestic,Cannes,France
10,09-01-2017,Nous avons passés un très bon week-end ! Toute l'équipe de l'hôtel est vraiment à nos soins pour que nous passions un séjour agréable ! Quentin particulièrement a ete d'une gentille extrême ! Nous reviendrons !,barriere-le-majestic,Cannes,France
10,06-01-2017,"Le meilleur hôtel de Cannes,belles chambres rénovées ,ce qui n'est pas le cas du Carlton et Martinez,personnel très stylé,quelques petits couacs:pas de coussin pour le chien,ni de gamelles ni de journal le matin,alors que le réceptionniste nous l'avait proposé.
Attention aux extras:garage 45€,chien 50€,bière pression 25cl 11€,petit déj 42€,impossible d'y manger que ce soit à la Petite Table et encore moins au Fouquet's sans atteindre des sommets faramineux,à partir de 150€ par tête(90€ une sôle),il y a des limites à tout.",barriere-le-majestic,Cannes,France
10,02-01-2017,magnifique hotel personnel au top du vrai haut de gamme,barriere-le-majestic,Cannes,France
10,24-10-2016,Très positif très agréable séjour. Je remercie spécialement Quentin pour son accueil et son enthousiasme,barriere-le-majestic,Cannes,France
10,17-10-2016,Un seul mot: parfait,barriere-le-majestic,Cannes,France
8,09-10-2016,A very pleasant stay. Perfectly located. Unique atmosphere.,barriere-le-majestic,Cannes,France
6,08-10-2016,"Hôtel très bien situé: plages, commerces, gare. Piscine et plage payante pour les clients: inadmissible! Très bon service.",barriere-le-majestic,Cannes,France
8,06-10-2016,On ne change pas une équipe qui gagne,barriere-le-majestic,Cannes,France
10,05-10-2016,Séjour très positif rapport qualité/prix,barriere-le-majestic,Cannes,France
10,23-09-2016,"AMBIANCE FESTIVE ET HAUT DE GAMME, MAIS IDEALE AUSSI POUR REPOS",barriere-le-majestic,Cannes,France
10,19-09-2016,"Tres bel hotel ,accueil exceptionnel mais l emplacement de la chambre pas à la hauteur de l établissement (au bout d un renfoncement de couloir)peut être parceque nous avons bénéficié d un tarif promotionnel ......Dommage pour ce bemol",barriere-le-majestic,Cannes,France
10,14-09-2016,Superbe accueil. Chambre confortable mais le restaurant la petite maison de Nicole est décevant.,barriere-le-majestic,Cannes,France
6,12-09-2016,"Les + : Bel hôtel, belle chambre, literie excellente, propreté remarquable. Les - : petite piscine, personnel très inégal. Le personnel qui gère l'entrée juste avant l'accès au Fouquet's est d'une impolitesse dérangeante, je n'ai jamais vu ça auparavant. C'est pour cette unique et dernière raison que je ne recommanderai pas.",barriere-le-majestic,Cannes,France
10,14-04-2016,"Magnifique, Tres bien placé ... Service très haut de gamme",barriere-le-majestic,Cannes,France
10,24-03-2016,TOP,barriere-le-majestic,Cannes,France
10,16-03-2016,"Nous avons beaucoup aimé cet hôtel, tout était parfait ! A refaire ! Nous le recommandons vivement à tous !",barriere-le-majestic,Cannes,France
10,20-02-2016,"Une belle surprise nous attendait dans notre chambre jonchée de pétales de roses dans l'entrée, la salle de bain et un cœur fait de pétales de rose sur le lit préparé par Christine N. 
Merci parce que ma compagne a aimé cette attention particulière, ainsi que le plateau de pâtisserie qui nous a été offert en chambre peu après notre arrivée.
Nous avons passé un excellent séjour à l'hôtel et le personnel a toujours été présent pour répondre à nos attentes.
A noter également le professionnalisme et la sympathie du personnel du Fouquet's l'un des restaurants de l'hôtel!
Nous y reviendrons!!",barriere-le-majestic,Cannes,France
4,23-11-2015,"Pour le prix soit disant avantageux, on vous donne une des chambres les plus petites et non rénovées, indigne du niveau de l'hôtel.
Et quand vous en faites part en partant à la personne qui vous demande si le séjour s'est bien passé, on prends un air faussement étonné, en vous assurant bien que la prochaine fois on vous donnera une chambre plus grande...digne de l'actors studio...",barriere-le-majestic,Cannes,France
10,21-11-2015,"Pas habitué de palace . Superbe accueil , surclassée , chambre avec vue sur mer . Nous avons passé un sejour extraordinaire .",barriere-le-majestic,Cannes,France
10,28-10-2015,L'hôtel porte bien son nom il est MAJESTIC !!!,barriere-le-majestic,Cannes,France
10,27-10-2015,"Une chambre très moche nous a été attribuée (exigue, décoration des années 80, pas possible d'ouvrir la porte du placard car elle etait bloquée par la table de nuit, vue sur les sorties de climatisation du rez de chaussee, salle d'eau minuscule...) correspondant à un prix d'appel (quant meme 259 euros).
Nous sommes tres rapidement descendus à la réception pour signaler notre mécontentement et le réceptionniste a tres bien compris notre demande, et du coup nous a surclassé en chambre supérieure.
C'est un geste commercial qui nous paraissait normal. Nous sommes dans un palace ..Premier abord décevant car on a essayer de nous attribuer un chambre digne d'un 1er étoile..
heureusement, le réceptionniste ne voulait que nous restions sur une mauvaise impression..",barriere-le-majestic,Cannes,France
6,25-08-2015,"L'hôtel est très bien situé, mais pour un hôtel 5 étoiles la chambre était un peu vétuste... Porte qui ne fermait pas à clef... Pommeau de douche qui fuit, porte des toilettes abîmée, toilette pas stable...",barriere-le-majestic,Cannes,France
10,13-07-2015,"Je voudrais juste faire un point sur le prix de la chambre, elle m'a été facturé par Hôtel.com 275 euros et le matin par l'hôtel a 214 euros, une grosse différence quand même, j'aimerai avoir un commentaire a ce sujet..
Autrement un très belle hôtel et un bon séjour!!!",barriere-le-majestic,Cannes,France
10,06-06-2015,Nous fêtions nos 50 années de mariage ( sommes mariés très très jeune) et avons été ravis de cet établissement de grand luxe en centre croisette,barriere-le-majestic,Cannes,France
4,05-06-2015,"l'accueil est froid
notre chambre était bruyante, vieillotte, avec des vitres opaques pour cacher une vue déprimante sur des blocs clim
le petit déjeuner est parfait
l'emplacement de l'hotel est très bon",barriere-le-majestic,Cannes,France
8,12-05-2015,"Tres bon séjour mais le service n'a pas etait a la hauteur d'un hotel de luxe... Trop de temps pour monter des serviettes au moin 15min, on a demandé un bagagiste 20min pour monter et le spa n'est pas tres propre et la mixitée est un peut derangente du fais de voir certains hommes nus sous les douches devant ma femme pas top...",barriere-le-majestic,Cannes,France
8,05-05-2015,bien,barriere-le-majestic,Cannes,France
10,27-04-2015,"PARFAIT! que ce soit sur la chambre (deluxe très spacieuse), les petits déjeuners (excellent), le service, l'emplacement.....",barriere-le-majestic,Cannes,France
10,04-04-2015,Un week-end inoubliable dans un lieu extraordinaire. Chambre avec vue sur la mer et les fameuses marches. Service parfait.,barriere-le-majestic,Cannes,France
10,31-03-2015,"Excellent séjour, tres bel hotel et situation idéale",barriere-le-majestic,Cannes,France
8,27-03-2015,Très bon séjour mais oreillers trop épais dans le lit. Il manque un oreiller moins épais car le gros carré et le petit rectangulaire sont tous deux inconfortables pour nous. Il n'est pas indiqué dans la chambre que l'on peut changer et à 22h nous nous sommes contentés du choix proposé et la nuit n'a pas été parfaite. Dommage.,barriere-le-majestic,Cannes,France
10,04-02-2015,"Excellent sejour !!!!
L'accueil est exceptionnel: à la reception,au restaurant,au Spa.....partout les employés sont très sympas et attentifs au moindre detail et compris à l'heure du départ, le directeur est venu nous serrer la main et nous dire au revoir, un geste que nous avons beaucoup apprécier !!!!
nous avons été surclasser, chambre au 6ème étage avec vue partiel sur la mer, très spacieuse avec balcon.....tout à été parfait!
La reception est féerique: un decor fabuleux, le parfum....!!
L'emplacement est ideal, face au palais des festivals, boutiques de luxe au pied de l'hotel...
Cannes c'est une ville fantastique, nous y retournerons bientôt !!!!",barriere-le-majestic,Cannes,France
8,26-01-2015,Personnel très gentil agréable toujours à notre écoute toute en étant tres discret hôtel tres propre le petit déjeuner tres copieux cette hôtel merite amplement ces étoiles le personnel ne fait aucune différence entre nous et les personnes plus riches je le recommande,barriere-le-majestic,Cannes,France
8,25-01-2015,"Services et équipements de l'hôtel laissant quelque peu à désirer, un peu vétuste",barriere-le-majestic,Cannes,France
10,06-01-2015,Nous avons passé un excellent séjour sauf qu'une prise de courant rattachée à la table de nuit de mon mari ne fonctionnait pas nous n'avons pas eu de port toute la matinée . Il n'y avait pas de sèche cheuveux dans la chambre,barriere-le-majestic,Cannes,France
10,05-01-2015,"Chambre spacieuse avec Literie confortable. Bel hôtel, emplacement idéal.
Chambre nécessitant une rénovation (tâches sur les murs, peinture écaillée, trous dans carrelage de la sdb) non conforme pour hôtel 5*.
Rapport qualité prix acceptable avec tarif hotel.com 165 € /nuit environ avec le petit déjeuner (excellent) inclus.",barriere-le-majestic,Cannes,France
10,05-01-2015,"Excellent accueil, le personnel est à la hauteur de sa réputation",barriere-le-majestic,Cannes,France
8,05-01-2015,"Nous avons été content de notre séjour , nous avons eu un soucis dans notre chambre initiale et le personnel a tout fait pour nous faire oublier cet incident , le personnel mets vraiment tout à sa disposition pour que vous soyez content de votre séjour.",barriere-le-majestic,Cannes,France
10,21-10-2014,"Magnifique, service de mini bar à du matin est bizarre",barriere-le-majestic,Cannes,France
10,07-10-2014,"Un vrai palace . Personnel très agréable .Pour mon anniversaire , gâteau très beau et excellent apporté en chambre sur table nappée et en plus surclassement  pour la chambre",barriere-le-majestic,Cannes,France
10,17-09-2014,nostalgique,barriere-le-majestic,Cannes,France
8,14-04-2014,"situation de l'hotel vraiment très bien, le service également, nous avons réservé 4 chambres et malheureusement la chambre attribuée au responsable était la plus petite et la moins confortalble, dommage....",barriere-le-majestic,Cannes,France
8,09-04-2014,"excellent hôtel, prestations conforme à un hôtel de sa catégorie .Petit déjeuné un peu cher, mains conforme à notre attente.Par contre, le prix du parking est prohibitif. Je conseil de se garer au parking du palais des festivals qui se trouve juste vis à vis de l'hôtel.",barriere-le-majestic,Cannes,France
10,25-03-2014,Sans aucun doute le meilleur palace de Cannes.,barriere-le-majestic,Cannes,France
4,21-03-2014,"Nous avons eu une chambre au dessus de la chaufferie... Donc pas de sommeil possible, à votre avis , c'est important ou pas ?",barriere-le-majestic,Cannes,France
8,13-02-2014,Très bel hôtel ne faisant pas d'ombre à la réputation du Groupe Barrière.Chambre un peu plus petite que ce à quoi nous nous attendions.Literie d'exception. Service impeccable.,barriere-le-majestic,Cannes,France
10,11-02-2014,Excellente impression! un hôtel à la mesure de sa réputation: un accueil chaleureux et des services complets. Le petit déjeuner est impressionnant par son choix et sa qualité...,barriere-le-majestic,Cannes,France
8,14-11-2013,déja venu plusieurs fois !donc je l apprecie,barriere-le-majestic,Cannes,France
10,05-11-2013,"A recommander vivement , confort , gentillesse, propreté . Nous reviendrons avec plaisir",barriere-le-majestic,Cannes,France
10,04-11-2013,Le plus classe établissement vraiment a recommander,barriere-le-majestic,Cannes,France
10,04-11-2013,"Excellent
Proche de la plage et sur la croisette",barriere-le-majestic,Cannes,France
10,04-11-2013,Une nuit au Majestic car nous étions de passage sur cannes.J'avais séjourné dans cet hôtel dans le cadre de mon activité professionnelle mais cette fois ci j'étais avec mon épouse et notre fille.Des notre arrivée prise en charge et service impeccable.Une chambre conforme à notre réservation et une attention pour notre fille avait même était prévue.Petit déjeuner copieux et de qualite.Experience à renouveler.,barriere-le-majestic,Cannes,France
10,25-10-2013,Excellent séjour. Service irréprochable. Le champagne au petit déjeuner est une bonne surprise...,barriere-le-majestic,Cannes,France
8,25-09-2013,"Agréable séjour dans l'ensemble, dommage que les chambres soit si peu insonorisées et que l'on soit dérangée par la réception à 1h45 du matin prétextant une petite alarme dans la chambre ?. Sinon bel Hôtel bien placé début Croisette. Le Hall d'entrée est majestueux ,à l'inverse des chambres qui pourrait être rajeunit .Le personnel est très bien et la qualité du service est à la hauteur des cinq étoiles.",barriere-le-majestic,Cannes,France
8,16-09-2013,"TRES BELLE HOTEL FACADE DU BATIMENT IMPOSANTE, NOUS LOGIONS DANS UNE HUNIOR SUITE APRES UN UPGRATE OFFERT PAR L HOTEL ; CHAMBRE SPACIEUSE ET CONFORTABLE TRE SBIEN CONCU ET RENOVEE RECEMENT. TRES BON PETIT DEJEUNER (38 EUROS .....)",barriere-le-majestic,Cannes,France
10,02-09-2013,"Trés agréable surprise d'etre surclassé . Chambre trés agréable. Personnel attentif, courtois .
Les restaurants sont excellents .",barriere-le-majestic,Cannes,France
10,26-08-2013,"Nous venons de passer une semaine au Majestic avec notre fille de 2 ans et demi, au cours de la deuxième quinzaine d'aout.
Nous connaissions l'hôtel pour y avoir séjourner il y a 3 ans, avant certains travaux d'embellissements des chambres.
Comme la première fois, nous ne gardons que de bons souvenirs de notre séjour; accueil charmant, chambre propre et fonctionnelle, piscine et décorum plus qu'agréable, ....
Les points noirs restent néanmoins les mêmes : la portion de plage dédiée à l'hôtel reste plutôt étriquée, ce n'est pas le coin le plus propre et le plus beau de la croisette et le tarif transat+collation reste exorbitant. Rien ne vous empêches de vous délocaliser sur les plages publiques à quelques dizaines de mètres, l'eau est la même.
Par contre, sur des commentaire précédents, nous avons pu lire que le personnel est désagréable et ne se montre que peut attentif aux doléances de chacun. Je pense surtout que celui-ci fatigue parfois face au manque de politesse et aux exigences incongrues de nombreux pensionnaires. Quand un enfant de 10 ans se comporte comme un nabab du pétrole et ne connait aucune formule de politesse, je veux bien croire que certains craquent.
Les critiques concernant les prix et tarifs n'ont à mon sens pas lieu d'être, vous savez à quoi vous vous exposez quand vous choisissez un 5 étoiles sur la croisette.
Notre fille ne demande qu'une chose depuis notre retour : y repartir.",barriere-le-majestic,Cannes,France
10,08-08-2013,"Personnel très attentionné
Restauration de très haut niveau",barriere-le-majestic,Cannes,France
10,01-08-2013,"Un rêve !!!
Tout est parfait , chambrés magnifiques , propres ...",barriere-le-majestic,Cannes,France
10,30-07-2013,Superbe chambre avec vue ! Pres de tout a pied...,barriere-le-majestic,Cannes,France
10,24-07-2013,Hôtel magnifique. On est venu à 3 en famille. Tout était parfait!,barriere-le-majestic,Cannes,France
