Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1481,2-STORY 1946+,RL,105.0,13650,Pave,,0,Lvl,3,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,4,3,PConc,4,3,3,6,578.0,1,0.0,1093.0,1671.0,GasA,5,1,5,1687,563,0,2250,1.0,0.0,2,1,3,1,4,7,0,1,5,Attchd,2002.0,3,3.0,756.0,3,3,2,238,130,0,0,0,0,0,0,,0,June,2010,WD,Normal
1482,1-STORY PUD 1946+,RL,41.0,7132,Pave,,1,Lvl,3,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4,3,1,6,24.0,1,0.0,1346.0,1370.0,GasA,5,1,5,1370,0,0,1370,0.0,0.0,2,0,2,1,4,6,0,1,4,Attchd,2006.0,2,2.0,484.0,3,3,2,120,49,0,0,0,0,0,0,,0,Apr,2010,WD,Normal
1483,1-STORY 1946+,RL,100.0,18494,Pave,,1,Lvl,3,Corner,0,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,1,0.0,1,0.0,1324.0,1324.0,GasA,5,1,5,1324,0,0,1324,0.0,0.0,2,0,3,1,4,6,0,0,0,Attchd,2005.0,3,2.0,430.0,3,3,2,36,23,0,0,0,0,0,0,,0,Jan,2010,WD,Normal
1484,1-STORY PUD 1946+,RL,43.0,3203,Pave,,0,Lvl,3,Inside,0,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,4,3,PConc,4,3,2,6,16.0,1,0.0,1129.0,1145.0,GasA,5,1,5,1145,0,0,1145,0.0,0.0,2,0,2,1,4,6,0,0,0,Attchd,2006.0,3,2.0,437.0,3,3,2,100,116,0,0,0,0,0,0,,0,Jan,2010,WD,Normal
1485,SPLIT OR MULTI-LEVEL,RL,67.0,13300,Pave,,1,Lvl,3,Inside,0,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,6,326.0,1,0.0,58.0,384.0,GasA,5,1,5,744,630,0,1374,1.0,0.0,2,1,3,1,4,7,0,1,4,BuiltIn,2004.0,3,2.0,400.0,3,3,2,100,0,0,0,0,0,0,0,,0,June,2010,WD,Normal
1486,2-STORY 1946+,RL,63.0,8577,Pave,,1,Lvl,3,Inside,0,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,1,0.0,1,0.0,847.0,847.0,GasA,5,1,5,847,886,0,1733,0.0,0.0,2,1,3,1,4,7,0,1,4,BuiltIn,2004.0,3,2.0,433.0,3,3,2,144,48,0,0,0,0,0,0,,0,Apr,2010,WD,Normal
1487,2-STORY 1946+,RL,60.0,17433,Pave,,2,Lvl,3,CulDSac,0,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,4,3,PConc,5,3,0,1,0.0,1,0.0,1629.0,1629.0,GasA,5,1,5,1645,830,0,2475,0.0,0.0,2,1,4,1,4,7,0,1,3,Attchd,1998.0,3,3.0,962.0,3,3,2,23,172,0,0,256,0,0,0,,0,Jan,2010,WD,Normal
1488,1-STORY 1946+,RL,73.0,8987,Pave,,0,Lvl,3,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,4,3,PConc,4,3,0,1,0.0,1,0.0,1595.0,1595.0,GasA,5,1,5,1595,0,0,1595,0.0,0.0,2,0,2,1,4,6,0,1,4,Attchd,2005.0,2,3.0,880.0,3,3,2,144,0,0,0,0,0,0,0,,0,May,2010,WD,Normal
1489,1-STORY 1946+,FV,92.0,9215,Pave,,0,Lvl,3,Inside,0,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,1,0.0,1,0.0,1218.0,1218.0,GasA,5,1,5,1218,0,0,1218,0.0,0.0,2,0,2,1,4,4,0,0,0,Attchd,2009.0,2,2.0,676.0,3,3,2,0,136,0,0,0,0,0,0,,0,Apr,2010,New,Partial
1490,1-STORY 1946+,FV,84.0,10440,Pave,,0,Lvl,3,Corner,0,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,0,6,1414.0,1,0.0,54.0,1468.0,GasA,5,1,5,1468,0,0,1468,1.0,0.0,2,0,2,1,4,6,0,1,4,Attchd,2005.0,3,2.0,528.0,3,3,2,0,102,0,0,216,0,0,0,,0,May,2010,WD,Normal
1491,2-STORY 1946+,RL,70.0,11920,Pave,,0,Lvl,3,Inside,0,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,4,3,PConc,4,3,2,1,0.0,1,0.0,831.0,831.0,GasA,5,1,5,831,828,0,1659,0.0,0.0,2,1,3,1,4,8,0,0,0,Attchd,2004.0,2,2.0,484.0,3,3,2,144,68,0,0,0,0,0,0,,0,Apr,2010,WD,Normal
1492,1-STORY 1945-,RH,70.0,9800,Pave,,0,Lvl,3,Corner,0,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,2,BrkTil,3,3,0,1,0.0,1,0.0,816.0,816.0,GasA,3,0,4,1012,0,0,1012,0.0,0.0,1,0,2,1,3,5,0,0,0,Detchd,1920.0,1,1.0,429.0,3,3,2,121,0,80,0,0,0,0,0,,0,Apr,2010,WD,Normal
1493,1-STORY 1946+,RL,39.0,15410,Pave,,1,Lvl,3,CulDSac,0,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250.0,3,4,CBlock,3,3,3,4,126.0,6,859.0,223.0,1208.0,GasA,5,1,5,1494,0,0,1494,1.0,0.0,2,0,3,1,3,7,0,2,2,Attchd,1974.0,3,2.0,461.0,3,3,2,296,0,186,0,0,0,0,4,,0,Apr,2010,WD,Abnorml
1494,2-STORY 1946+,RL,85.0,13143,Pave,,1,Lvl,3,Inside,0,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504.0,4,3,PConc,4,3,0,2,250.0,6,981.0,0.0,1231.0,GasA,5,1,5,1251,1098,0,2349,1.0,0.0,2,1,4,1,4,9,0,1,3,Attchd,1993.0,2,3.0,762.0,3,3,2,32,130,0,0,0,0,0,0,,0,June,2010,WD,Normal
1495,2-STORY 1946+,RL,88.0,11134,Pave,,0,Lvl,3,Inside,0,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,4,3,PConc,4,3,0,6,1129.0,1,0.0,261.0,1390.0,GasA,5,1,5,1402,823,0,2225,1.0,0.0,2,1,4,1,4,7,0,1,3,Attchd,1992.0,2,3.0,713.0,3,3,2,198,30,0,0,0,0,0,0,,0,June,2010,WD,Normal
1496,1-STORY PUD 1946+,FV,25.0,4835,Pave,,1,Lvl,3,CulDSac,0,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,5,3,2,6,1298.0,1,0.0,190.0,1488.0,GasA,5,1,5,1488,0,0,1488,1.0,0.0,2,0,2,1,4,6,0,1,4,Attchd,2004.0,3,2.0,506.0,3,3,2,168,50,0,0,0,0,0,0,,0,Mar,2010,WD,Normal
1497,2-STORY PUD 1946+,FV,39.0,3515,Pave,Pave,0,Lvl,3,Inside,0,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,1,0.0,1,0.0,840.0,840.0,GasA,5,1,5,840,840,0,1680,0.0,0.0,2,1,2,1,4,3,0,0,0,Attchd,2004.0,2,2.0,588.0,3,3,2,0,111,0,0,0,0,0,0,,0,Jan,2010,WD,Normal
1498,2-STORY PUD 1946+,FV,30.0,3215,Pave,Pave,0,Lvl,3,Inside,0,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,4,3,PConc,4,3,2,6,280.0,1,0.0,320.0,600.0,GasA,5,1,5,600,600,0,1200,0.0,0.0,2,1,2,1,4,4,0,0,0,Detchd,2004.0,2,2.0,480.0,3,3,2,0,172,0,0,0,0,0,0,,0,Apr,2010,ConLD,Normal
1499,2-STORY PUD 1946+,FV,24.0,2544,Pave,Pave,0,Lvl,3,Inside,0,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,0,6,368.0,5,42.0,190.0,600.0,GasA,5,1,5,600,600,0,1200,1.0,0.0,2,1,2,1,4,4,0,0,0,Detchd,2004.0,2,2.0,480.0,3,3,2,0,172,0,0,0,0,0,0,,0,Feb,2010,WD,Normal
1500,2-STORY PUD 1946+,FV,24.0,2544,Pave,Pave,0,Lvl,3,Inside,0,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,4,3,PConc,4,3,0,6,376.0,1,0.0,224.0,600.0,GasA,5,1,5,600,636,0,1236,1.0,0.0,2,1,2,1,4,4,0,0,0,Detchd,2005.0,2,2.0,480.0,3,3,2,0,166,0,0,0,0,0,0,,0,May,2010,WD,Normal
1501,2-STORY PUD 1946+,FV,,2980,Pave,,0,Lvl,3,Corner,0,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159.0,4,3,PConc,4,3,0,6,466.0,1,0.0,290.0,756.0,GasA,5,1,5,756,756,0,1512,1.0,0.0,2,1,2,1,4,5,0,0,0,Detchd,2000.0,1,2.0,440.0,3,3,2,0,32,0,0,0,0,0,0,,0,May,2010,WD,Normal
1502,2-STORY PUD 1946+,FV,,2403,Pave,,1,Lvl,3,FR2,0,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,6,244.0,1,0.0,286.0,530.0,GasA,5,1,5,530,550,0,1080,0.0,0.0,2,1,2,1,4,4,0,0,0,Attchd,2003.0,2,2.0,496.0,3,3,2,0,50,0,0,0,0,0,0,,0,June,2010,WD,Normal
1503,1-STORY 1946+,FV,57.0,12853,Pave,Pave,1,Lvl,3,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5,1,0,6,1032.0,1,0.0,610.0,1642.0,GasA,5,1,5,1418,0,0,1418,1.0,0.0,1,1,1,1,4,6,0,1,4,Attchd,2010.0,2,3.0,852.0,3,3,2,160,192,0,224,0,0,0,0,,0,Apr,2010,New,Partial
1504,2-STORY 1946+,FV,68.0,7379,Pave,,1,Lvl,3,Inside,0,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,6,484.0,1,0.0,491.0,975.0,GasA,5,1,5,975,873,0,1848,1.0,0.0,2,1,3,1,4,7,0,1,3,Attchd,2000.0,2,2.0,592.0,3,3,2,280,184,0,0,0,0,0,0,,0,Apr,2010,WD,Normal
1505,1-STORY 1946+,FV,80.0,8000,Pave,,0,Lvl,3,Inside,0,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,6,833.0,1,0.0,659.0,1492.0,GasA,5,1,5,1492,0,0,1492,1.0,0.0,2,0,3,1,4,6,0,1,4,Attchd,2002.0,2,2.0,596.0,3,3,2,277,137,0,0,0,0,0,0,,0,Apr,2010,WD,Normal
1506,1-STORY 1946+,RL,,10456,Pave,,1,Lvl,3,Inside,0,NWAmes,Norm,Norm,1Fam,1Story,6,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,120.0,3,3,CBlock,3,3,0,6,506.0,1,0.0,1323.0,1829.0,GasA,4,1,5,1829,0,0,1829,1.0,0.0,2,0,4,1,3,8,0,0,0,Attchd,1967.0,2,2.0,535.0,3,3,2,0,76,0,0,0,0,0,0,,0,May,2010,WD,Normal
1507,2-STORY 1946+,RL,80.0,10791,Pave,,0,Lvl,3,Inside,0,NWAmes,Norm,Norm,1Fam,2Story,6,5,1993,1993,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,4,3,1,6,1137.0,1,0.0,143.0,1280.0,GasA,5,1,5,1280,1215,0,2495,1.0,0.0,2,1,4,1,4,9,0,1,3,Attchd,1993.0,1,2.0,660.0,3,3,2,224,32,0,0,0,0,0,0,,0,Mar,2010,WD,Normal
1508,1-1/2 STORY FIN,RL,,18837,Pave,,1,Lvl,3,Inside,0,NWAmes,Norm,Norm,1Fam,1.5Fin,6,5,1978,1978,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,4,3,1,5,687.0,3,46.0,491.0,1224.0,GasA,3,1,5,1287,604,0,1891,0.0,1.0,3,0,3,1,3,7,0,1,3,Attchd,1978.0,2,2.0,678.0,3,3,2,0,69,0,0,0,0,0,0,,0,Apr,2010,WD,Normal
1509,2-STORY 1946+,RL,80.0,9600,Pave,,0,Lvl,3,Inside,0,NWAmes,Norm,Norm,1Fam,2Story,6,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,5,329.0,1,0.0,386.0,715.0,GasA,3,1,5,930,715,0,1645,0.0,0.0,1,2,4,1,3,7,0,0,0,Attchd,1971.0,2,2.0,441.0,3,3,2,0,78,0,0,0,0,0,2,,0,June,2010,WD,Normal
1510,1-STORY 1946+,RL,80.0,9600,Pave,,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,VinylSd,VinylSd,BrkFace,172.0,3,3,CBlock,3,3,0,3,698.0,1,0.0,534.0,1232.0,GasA,3,1,5,1232,0,0,1232,1.0,0.0,1,1,3,1,3,6,0,0,0,Attchd,1966.0,2,2.0,490.0,3,3,2,0,224,0,0,0,0,0,0,,0,Apr,2010,WD,Normal
1511,1-STORY 1946+,RL,90.0,9900,Pave,,0,Lvl,3,Corner,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,0,4,1059.0,1,0.0,150.0,1209.0,GasA,4,1,5,1209,0,0,1209,1.0,0.0,1,0,3,1,3,6,0,0,0,Attchd,1966.0,2,2.0,504.0,3,3,2,0,0,120,0,0,0,0,0,,0,Apr,2010,ConLD,Normal
1512,1-STORY 1946+,RL,88.0,9680,Pave,,0,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,Wd Sdng,Plywood,BrkFace,268.0,3,3,CBlock,3,3,0,4,1010.0,1,0.0,500.0,1510.0,GasA,5,1,5,1510,0,0,1510,1.0,0.0,2,0,3,1,4,6,0,0,0,Attchd,1967.0,2,2.0,517.0,3,3,2,0,40,0,0,204,0,0,4,,0,Apr,2010,WD,Normal
