level_0,index,year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,rank,second_candidate_votes,margin
64,203,1976,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,3244165,6668262,20210113,,DEMOCRAT,1.0,2825913.0,418252.0
66,212,1976,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,927365,1677906,20210113,,DEMOCRAT,1.0,741960.0,185405.0
68,217,1976,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,153684,297308,20210113,,REPUBLICAN,1.0,136078.0,17606.0
70,228,1976,OHIO,OH,39,31,24,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2009959,4110456,20210113,,DEMOCRAT,1.0,2000626.0,9333.0
72,238,1976,OKLAHOMA,OK,40,73,53,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,545708,1092251,20210113,,REPUBLICAN,1.0,532442.0,13266.0
74,241,1976,OREGON,OR,41,92,72,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,492120,1029876,20210113,,REPUBLICAN,1.0,490407.0,1713.0
76,246,1976,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2328677,4620787,20210113,,DEMOCRAT,1.0,2205604.0,123073.0
78,254,1976,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,227636,410584,20210113,,DEMOCRAT,1.0,181249.0,46387.0
80,260,1976,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,450807,802583,20210113,,DEMOCRAT,1.0,346149.0,104658.0
82,265,1976,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,151505,300678,20210113,,REPUBLICAN,1.0,147068.0,4437.0
84,270,1976,TENNESSEE,TN,47,62,54,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,825879,1476346,20210113,,DEMOCRAT,1.0,633969.0,191910.0
86,281,1976,TEXAS,TX,48,74,49,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2082319,4071884,20210113,,DEMOCRAT,1.0,1953300.0,129019.0
88,287,1976,UTAH,UT,49,87,67,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,337908,541218,20210113,,REPUBLICAN,1.0,182110.0,155798.0
90,295,1976,VERMONT,VT,50,13,6,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,100387,183902,20210113,,REPUBLICAN,1.0,77798.0,22589.0
92,301,1976,VIRGINIA,VA,51,54,40,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,836554,1697094,20210113,,REPUBLICAN,1.0,813896.0,22658.0
94,307,1976,WASHINGTON,WA,53,91,73,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,777732,1555534,20210113,,REPUBLICAN,1.0,717323.0,60409.0
96,318,1976,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,435864,750590,20210113,,DEMOCRAT,1.0,314726.0,121138.0
98,320,1976,WISCONSIN,WI,55,35,25,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,1040232,2101336,20210113,,DEMOCRAT,1.0,1004987.0,35245.0
100,329,1976,WYOMING,WY,56,83,68,US PRESIDENT,"FORD, GERALD",REPUBLICAN,False,92717,156343,20210113,,REPUBLICAN,1.0,62239.0,30478.0
102,332,1980,ALABAMA,AL,1,63,41,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,654192,1341929,20210113,,REPUBLICAN,1.0,636730.0,17462.0
104,342,1980,ALASKA,AK,2,94,81,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,86112,158445,20210113,,REPUBLICAN,1.0,41842.0,44270.0
106,347,1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,529688,873945,20210113,,REPUBLICAN,1.0,246843.0,282845.0
108,355,1980,ARKANSAS,AR,5,71,42,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,403164,837582,20210113,,REPUBLICAN,1.0,398041.0,5123.0
110,362,1980,CALIFORNIA,CA,6,93,71,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,4522994,8582938,20210113,,REPUBLICAN,1.0,3082943.0,1440051.0
112,369,1980,COLORADO,CO,8,84,62,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,652264,1184450,20210113,,REPUBLICAN,1.0,368009.0,284255.0
114,377,1980,CONNECTICUT,CT,9,16,1,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,677210,1406285,20210113,,REPUBLICAN,1.0,541732.0,135478.0
116,383,1980,DELAWARE,DE,10,51,11,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,111252,235668,20210113,,REPUBLICAN,1.0,105754.0,5498.0
118,388,1980,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,130231,173889,20210113,,DEMOCRAT,1.0,23313.0,106918.0
120,397,1980,FLORIDA,FL,12,59,43,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2046951,3686927,20210113,,REPUBLICAN,1.0,1419475.0,627476.0
122,402,1980,GEORGIA,GA,13,58,44,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,890955,1596805,20210113,,DEMOCRAT,1.0,654168.0,236787.0
124,406,1980,HAWAII,HI,15,95,82,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,135879,303287,20210113,,DEMOCRAT,1.0,130112.0,5767.0
126,412,1980,IDAHO,ID,16,82,63,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,290699,437431,20210113,,REPUBLICAN,1.0,110192.0,180507.0
128,417,1980,ILLINOIS,IL,17,33,21,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2358049,4749721,20210113,,REPUBLICAN,1.0,1981413.0,376636.0
130,426,1980,INDIANA,IN,18,32,22,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1255656,2242033,20210113,,REPUBLICAN,1.0,844197.0,411459.0
132,434,1980,IOWA,IA,19,42,31,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,676026,1317661,20210113,,REPUBLICAN,1.0,508672.0,167354.0
134,445,1980,KANSAS,KS,20,47,32,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,566812,979795,20210113,,REPUBLICAN,1.0,326150.0,240662.0
136,453,1980,KENTUCKY,KY,21,61,51,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,635274,1295627,20210113,,REPUBLICAN,1.0,617417.0,17857.0
138,461,1980,LOUISIANA,LA,22,72,45,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,792853,1548591,20210113,,REPUBLICAN,1.0,708453.0,84400.0
140,468,1980,MAINE,ME,23,11,2,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,238522,523011,20210113,,REPUBLICAN,1.0,220974.0,17548.0
142,475,1980,MARYLAND,MD,24,52,52,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,726161,1540496,20210113,,DEMOCRAT,1.0,680606.0,45555.0
144,479,1980,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1057631,2524090,20210113,,REPUBLICAN,1.0,1053802.0,3829.0
146,486,1980,MICHIGAN,MI,26,34,23,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1915225,3909725,20210113,,REPUBLICAN,1.0,1661532.0,253693.0
148,493,1980,MINNESOTA,MN,27,41,33,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,954173,2051916,20210113,,DEMOCRAT,1.0,873268.0,80905.0
150,504,1980,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,441089,891750,20210113,,REPUBLICAN,1.0,429281.0,11808.0
152,510,1980,MISSOURI,MO,29,43,34,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1074181,2099824,20210113,,REPUBLICAN,1.0,931182.0,142999.0
154,516,1980,MONTANA,MT,30,81,64,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,206814,363952,20210113,,REPUBLICAN,1.0,118032.0,88782.0
156,520,1980,NEBRASKA,NE,31,46,35,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,419214,639533,20210113,,REPUBLICAN,1.0,166424.0,252790.0
158,524,1980,NEVADA,NV,32,88,65,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,155017,243692,20210113,,REPUBLICAN,1.0,66666.0,88351.0
160,528,1980,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,221705,383990,20210113,,REPUBLICAN,1.0,108864.0,112841.0
162,537,1980,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1546557,2975684,20210113,,REPUBLICAN,1.0,1147364.0,399193.0
164,550,1980,NEW MEXICO,NM,35,85,66,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,250779,456237,20210113,,REPUBLICAN,1.0,167826.0,82953.0
166,557,1980,NEW YORK,NY,36,21,13,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,2728372,6201959,20210113,,DEMOCRAT,1.0,2637700.0,90672.0
168,568,1980,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,915018,1855833,20210113,,REPUBLICAN,1.0,875635.0,39383.0
170,574,1980,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,193695,301116,20210113,,REPUBLICAN,1.0,79189.0,114506.0
172,584,1980,OHIO,OH,39,31,24,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2206545,4283603,20210113,,REPUBLICAN,1.0,1752414.0,454131.0
174,593,1980,OKLAHOMA,OK,40,73,53,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,695570,1149708,20210113,,REPUBLICAN,1.0,402026.0,293544.0
176,597,1980,OREGON,OR,41,92,72,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,571044,1181516,20210113,,REPUBLICAN,1.0,456890.0,114154.0
178,603,1980,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2261872,4561501,20210113,,REPUBLICAN,1.0,1937540.0,324332.0
180,610,1980,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,198342,415967,20210113,,DEMOCRAT,1.0,154793.0,43549.0
182,618,1980,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,439277,888258,20210113,,REPUBLICAN,1.0,428220.0,11057.0
184,623,1980,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,198343,327703,20210113,,REPUBLICAN,1.0,103855.0,94488.0
186,628,1980,TENNESSEE,TN,47,62,54,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,787761,1617616,20210113,,REPUBLICAN,1.0,783051.0,4710.0
188,639,1980,TEXAS,TX,48,74,49,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2510705,4541636,20210113,,REPUBLICAN,1.0,1881147.0,629558.0
190,644,1980,UTAH,UT,49,87,67,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,439687,604152,20210113,,REPUBLICAN,1.0,124266.0,315421.0
192,653,1980,VERMONT,VT,50,13,6,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,94628,213299,20210113,,REPUBLICAN,1.0,81952.0,12676.0
194,662,1980,VIRGINIA,VA,51,54,40,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,989609,1866032,20210113,,REPUBLICAN,1.0,752174.0,237435.0
196,668,1980,WASHINGTON,WA,53,91,73,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,865244,1742394,20210113,,REPUBLICAN,1.0,650193.0,215051.0
198,677,1980,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,False,367462,737715,20210113,,DEMOCRAT,1.0,334206.0,33256.0
200,681,1980,WISCONSIN,WI,55,35,25,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1088845,2273221,20210113,,REPUBLICAN,1.0,981584.0,107261.0
202,692,1980,WYOMING,WY,56,83,68,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,110700,176713,20210113,,REPUBLICAN,1.0,49427.0,61273.0
204,696,1984,ALABAMA,AL,1,63,41,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,872849,1441713,20210113,,REPUBLICAN,1.0,551899.0,320950.0
206,703,1984,ALASKA,AK,2,94,81,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,138377,207605,20210113,,REPUBLICAN,1.0,62007.0,76370.0
208,707,1984,ARIZONA,AZ,4,86,61,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,681416,1025897,20210113,,REPUBLICAN,1.0,333854.0,347562.0
210,711,1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,534774,884406,20210113,,REPUBLICAN,1.0,338646.0,196128.0
212,721,1984,CALIFORNIA,CA,6,93,71,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,5467009,9505041,20210113,,REPUBLICAN,1.0,3922519.0,1544490.0
214,726,1984,COLORADO,CO,8,84,62,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,821817,1295380,20210113,,REPUBLICAN,1.0,454975.0,366842.0
216,734,1984,CONNECTICUT,CT,9,16,1,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,890877,1466900,20210113,,REPUBLICAN,1.0,569597.0,321280.0
218,739,1984,DELAWARE,DE,10,51,11,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,152190,254572,20210113,,REPUBLICAN,1.0,101656.0,50534.0
220,745,1984,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,180408,211288,20210113,,DEMOCRAT,1.0,29009.0,151399.0
222,754,1984,FLORIDA,FL,12,59,43,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2730350,4180051,20210113,,REPUBLICAN,1.0,1448816.0,1281534.0
224,757,1984,GEORGIA,GA,13,58,44,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1068722,1776103,20210113,,REPUBLICAN,1.0,706628.0,362094.0
226,760,1984,HAWAII,HI,15,95,82,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,185050,335846,20210113,,REPUBLICAN,1.0,147154.0,37896.0
228,765,1984,IDAHO,ID,16,82,63,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,297523,411144,20210113,,REPUBLICAN,1.0,108510.0,189013.0
230,769,1984,ILLINOIS,IL,17,33,21,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2707103,4819088,20210113,,REPUBLICAN,1.0,2086499.0,620604.0
232,778,1984,INDIANA,IN,18,32,22,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1377230,2233069,20210113,,REPUBLICAN,1.0,841481.0,535749.0
234,782,1984,IOWA,IA,19,42,31,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,703088,1319805,20210113,,REPUBLICAN,1.0,605620.0,97468.0
236,791,1984,KANSAS,KS,20,47,32,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,677296,1021991,20210113,,REPUBLICAN,1.0,333149.0,344147.0
238,797,1984,KENTUCKY,KY,21,61,51,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,821702,1369345,20210113,,REPUBLICAN,1.0,539539.0,282163.0
240,806,1984,LOUISIANA,LA,22,72,45,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1037299,1706822,20210113,,REPUBLICAN,1.0,651586.0,385713.0
242,814,1984,MAINE,ME,23,11,2,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,336500,553144,20210113,,REPUBLICAN,1.0,214515.0,121985.0
244,819,1984,MARYLAND,MD,24,52,52,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,879918,1675873,20210113,,REPUBLICAN,1.0,787935.0,91983.0
246,825,1984,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1310936,2559383,20210113,,REPUBLICAN,1.0,1239606.0,71330.0
248,829,1984,MICHIGAN,MI,26,34,23,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2251571,3801658,20210113,,REPUBLICAN,1.0,1529638.0,721933.0
250,840,1984,MINNESOTA,MN,27,41,33,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,False,1036364,2084449,20210113,,DEMOCRAT,1.0,1032603.0,3761.0
252,851,1984,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,582377,941104,20210113,,REPUBLICAN,1.0,352192.0,230185.0
254,859,1984,MISSOURI,MO,29,43,34,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1274188,2122771,20210113,,REPUBLICAN,1.0,848583.0,425605.0
256,861,1984,MONTANA,MT,30,81,64,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,232450,384377,20210113,,REPUBLICAN,1.0,146742.0,85708.0
258,864,1984,NEBRASKA,NE,31,46,35,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,460054,652090,20210113,,REPUBLICAN,1.0,187866.0,272188.0
260,869,1984,NEVADA,NV,32,88,65,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,188770,282717,20210113,,REPUBLICAN,1.0,91655.0,97115.0
262,872,1984,NEW HAMPSHIRE,NH,33,12,4,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,267050,388904,20210113,,REPUBLICAN,1.0,120347.0,146703.0
264,877,1984,NEW JERSEY,NJ,34,22,12,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1933630,3217862,20210113,,REPUBLICAN,1.0,1261323.0,672307.0
266,886,1984,NEW MEXICO,NM,35,85,66,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,307101,514370,20210113,,REPUBLICAN,1.0,201769.0,105332.0
268,894,1984,NEW YORK,NY,36,21,13,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,3376519,6806810,20210113,,REPUBLICAN,1.0,3001285.0,375234.0
270,903,1984,NORTH CAROLINA,NC,37,56,47,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1346481,2175361,20210113,,REPUBLICAN,1.0,824287.0,522194.0
272,907,1984,NORTH DAKOTA,ND,38,44,36,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,200336,308971,20210113,,REPUBLICAN,1.0,104429.0,95907.0
274,917,1984,OHIO,OH,39,31,24,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2678559,4563235,20210113,,REPUBLICAN,1.0,1825440.0,853119.0
276,926,1984,OKLAHOMA,OK,40,73,53,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,861530,1255676,20210113,,REPUBLICAN,1.0,385080.0,476450.0
278,929,1984,OREGON,OR,41,92,72,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,685700,1226527,20210113,,REPUBLICAN,1.0,536479.0,149221.0
280,932,1984,PENNSYLVANIA,PA,42,23,14,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,2584323,4844903,20210113,,REPUBLICAN,1.0,2228131.0,356192.0
282,938,1984,RHODE ISLAND,RI,44,15,5,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,212080,410489,20210113,,REPUBLICAN,1.0,197106.0,14974.0
284,947,1984,SOUTH CAROLINA,SC,45,57,48,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,615539,968529,20210113,,REPUBLICAN,1.0,344459.0,271080.0
286,952,1984,SOUTH DAKOTA,SD,46,45,37,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,200267,317867,20210113,,REPUBLICAN,1.0,116113.0,84154.0
288,956,1984,TENNESSEE,TN,47,62,54,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,990212,1711993,20210113,,REPUBLICAN,1.0,711714.0,278498.0
290,966,1984,TEXAS,TX,48,74,49,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,3433428,5397571,20210113,,REPUBLICAN,1.0,1949276.0,1484152.0
292,970,1984,UTAH,UT,49,87,67,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,469105,629656,20210113,,REPUBLICAN,1.0,155369.0,313736.0
294,978,1984,VERMONT,VT,50,13,6,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,135865,234561,20210113,,REPUBLICAN,1.0,95730.0,40135.0
296,987,1984,VIRGINIA,VA,51,54,40,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1337078,2146635,20210113,,REPUBLICAN,1.0,796250.0,540828.0
298,990,1984,WASHINGTON,WA,53,91,73,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1051670,1874910,20210113,,REPUBLICAN,1.0,798352.0,253318.0
300,1000,1984,WEST VIRGINIA,WV,54,55,56,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,405483,735742,20210113,,REPUBLICAN,1.0,328125.0,77358.0
302,1005,1984,WISCONSIN,WI,55,35,25,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,False,1198584,2211689,20210113,,REPUBLICAN,1.0,995740.0,202844.0
