date,product_code,quantity
2022-02-14,DTC-23,-13
2022-02-15,DBR-56,-17
2022-02-15,A35-AC,-6
2022-02-15,DTC-23,-5
2022-02-16,DBR-56,-12
2022-02-16,A35-AC,-2
2022-02-16,DTC-23,-11
2022-02-17,DBR-56,-10
2022-02-17,A35-AC,-6
2022-02-17,DTC-23,-11
2022-02-18,DBR-56,-10
2022-02-18,A35-AC,-3
2022-02-18,DTC-23,-10
2022-02-21,DBR-56,-25
2022-02-21,A35-AC,-6
2022-02-21,DTC-23,-9
2022-02-22,DBR-56,-16
2022-02-22,A35-AC,-4
2022-02-22,DTC-23,-5
2022-02-23,DBR-56,-14
2022-02-23,A35-AC,-3
2022-02-23,DTC-23,-9
2022-02-24,DBR-56,-25
2022-02-24,A35-AC,-5
2022-02-24,DTC-23,-15
2022-02-25,DBR-56,-19
2022-02-25,A35-AC,0
2022-02-25,DTC-23,-9
2022-02-28,DBR-56,-7
2022-02-28,A35-AC,0
2022-02-28,DTC-23,-15
2022-03-01,DBR-56,398
2022-03-01,DBR-56,-24
2022-03-01,A35-AC,79
2022-03-01,A35-AC,-7
2022-03-01,DTC-23,274
2022-03-01,DTC-23,-13
2022-03-02,DBR-56,-24
2022-03-02,A35-AC,-3
2022-03-02,DTC-23,-12
2022-03-03,DBR-56,-15
2022-03-03,A35-AC,-2
2022-03-03,DTC-23,-13
2022-03-04,DBR-56,-29
2022-03-04,A35-AC,-3
2022-03-04,DTC-23,-11
2022-03-07,DBR-56,-22
2022-03-07,A35-AC,-3
2022-03-07,DTC-23,-7
2022-03-08,DBR-56,-18
2022-03-08,A35-AC,-5
2022-03-08,DTC-23,-6
2022-03-09,DBR-56,-28
2022-03-09,A35-AC,-3
2022-03-09,DTC-23,-15
2022-03-10,DBR-56,-16
2022-03-10,A35-AC,-6
2022-03-10,DTC-23,-12
2022-03-11,DBR-56,-15
2022-03-11,A35-AC,-3
2022-03-11,DTC-23,-8
2022-03-14,DBR-56,-22
2022-03-14,A35-AC,-6
2022-03-14,DTC-23,-8
2022-03-15,DBR-56,-16
2022-03-15,A35-AC,-6
2022-03-15,DTC-23,-14
2022-03-16,DBR-56,-21
2022-03-16,A35-AC,-6
2022-03-16,DTC-23,-12
2022-03-17,DBR-56,-12
2022-03-17,A35-AC,-6
2022-03-17,DTC-23,-12
2022-03-18,DBR-56,-18
2022-03-18,A35-AC,-7
2022-03-18,DTC-23,-10
2022-03-21,DBR-56,-11
2022-03-21,A35-AC,-3
2022-03-21,DTC-23,-10
2022-03-22,DBR-56,-18
2022-03-22,A35-AC,-6
2022-03-22,DTC-23,-14
2022-03-23,DBR-56,-20
2022-03-23,A35-AC,-4
2022-03-23,DTC-23,-13
2022-03-24,DBR-56,-12
2022-03-24,A35-AC,0
2022-03-24,DTC-23,-5
2022-03-25,DBR-56,-13
2022-03-25,A35-AC,0
2022-03-25,DTC-23,-11
2022-03-28,DBR-56,-21
2022-03-28,A35-AC,0
2022-03-28,DTC-23,-16
2022-03-29,DBR-56,-13
2022-03-29,A35-AC,0
2022-03-29,DTC-23,-14
2022-03-30,DBR-56,-10
2022-03-30,A35-AC,0
2022-03-30,DTC-23,-6
2022-03-31,DBR-56,0
2022-03-31,A35-AC,0
2022-03-31,DTC-23,-6
2022-04-01,DBR-56,389
2022-04-01,DBR-56,-10
2022-04-01,A35-AC,78
2022-04-01,A35-AC,-4
2022-04-01,DTC-23,189
2022-04-01,DTC-23,-5
2022-04-04,DBR-56,-28
2022-04-04,A35-AC,-7
2022-04-04,DTC-23,-8
2022-04-05,DBR-56,-29
2022-04-05,A35-AC,-6
2022-04-05,DTC-23,-7
2022-04-06,DBR-56,-30
2022-04-06,A35-AC,-4
2022-04-06,DTC-23,-13
2022-04-07,DBR-56,-25
2022-04-07,A35-AC,-3
2022-04-07,DTC-23,-5
2022-04-08,DBR-56,-29
2022-04-08,A35-AC,-7
2022-04-08,DTC-23,-6
2022-04-11,DBR-56,-18
2022-04-11,A35-AC,-7
2022-04-11,DTC-23,-16
2022-04-12,DBR-56,-26
2022-04-12,A35-AC,-7
2022-04-12,DTC-23,-7
2022-04-13,DBR-56,-24
2022-04-13,A35-AC,-5
2022-04-13,DTC-23,-7
2022-04-14,DBR-56,-11
2022-04-14,A35-AC,-6
2022-04-14,DTC-23,-9
2022-04-15,DBR-56,-16
2022-04-15,A35-AC,-2
2022-04-15,DTC-23,-15
2022-04-18,DBR-56,-27
2022-04-18,A35-AC,-5
2022-04-18,DTC-23,-7
2022-04-19,DBR-56,-14
2022-04-19,A35-AC,-2
2022-04-19,DTC-23,-11
2022-04-20,DBR-56,-11
2022-04-20,A35-AC,-3
2022-04-20,DTC-23,-9
2022-04-21,DBR-56,-21
2022-04-21,A35-AC,-4
2022-04-21,DTC-23,-13
2022-04-22,DBR-56,-19
2022-04-22,A35-AC,-2
2022-04-22,DTC-23,-8
2022-04-25,DBR-56,-25
2022-04-25,A35-AC,-3
2022-04-25,DTC-23,-11
2022-04-26,DBR-56,-20
2022-04-26,A35-AC,-1
2022-04-26,DTC-23,-6
2022-04-27,DBR-56,-6
2022-04-27,A35-AC,0
2022-04-27,DTC-23,-9
2022-04-28,DBR-56,0
2022-04-28,A35-AC,0
2022-04-28,DTC-23,-15
2022-04-29,DBR-56,0
2022-04-29,A35-AC,0
2022-04-29,DTC-23,-8
2022-05-02,DBR-56,317
2022-05-02,DBR-56,-10
2022-05-02,A35-AC,81
2022-05-02,A35-AC,-7
2022-05-02,DTC-23,215
2022-05-02,DTC-23,-16
2022-05-03,DBR-56,-27
2022-05-03,A35-AC,-5
2022-05-03,DTC-23,-6
2022-05-04,DBR-56,-23
2022-05-04,A35-AC,-4
2022-05-04,DTC-23,-11
2022-05-05,DBR-56,-26
2022-05-05,A35-AC,-5
2022-05-05,DTC-23,-10
2022-05-06,DBR-56,-20
2022-05-06,A35-AC,-5
2022-05-06,DTC-23,-13
2022-05-09,DBR-56,-10
2022-05-09,A35-AC,-4
2022-05-09,DTC-23,-10
2022-05-10,DBR-56,-10
2022-05-10,A35-AC,-2
2022-05-10,DTC-23,-7
2022-05-11,DBR-56,-21
2022-05-11,A35-AC,-7
2022-05-11,DTC-23,-10
2022-05-12,DBR-56,-19
2022-05-12,A35-AC,-4
2022-05-12,DTC-23,-7
2022-05-13,DBR-56,-20
2022-05-13,A35-AC,-2
2022-05-13,DTC-23,-15
2022-05-16,DBR-56,-14
2022-05-16,A35-AC,-7
2022-05-16,DTC-23,-7
2022-05-17,DBR-56,-15
2022-05-17,A35-AC,-3
2022-05-17,DTC-23,-6
2022-05-18,DBR-56,-16
2022-05-18,A35-AC,-2
2022-05-18,DTC-23,-12
2022-05-19,DBR-56,-18
2022-05-19,A35-AC,-7
2022-05-19,DTC-23,-14
2022-05-20,DBR-56,-12
2022-05-20,A35-AC,-6
2022-05-20,DTC-23,-5
2022-05-23,DBR-56,-25
2022-05-23,A35-AC,-4
2022-05-23,DTC-23,-6
2022-05-24,DBR-56,-24
2022-05-24,A35-AC,-4
2022-05-24,DTC-23,-16
2022-05-25,DBR-56,-7
2022-05-25,A35-AC,-3
2022-05-25,DTC-23,-12
2022-05-26,DBR-56,0
2022-05-26,A35-AC,0
2022-05-26,DTC-23,-5
2022-05-27,DBR-56,0
2022-05-27,A35-AC,0
2022-05-27,DTC-23,-6
2022-05-30,DBR-56,0
2022-05-30,A35-AC,0
2022-05-30,DTC-23,-6
2022-05-31,DBR-56,0
2022-05-31,A35-AC,0
2022-05-31,DTC-23,-10
2022-06-01,DBR-56,294
2022-06-01,DBR-56,-23
2022-06-01,A35-AC,69
2022-06-01,A35-AC,-6
2022-06-01,DTC-23,243
2022-06-01,DTC-23,-15
2022-06-02,DBR-56,-16
2022-06-02,A35-AC,-4
2022-06-02,DTC-23,-6
2022-06-03,DBR-56,-22
2022-06-03,A35-AC,-6
2022-06-03,DTC-23,-11
2022-06-06,DBR-56,-19
2022-06-06,A35-AC,-7
2022-06-06,DTC-23,-14
2022-06-07,DBR-56,-21
2022-06-07,A35-AC,-2
2022-06-07,DTC-23,-7
2022-06-08,DBR-56,-15
2022-06-08,A35-AC,-3
2022-06-08,DTC-23,-10
2022-06-09,DBR-56,-20
2022-06-09,A35-AC,-5
2022-06-09,DTC-23,-15
2022-06-10,DBR-56,-21
2022-06-10,A35-AC,-4
2022-06-10,DTC-23,-8
2022-06-13,DBR-56,-18
2022-06-13,A35-AC,-2
2022-06-13,DTC-23,-13
2022-06-14,DBR-56,-28
2022-06-14,A35-AC,-5
2022-06-14,DTC-23,-7
2022-06-15,DBR-56,-26
2022-06-15,A35-AC,-2
2022-06-15,DTC-23,-7
2022-06-16,DBR-56,-28
2022-06-16,A35-AC,-2
2022-06-16,DTC-23,-12
2022-06-17,DBR-56,-30
2022-06-17,A35-AC,-4
2022-06-17,DTC-23,-9
2022-06-20,DBR-56,-7
2022-06-20,A35-AC,-7
2022-06-20,DTC-23,-12
2022-06-21,DBR-56,0
2022-06-21,A35-AC,-4
2022-06-21,DTC-23,-6
2022-06-22,DBR-56,0
2022-06-22,A35-AC,-4
2022-06-22,DTC-23,-5
2022-06-23,DBR-56,0
2022-06-23,A35-AC,-2
2022-06-23,DTC-23,-15
2022-06-24,DBR-56,0
2022-06-24,A35-AC,0
2022-06-24,DTC-23,-8
2022-06-27,DBR-56,0
2022-06-27,A35-AC,0
2022-06-27,DTC-23,-13
2022-06-28,DBR-56,0
2022-06-28,A35-AC,0
2022-06-28,DTC-23,-6
2022-06-29,DBR-56,0
2022-06-29,A35-AC,0
2022-06-29,DTC-23,-8
2022-06-30,DBR-56,0
2022-06-30,A35-AC,0
2022-06-30,DTC-23,-6
2022-07-01,DBR-56,368
2022-07-01,DBR-56,-9
2022-07-01,A35-AC,82
2022-07-01,A35-AC,-1
2022-07-01,DTC-23,173
2022-07-01,DTC-23,-4
2022-07-04,DBR-56,-18
2022-07-04,A35-AC,-4
2022-07-04,DTC-23,-3
2022-07-05,DBR-56,-18
2022-07-05,A35-AC,-4
2022-07-05,DTC-23,-7
2022-07-06,DBR-56,-16
2022-07-06,A35-AC,-3
2022-07-06,DTC-23,-9
2022-07-07,DBR-56,-9
2022-07-07,A35-AC,-2
2022-07-07,DTC-23,-9
2022-07-08,DBR-56,-13
2022-07-08,A35-AC,-4
2022-07-08,DTC-23,-4
2022-07-11,DBR-56,-12
2022-07-11,A35-AC,-2
2022-07-11,DTC-23,-10
2022-07-12,DBR-56,-14
2022-07-12,A35-AC,-4
2022-07-12,DTC-23,-6
2022-07-13,DBR-56,-11
2022-07-13,A35-AC,-2
2022-07-13,DTC-23,-7
2022-07-14,DBR-56,-16
2022-07-14,A35-AC,-4
2022-07-14,DTC-23,-9
2022-07-15,DBR-56,-9
2022-07-15,A35-AC,-3
2022-07-15,DTC-23,-8
2022-07-18,DBR-56,-7
2022-07-18,A35-AC,-4
2022-07-18,DTC-23,-8
2022-07-19,DBR-56,-10
2022-07-19,A35-AC,-4
2022-07-19,DTC-23,-4
2022-07-20,DBR-56,-14
2022-07-20,A35-AC,-4
2022-07-20,DTC-23,-6
2022-07-21,DBR-56,-12
2022-07-21,A35-AC,-1
2022-07-21,DTC-23,-9
2022-07-22,DBR-56,-7
2022-07-22,A35-AC,-2
2022-07-22,DTC-23,-4
2022-07-25,DBR-56,-13
2022-07-25,A35-AC,-1
2022-07-25,DTC-23,-9
2022-07-26,DBR-56,-9
2022-07-26,A35-AC,-2
2022-07-26,DTC-23,-9
2022-07-27,DBR-56,-20
2022-07-27,A35-AC,-4
2022-07-27,DTC-23,-4
2022-07-28,DBR-56,-8
2022-07-28,A35-AC,-4
2022-07-28,DTC-23,-7
2022-07-29,DBR-56,-10
2022-07-29,A35-AC,-2
2022-07-29,DTC-23,-7
2022-08-01,DBR-56,254
2022-08-01,DBR-56,-11
2022-08-01,A35-AC,85
2022-08-01,A35-AC,-1
2022-08-01,DTC-23,195
2022-08-01,DTC-23,-11
2022-08-02,DBR-56,-12
2022-08-02,A35-AC,-2
2022-08-02,DTC-23,-10
2022-08-03,DBR-56,-15
2022-08-03,A35-AC,-4
2022-08-03,DTC-23,-5
2022-08-04,DBR-56,-20
2022-08-04,A35-AC,-4
2022-08-04,DTC-23,-5
2022-08-05,DBR-56,-19
2022-08-05,A35-AC,-3
2022-08-05,DTC-23,-10
2022-08-08,DBR-56,-22
2022-08-08,A35-AC,-4
2022-08-08,DTC-23,-10
2022-08-09,DBR-56,-23
2022-08-09,A35-AC,-4
2022-08-09,DTC-23,-8
2022-08-10,DBR-56,-20
2022-08-10,A35-AC,-4
2022-08-10,DTC-23,-4
2022-08-11,DBR-56,-22
2022-08-11,A35-AC,-1
2022-08-11,DTC-23,-12
2022-08-12,DBR-56,-22
2022-08-12,A35-AC,-4
2022-08-12,DTC-23,-8
2022-08-15,DBR-56,-24
2022-08-15,A35-AC,-4
2022-08-15,DTC-23,-9
2022-08-16,DBR-56,-8
2022-08-16,A35-AC,-4
2022-08-16,DTC-23,-5
2022-08-17,DBR-56,-16
2022-08-17,A35-AC,-4
2022-08-17,DTC-23,-12
2022-08-18,DBR-56,-14
2022-08-18,A35-AC,-3
2022-08-18,DTC-23,-7
2022-08-19,DBR-56,-12
2022-08-19,A35-AC,-2
2022-08-19,DTC-23,-8
2022-08-22,DBR-56,-18
2022-08-22,A35-AC,-4
2022-08-22,DTC-23,-5
2022-08-23,DBR-56,-14
2022-08-23,A35-AC,-1
2022-08-23,DTC-23,-10
2022-08-24,DBR-56,-12
2022-08-24,A35-AC,-3
2022-08-24,DTC-23,-6
2022-08-25,DBR-56,-20
2022-08-25,A35-AC,-3
2022-08-25,DTC-23,-4
2022-08-26,DBR-56,-12
2022-08-26,A35-AC,-1
2022-08-26,DTC-23,-8
2022-08-29,DBR-56,-20
2022-08-29,A35-AC,-3
2022-08-29,DTC-23,-8
2022-08-30,DBR-56,-8
2022-08-30,A35-AC,-4
2022-08-30,DTC-23,-5
2022-08-31,DBR-56,-3
2022-08-31,A35-AC,-3
2022-08-31,DTC-23,-6
2022-09-01,DBR-56,301
2022-09-01,DBR-56,-11
2022-09-01,A35-AC,81
2022-09-01,A35-AC,-3
2022-09-01,DTC-23,249
2022-09-01,DTC-23,-14
2022-09-02,DBR-56,-16
2022-09-02,A35-AC,-2
2022-09-02,DTC-23,-13
2022-09-05,DBR-56,-30
2022-09-05,A35-AC,-7
2022-09-05,DTC-23,-14
2022-09-06,DBR-56,-21
2022-09-06,A35-AC,-5
2022-09-06,DTC-23,-14
2022-09-07,DBR-56,-26
2022-09-07,A35-AC,-6
2022-09-07,DTC-23,-7
2022-09-08,DBR-56,-15
2022-09-08,A35-AC,-7
2022-09-08,DTC-23,-9
2022-09-09,DBR-56,-28
2022-09-09,A35-AC,-2
2022-09-09,DTC-23,-5
2022-09-12,DBR-56,-23
2022-09-12,A35-AC,-4
2022-09-12,DTC-23,-16
2022-09-13,DBR-56,-16
2022-09-13,A35-AC,-7
2022-09-13,DTC-23,-10
2022-09-14,DBR-56,-26
2022-09-14,A35-AC,-6
2022-09-14,DTC-23,-15
2022-09-15,DBR-56,-19
2022-09-15,A35-AC,-2
2022-09-15,DTC-23,-15
2022-09-16,DBR-56,-17
2022-09-16,A35-AC,-6
2022-09-16,DTC-23,-6
2022-09-19,DBR-56,-15
2022-09-19,A35-AC,-4
2022-09-19,DTC-23,-7
2022-09-20,DBR-56,-19
2022-09-20,A35-AC,-4
2022-09-20,DTC-23,-15
2022-09-21,DBR-56,-19
2022-09-21,A35-AC,-3
2022-09-21,DTC-23,-15
2022-09-22,DBR-56,0
2022-09-22,A35-AC,-2
2022-09-22,DTC-23,-13
2022-09-23,DBR-56,0
2022-09-23,A35-AC,-2
2022-09-23,DTC-23,-9
2022-09-26,DBR-56,0
2022-09-26,A35-AC,-2
2022-09-26,DTC-23,-14
2022-09-27,DBR-56,0
2022-09-27,A35-AC,-5
2022-09-27,DTC-23,-5
2022-09-28,DBR-56,0
2022-09-28,A35-AC,-5
2022-09-28,DTC-23,-11
2022-09-29,DBR-56,0
2022-09-29,A35-AC,-6
2022-09-29,DTC-23,-16
2022-09-30,DBR-56,0
2022-09-30,A35-AC,-6
2022-09-30,DTC-23,-7
2022-10-03,DBR-56,294
2022-10-03,DBR-56,-21
2022-10-03,A35-AC,90
2022-10-03,A35-AC,-7
2022-10-03,DTC-23,196
2022-10-03,DTC-23,-16
2022-10-04,DBR-56,-26
2022-10-04,A35-AC,-6
2022-10-04,DTC-23,-14
2022-10-05,DBR-56,-16
2022-10-05,A35-AC,-6
2022-10-05,DTC-23,-15
2022-10-06,DBR-56,-16
2022-10-06,A35-AC,-7
2022-10-06,DTC-23,-9
2022-10-07,DBR-56,-16
2022-10-07,A35-AC,-5
2022-10-07,DTC-23,-14
2022-10-10,DBR-56,-13
2022-10-10,A35-AC,-6
2022-10-10,DTC-23,-14
2022-10-11,DBR-56,-28
2022-10-11,A35-AC,-6
2022-10-11,DTC-23,-7
2022-10-12,DBR-56,-20
2022-10-12,A35-AC,-3
2022-10-12,DTC-23,-6
2022-10-13,DBR-56,-27
2022-10-13,A35-AC,-7
2022-10-13,DTC-23,-6
2022-10-14,DBR-56,-16
2022-10-14,A35-AC,-6
2022-10-14,DTC-23,-14
2022-10-17,DBR-56,-23
2022-10-17,A35-AC,-2
2022-10-17,DTC-23,-14
2022-10-18,DBR-56,-11
2022-10-18,A35-AC,-2
2022-10-18,DTC-23,-16
2022-10-19,DBR-56,-30
2022-10-19,A35-AC,-3
2022-10-19,DTC-23,-16
2022-10-20,DBR-56,-22
2022-10-20,A35-AC,-6
2022-10-20,DTC-23,-6
2022-10-21,DBR-56,-9
2022-10-21,A35-AC,-7
2022-10-21,DTC-23,-16
2022-10-24,DBR-56,0
2022-10-24,A35-AC,-3
2022-10-24,DTC-23,-14
2022-10-25,DBR-56,0
2022-10-25,A35-AC,-2
2022-10-25,DTC-23,-14
2022-10-26,DBR-56,0
2022-10-26,A35-AC,-7
2022-10-26,DTC-23,-13
2022-10-27,DBR-56,0
2022-10-27,A35-AC,-2
2022-10-27,DTC-23,-7
2022-10-28,DBR-56,0
2022-10-28,A35-AC,-2
2022-10-28,DTC-23,-7
2022-10-31,DBR-56,0
2022-10-31,A35-AC,-4
2022-10-31,DTC-23,-5
2022-11-01,DBR-56,394
2022-11-01,DBR-56,-28
2022-11-01,A35-AC,80
2022-11-01,A35-AC,-2
2022-11-01,DTC-23,217
2022-11-01,DTC-23,-14
2022-11-02,DBR-56,-25
2022-11-02,A35-AC,-8
2022-11-02,DTC-23,-14
2022-11-03,DBR-56,-20
2022-11-03,A35-AC,-7
2022-11-03,DTC-23,-9
2022-11-04,DBR-56,-20
2022-11-04,A35-AC,-8
2022-11-04,DTC-23,-6
2022-11-07,DBR-56,-30
2022-11-07,A35-AC,-6
2022-11-07,DTC-23,-18
2022-11-08,DBR-56,-26
2022-11-08,A35-AC,-6
2022-11-08,DTC-23,-16
2022-11-09,DBR-56,-24
2022-11-09,A35-AC,-3
2022-11-09,DTC-23,-10
2022-11-10,DBR-56,-36
2022-11-10,A35-AC,-6
2022-11-10,DTC-23,-6
2022-11-11,DBR-56,-30
2022-11-11,A35-AC,-8
2022-11-11,DTC-23,-9
2022-11-14,DBR-56,-26
2022-11-14,A35-AC,-4
2022-11-14,DTC-23,-7
2022-11-15,DBR-56,-15
2022-11-15,A35-AC,-6
2022-11-15,DTC-23,-6
2022-11-16,DBR-56,-25
2022-11-16,A35-AC,-7
2022-11-16,DTC-23,-12
2022-11-17,DBR-56,-22
2022-11-17,A35-AC,-7
2022-11-17,DTC-23,-13
2022-11-18,DBR-56,-30
2022-11-18,A35-AC,-4
2022-11-18,DTC-23,-19
2022-11-21,DBR-56,-31
2022-11-21,A35-AC,-4
2022-11-21,DTC-23,-14
2022-11-22,DBR-56,-6
2022-11-22,A35-AC,-6
2022-11-22,DTC-23,-13
2022-11-23,DBR-56,0
2022-11-23,A35-AC,0
2022-11-23,DTC-23,-12
2022-11-24,DBR-56,0
2022-11-24,A35-AC,0
2022-11-24,DTC-23,-6
2022-11-25,DBR-56,0
2022-11-25,A35-AC,0
2022-11-25,DTC-23,-8
2022-11-28,DBR-56,0
2022-11-28,A35-AC,0
2022-11-28,DTC-23,-16
2022-11-29,DBR-56,0
2022-11-29,A35-AC,0
2022-11-29,DTC-23,-12
2022-11-30,DBR-56,0
2022-11-30,A35-AC,0
2022-11-30,DTC-23,-6
2022-12-01,DBR-56,315
2022-12-01,DBR-56,-20
2022-12-01,A35-AC,72
2022-12-01,A35-AC,-9
2022-12-01,DTC-23,217
2022-12-01,DTC-23,-6
2022-12-02,DBR-56,-28
2022-12-02,A35-AC,-7
2022-12-02,DTC-23,-10
2022-12-05,DBR-56,-27
2022-12-05,A35-AC,-3
2022-12-05,DTC-23,-7
2022-12-06,DBR-56,-15
2022-12-06,A35-AC,-7
2022-12-06,DTC-23,-7
2022-12-07,DBR-56,-26
2022-12-07,A35-AC,-2
2022-12-07,DTC-23,-19
2022-12-08,DBR-56,-36
2022-12-08,A35-AC,-7
2022-12-08,DTC-23,-16
2022-12-09,DBR-56,-31
2022-12-09,A35-AC,-2
2022-12-09,DTC-23,-18
2022-12-12,DBR-56,-15
2022-12-12,A35-AC,-2
2022-12-12,DTC-23,-7
2022-12-13,DBR-56,-13
2022-12-13,A35-AC,-2
2022-12-13,DTC-23,-18
2022-12-14,DBR-56,-13
2022-12-14,A35-AC,-2
2022-12-14,DTC-23,-14
2022-12-15,DBR-56,-19
2022-12-15,A35-AC,-5
2022-12-15,DTC-23,-19
2022-12-16,DBR-56,-16
2022-12-16,A35-AC,-2
2022-12-16,DTC-23,-9
2022-12-19,DBR-56,-37
2022-12-19,A35-AC,-5
2022-12-19,DTC-23,-10
2022-12-20,DBR-56,-14
2022-12-20,A35-AC,-5
2022-12-20,DTC-23,-7
2022-12-21,DBR-56,-5
2022-12-21,A35-AC,-7
2022-12-21,DTC-23,-18
2022-12-22,DBR-56,0
2022-12-22,A35-AC,-5
2022-12-22,DTC-23,-7
2022-12-23,DBR-56,0
2022-12-23,A35-AC,0
2022-12-23,DTC-23,-18
2022-12-26,DBR-56,0
2022-12-26,A35-AC,0
2022-12-26,DTC-23,-15
2022-12-27,DBR-56,0
2022-12-27,A35-AC,0
2022-12-27,DTC-23,-16
2022-12-28,DBR-56,0
2022-12-28,A35-AC,0
2022-12-28,DTC-23,-11
2022-12-29,DBR-56,0
2022-12-29,A35-AC,0
2022-12-29,DTC-23,-6
2022-12-30,DBR-56,0
2022-12-30,A35-AC,0
2022-12-30,DTC-23,-16
